Id,Desc,,Type,Chooses,NextDrop,ChooseTargetType,ChooseTargetAttributeType,ChooseTargetAttribute,ChooseTargetConditions,UseSkillRoleConditions,UseSkillRoleCountCamp,UseSkillRoleCountConditions,IsPercent,RoleCountConditionMin,RoleCountConditionMax
30004,autofight_30004,当前已损失生命百分比,6,"300004,3000004",,,,,,30004,,,,,
30005,autofight_30005,当前能量值,6,"300005,3000005",,,,,,30005,,,,,
30006,autofight_30006,当前增益效果数量,6,"300006,3000006",,,,,,30006,,,,,
30007,autofight_30007,当前负面效果数量,6,"300007,3000007",,,,,,30007,,,,,
300001,autofight_300001,最小值,7,,,,,,,,,,1,0,100
300002,autofight_300002,最小值,7,,,,,,,,,,1,0,100
300003,autofight_300003,最小值,7,,,,,,,,,,1,0,100
300004,autofight_300004,最小值,7,,,,,,,,,,1,0,100
300005,autofight_300005,最小值,7,,,,,,,,,,,0,1200
300006,autofight_300006,最小值,7,,,,,,,,,,,0,99
300007,autofight_300007,最小值,7,,,,,,,,,,,0,99
3000001,autofight_3000001,最大值,7,,,,,,,,,,1,0,100
3000002,autofight_3000002,最大值,7,,,,,,,,,,1,0,100
3000003,autofight_3000003,最大值,7,,,,,,,,,,1,0,100
3000004,autofight_3000004,最大值,7,,,,,,,,,,1,0,100
3000005,autofight_3000005,最大值,7,,,,,,,,,,,0,1200
3000006,autofight_3000006,最大值,7,,,,,,,,,,,0,99
3000007,autofight_3000007,最大值,7,,,,,,,,,,,0,99
30101,autofight_30101,满足生命百分比的目标数量,6,"9,10,301001,3010001",,,,,,,1,30001,,,
30102,autofight_30102,满足护盾百分比的目标数量,6,"9,10,301002,3010002",,,,,,,1,30002,,,
30103,autofight_30103,满足弱点百分比的目标数量,6,"9,10,301003,3010003",,,,,,,1,30003,,,
30104,autofight_30104,满足已损失生命百分比的目标数量,6,"9,10,301004,3010004",,,,,,,1,30004,,,
30105,autofight_30105,满足能量值的目标数量,6,"9,10,301005,3010005",,,,,,,1,30005,,,
30106,autofight_30106,满足增益效果数量的目标数量,6,"9,10,301006,3010006",,,,,,,1,30006,,,
30107,autofight_30107,满足负面效果数量的目标数量,6,"9,10,301007,3010007",,,,,,,1,30007,,,
301001,autofight_301001,最小值,7,,,,,,,,,,1,0,100
301002,autofight_301002,最小值,7,,,,,,,,,,1,0,100
301003,autofight_301003,最小值,7,,,,,,,,,,1,0,100
301004,autofight_301004,最小值,7,,,,,,,,,,1,0,100
301005,autofight_301005,最小值,7,,,,,,,,,,,0,1200
301006,autofight_301006,最小值,7,,,,,,,,,,,0,99
301007,autofight_301007,最小值,7,,,,,,,,,,,0,99
3010001,autofight_3010001,最大值,7,,,,,,,,,,1,0,100
3010002,autofight_3010002,最大值,7,,,,,,,,,,1,0,100
3010003,autofight_3010003,最大值,7,,,,,,,,,,1,0,100
3010004,autofight_3010004,最大值,7,,,,,,,,,,1,0,100
3010005,autofight_3010005,最大值,7,,,,,,,,,,,0,1200
3010006,autofight_3010006,最大值,7,,,,,,,,,,,0,99
3010007,autofight_3010007,最大值,7,,,,,,,,,,,0,99
30201,autofight_30201,满足生命百分比的目标数量,6,"9,10,302001,3020001",,,,,,,2,30001,,,
30202,autofight_30202,满足护盾百分比的目标数量,6,"9,10,302002,3020002",,,,,,,2,30002,,,
30203,autofight_30203,满足弱点百分比的目标数量,6,"9,10,302003,3020003",,,,,,,2,30003,,,
30204,autofight_30204,满足已损失生命百分比的目标数量,6,"9,10,302004,3020004",,,,,,,2,30004,,,
30205,autofight_30205,满足能量值的目标数量,6,"9,10,302005,3020005",,,,,,,2,30005,,,
30206,autofight_30206,满足增益效果数量的目标数量,6,"9,10,302006,3020006",,,,,,,2,30006,,,
30207,autofight_30207,满足负面效果数量的目标数量,6,"9,10,302007,3020007",,,,,,,2,30007,,,
302001,autofight_302001,最小值,7,,,,,,,,,,1,0,100
302002,autofight_302002,最小值,7,,,,,,,,,,1,0,100
302003,autofight_302003,最小值,7,,,,,,,,,,1,0,100
302004,autofight_302004,最小值,7,,,,,,,,,,1,0,100
302005,autofight_302005,最小值,7,,,,,,,,,,,0,1200
302006,autofight_302006,最小值,7,,,,,,,,,,,0,99
302007,autofight_302007,最小值,7,,,,,,,,,,,0,99
3020001,autofight_3020001,最大值,7,,,,,,,,,,1,0,100
3020002,autofight_3020002,最大值,7,,,,,,,,,,1,0,100
3020003,autofight_3020003,最大值,7,,,,,,,,,,1,0,100
3020004,autofight_3020004,最大值,7,,,,,,,,,,1,0,100
3020005,autofight_3020005,最大值,7,,,,,,,,,,,0,1200
3020006,autofight_3020006,最大值,7,,,,,,,,,,,0,99
3020007,autofight_3020007,最大值,7,,,,,,,,,,,0,99
31001,autofight_31001,被弱点击破的目标数量,6,"9,10",,,,,,,1,"110040,0,0",,,
31002,autofight_31002,被控制的目标数量,6,"9,10",,,,,,,1,"112,1,999",,,
31003,autofight_31003,被定身的目标数量,6,"9,10",,,,,,,1,"3011,1,999",,,
31004,autofight_31004,被嘲讽的目标数量,6,"9,10",,,,,,,1,"3008,1,999",,,
31005,autofight_31005,满足指定灼烧层数的目标数量,6,"9,10,310005,3100005",,,,,,,1,3001,,,
31006,autofight_31006,满足指定侵蚀层数的目标数量,6,"9,10,310006,3100006",,,,,,,1,3012,,,
31007,autofight_31007,满足指定感电层数的目标数量,6,"9,10,310007,3100007",,,,,,,1,3005,,,
310005,autofight_310005,灼烧层数,7,,,,,,,,,,,0,999
310006,autofight_310006,侵蚀层数,7,,,,,,,,,,,0,999
310007,autofight_310007,感电层数,7,,,,,,,,,,,0,999
3100005,autofight_3100005,灼烧层数,7,,,,,,,,,,,0,999
3100006,autofight_3100006,侵蚀层数,7,,,,,,,,,,,0,999
3100007,autofight_3100007,感电层数,7,,,,,,,,,,,0,999
31011,autofight_31011,目标职介为诞生数量,6,"9,10",,,,,,,1,401,,,
31012,autofight_31012,目标职介为君王数量,6,"9,10",,,,,,,1,402,,,
31013,autofight_31013,目标职介为传道数量,6,"9,10",,,,,,,1,403,,,
31014,autofight_31014,目标职介为仆从数量,6,"9,10",,,,,,,1,404,,,
31015,autofight_31015,目标职介为神子数量,6,"9,10",,,,,,,1,405,,,
31016,autofight_31016,目标职介为受难数量,6,"9,10",,,,,,,1,406,,,
31017,autofight_31017,目标职介为人子数量,6,"9,10",,,,,,,1,407,,,
31101,autofight_31101,被弱点击破的目标数量,6,"9,10",,,,,,,2,"110040,0,0",,,
31102,autofight_31102,被控制的目标数量,6,"9,10",,,,,,,2,"112,1,999",,,
31103,autofight_31103,被定身的目标数量,6,"9,10",,,,,,,2,"3011,1,999",,,
31104,autofight_31104,被嘲讽的目标数量,6,"9,10",,,,,,,2,"3008,1,999",,,
31105,autofight_31105,满足指定灼烧层数的目标数量,6,"9,10,311005,3110005",,,,,,,2,3001,,,
31106,autofight_31106,满足指定侵蚀层数的目标数量,6,"9,10,311006,3110006",,,,,,,2,3012,,,
31107,autofight_31107,满足指定感电层数的目标数量,6,"9,10,311007,3110007",,,,,,,2,3005,,,
311005,autofight_311005,最小值,7,,,,,,,,,,,0,999
311006,autofight_311006,最小值,7,,,,,,,,,,,0,999
311007,autofight_311007,最小值,7,,,,,,,,,,,0,999
3110005,autofight_3110005,最大值,7,,,,,,,,,,,0,999
3110006,autofight_3110006,最大值,7,,,,,,,,,,,0,999
3110007,autofight_3110007,最大值,7,,,,,,,,,,,0,999
32001,autofight_32001,己方存活目标数量,6,"9,10",,,,,,,2,19,,,
32002,autofight_32002,敌方存活目标数量,6,"9,10",,,,,,,1,20,,,
32003,autofight_32003,当前总时序区间,6,"320003,3200003",,,,,,25,,,,,
320003,autofight_320003,最小值,7,,,,,,,,,,,0,9999
3200003,autofight_3200003,最大值,7,,,,,,,,,,,0,9999
