Id,Order,Type,GuideTip,Shifting,,,,,,,GuideDes,,,,,,,Desc,,UiName,ButtonStart,Cursor,Rotate,CursorDes
1305,4,1,"170,60","50,0",50,0,0,0,50,0,"500,-200",500,-200,0,200,500,0,guide_main_1305,点击这里查看抽卡记录,Summon_Main,summonReviewBtn/Image,0,0,0
1401,5,1,"360,600","-40,-270",-40,-270,40,270,0,0,"900,0",900,0,0,0,900,0,guide_main_1401,这里是战斗的行动序列，可以查看角色的行动顺序,Fight_Main,main/heroBoard/witchBoard/witchBoard,0,0,0
1402,5,1,"154,154","0,0",0,0,0,0,0,0,"700,200",700,200,0,0,700,200,guide_main_1402,这是魔女的攻击技能，可点击选择释放目标,Fight_Main,main/heroBoard/attackBtns/attack1,0,0,0
1403,5,1,"210,210","0,0",0,0,0,0,0,0,"700,300",700,300,0,0,700,300,guide_main_1403,这里是魔女的能量，当能量累计三格时，可以选择点击使用魔女的奥义技能,Fight_Main,main/energyBoard/bg,0,0,0
1404,5,1,"470,180","-15,5",-15,5,15,0,0,5,"-700,200",-700,200,700,0,0,200,guide_main_1404,这里是魔女携带的星痕列表，点击选择使用对应的星痕技能,Fight_Main,main/heroBoard/gospelBoard/gospels/gospel_1/bg,0,0,0
1501,6,1,"1614,380","810,-189",810,-189,,190,810,1,"700,300",700,300,,,700,300,guide_main_1501,完成圣殿派发的任务，可以对魔女进行魔力支援。,Quest_Main,root/CardArea/Scroll View/TaskSuperList,0,0,0
1502,6,1,"280,380","0,5",0,5,,,,5,"-700,300",-700,300,700,,,300,guide_main_1502,当魔女的魔力充足，可以对怪物发起攻击,Quest_Main,root/CardArea/OnceAtkBtn,0,0,0
1503,6,1,"750,160","70,15",70,15,,,70,15,"-700,-300",-700,-300,700,300,,,guide_main_1503,圣殿会根据怪物的讨伐进度发放奖励,Quest_Main,root/Mid/Info/MonsterInfo,0,0,0
1504,6,1,"230,54","0,0",0,0,,0,0,,"-500,-300",-500,-300,500,300,,,guide_main_1504,这里可以查看奖励内容,Quest_Main,root/top/viewRewardsButton,0,0,0
1505,6,1,"900,95","290,-5",290,-5,,5,290,,"-600,-300",-600,-300,600,300,,,guide_main_1505,通过这里切换任务目录,Quest_Main,root/top/ShowQuestType/ShowDayQuest,0,0,0
1601,7,1,"350,150","-10,80",-10,80,10,0,0,80,"700,220",700,220,,80,700,300,guide_main_1601,达成条件收集勋章，每个勋章都会提升魔女的属性,MedalViewListPanel,ImgBg,0,0,0
1602,7,1,"960,92","0,0",0,0,0,0,0,0,"-700,300",-700,300,700,0,0,300,guide_main_1602,[勋章列表]中预览勋章信息,MedalViewListPanel,m_BigTypeList/m_BigType2_Choose,0,0,0
1603,7,1,"960,92","-48,0",-48,0,48,0,0,0,"700,300",700,300,0,0,700,300,guide_main_1603,[勋章统计]可以查看当前的加成属性,MedalViewListPanel,m_BigTypeList/m_BigType1_Choose,0,0,0
1701,8,1,"1280,780","0,0",0,0,0,0,0,0,"-600,450",-600,450,600,0,0,450,guide_main_1701,这是公会列表，选择加入喜欢的公会,GuildView_Main,GuildMainListSubParent/GuildMainList_Sub(Clone)/m_ItemList,0,0,0
1702,8,1,"150,150","0,0",0,0,0,0,0,0,"600,200",600,200,0,0,600,200,guide_main_1702,,GuildView_Main,GuildMainListSubParent/GuildMainList_Sub(Clone)/m_Left/m_BtnShop,0,0,0
1703,8,1,"150,150","0,0",0,0,0,0,0,0,"600,200",600,200,0,0,600,200,guide_main_1703,,GuildView_Main,GuildMainListSubParent/GuildMainList_Sub(Clone)/m_Left/m_BtnCreate,0,0,0
1801,999,1,"500,120","0,-70",0,-70,0,70,0,0,"-400,300",-400,300,400,0,0,300,guide_main_1801,在挑战时间内，点击可挑战公会首领,GuildBoss_Main,Down/Start/Image (4),0,0,0
1802,999,1,"500,100","120,-60",120,-60,0,60,120,0,"800,-200",800,-200,0,200,800,0,guide_main_1802,"展示今日可挑战次数，点击""+""可花费钻石购买次数",GuildBoss_Main,LeftTop/StartCount,0,0,0
1803,999,1,"500,150","-280,70",-280,70,280,0,0,70,"-500,300",-500,300,500,0,0,300,guide_main_1803,这里展示每日公会首领奖励,GuildBoss_Main,RightDown/Reward/GameObject,0,0,0
1804,999,1,"200,120","0,0",0,0,0,0,0,0,"800,0",800,0,0,0,800,0,guide_main_1804,点击可查询今日公会首领的特殊效,GuildBoss_Main,LeftMid/Buff/Image,0,0,0
1805,999,1,"230,50","-305,0",-305,0,305,0,0,0,"-600,150",-600,150,600,0,0,150,guide_main_1805,点击可查询怪物信息,GuildBoss_Main,RightMid/Check/Image,0,0,0
1806,999,1,"1060,300","0,-10",0,-10,0,10,0,0,"-475,300",-475,300,475,0,0,300,guide_main_1806,可查看今日公会内对公会首领造成伤害排名前三的公会成员,GuildBoss_Main,Down/DamageRank/Image (4),0,0,0
1807,999,1,"160,150","0,0",0,0,0,0,0,0,"600,200",600,200,0,0,600,200,guide_main_1807,可查询公会内个人伤害排名以及公会间的伤害排名,GuildBoss_Main,LeftDown/btn_rank_area,0,0,0
1808,999,1,"160,150","0,0",0,0,0,0,0,0,"600,0",600,0,0,0,600,0,guide_main_1808,点击可查询公会伤害排行榜奖励,GuildBoss_Main,LeftDown/btn_award_area,0,0,0
1809,999,1,"500,100","20,20",20,20,0,0,20,20,"-600,-100",-600,-100,600,100,0,0,guide_main_1809,本期公会首领公会排行榜结算剩余时间,GuildBoss_Main,RightTop/AllTime,0,0,0
1810,9,1,"500,100","120,-60",120,-60,0,60,120,0,"500,-200",500,-200,0,200,500,0,guide_main_1810,可查看今日可挑战次数,GuildBoss_Main,LeftTop/StartCount,0,0,0
1811,9,1,"230,100","-70,0",-70,0,70,0,0,0,"-500,150",-500,150,500,0,0,150,guide_main_1811,可查看当前首领的阶段,GuildBoss_Main,RightMid/JieDuan,0,0,0
1812,9,1,"1060,150","0,50",0,50,0,0,0,50,"-475,300",-475,300,475,0,0,300,guide_main_1812,可查看当前阶段公会首领剩余血量,GuildBoss_Main,Down/Hp,0,0,0
1813,9,1,"160,150","0,0",0,0,0,0,0,0,"800,0",800,0,0,0,800,0,guide_main_1813,可查看击败奖励和排行榜奖励，击败奖励需成员手动领取，排行榜奖励则在当期结算后通过邮件发送。,GuildBoss_Main,LeftDown/btn_award_area,0,0,0
1901,10,1,"1700,460","680,270",680,270,0,0,680,270,"-650,-350",-650,-350,650,350,0,0,guild_race_14,此处为每期可选择的参赛选手,GuildHorseRace,GameReady/HeroChooseList/HeroChoose_1,0,0,0
1902,10,1,"60,60","0,5",0,5,0,0,0,5,"600,-150",600,-150,0,150,600,0,guild_race_15,选手的心情状态，状态会影响选手的参赛属性,GuildHorseRace,GameReady/HeroChooseList/HeroChoose_1/state,0,0,0
1903,10,1,"1505,120","0,0",0,0,0,0,0,0,"400,200",400,200,0,0,400,200,guild_race_16,每名选手拥有的技能各不相同,GuildHorseRace,GameReady/PlayerInfo/skillBg/skill,0,0,0
1904,10,1,"400,100","150,0",150,0,0,0,150,0,"400,200",400,200,0,0,400,200,guild_race_17,速力影响选手的移动速度,GuildHorseRace,GameReady/PlayerInfo/skillBg/Attr/Attr_1/Img_Icon,0,0,0
1905,10,1,"400,100","160,0",160,0,0,0,160,0,"400,200",400,200,0,0,400,200,guild_race_18,蓄能影响选手发动技能的概率,GuildHorseRace,GameReady/PlayerInfo/skillBg/Attr/Attr_2/Img_Icon,0,0,0
1906,10,1,"400,100","150,0",150,0,0,0,150,0,"400,200",400,200,0,0,400,200,guild_race_19,幸运影响选手躲避陷阱的概率,GuildHorseRace,GameReady/PlayerInfo/skillBg/Attr/Attr_3/Img_Icon,0,0,0
1907,10,1,"295,75","0,3",0,3,0,0,0,3,"-600,200",-600,200,600,0,0,200,guild_race_20,为喜欢的选手投注，获胜时根据投注倍率可赢得相应的奖金,GuildHorseRace,GameReady/PlayerInfo/skillBg/Btn_Bet,0,0,0
1908,10,1,"295,75","0,3",0,3,0,0,0,3,"-600,200",-600,200,600,0,0,200,guild_race_21,鼓励选手，可以让他稍微更有干劲一些,GuildHorseRace,GameReady/PlayerInfo/skillBg/Btn_Jili,0,0,0
2001,11,1,"640,100","0,10",0,10,0,0,0,10,"-700,-150",-700,-150,700,150,0,0,guide_main_2001,每个BOSS有多个难度，当前难度的BOSS击败后，自动刷新下一难度,StageDayBoss_Main,Right/tittle,0,0,0
2002,11,1,"680,300","30,-30",30,-30,0,30,30,0,"-700,-200",-700,-200,700,200,0,0,guide_main_2002,每日进行挑战，战斗后根据对当前BOSS所有难度的总伤害进行排名,StageDayBoss_Main,Right/Rank/ranknum,0,0,0
2003,11,1,"120,110","0,0",0,0,0,0,0,0,"700,-200",700,-200,0,200,700,0,guide_main_2003,每日结算后可根据排名阶段领取结算奖励,StageDayBoss_Main,Left/Btns/rankReward,0,0,0
2004,11,1,"120,110","0,0",0,0,0,0,0,0,"700,-200",700,-200,0,200,700,0,guide_main_2004,消耗深渊结晶可在商店中兑换道具,StageDayBoss_Main,Left/Btns/shop,0,0,0
2005,11,1,"120,110","0,0",0,0,0,0,0,0,"700,-200",700,-200,0,200,700,0,guide_main_2005,每日结算后，BOSS会进行更换，此处可查看BOSS登场的时间排期,StageDayBoss_Main,Left/Btns/mostenInfo,0,0,0
2006,11,1,"1040,210","0,0",0,0,0,0,0,0,"500,200",500,200,0,0,500,200,guide_main_2006,每个难度BOSS首次达成伤害目标可领取目标奖励,StageDayBoss_Main,Left/Reward/Bg,0,0,0
2007,11,1,"800,230","-8,25",-8,25,8,0,0,25,"-700,200",-700,200,700,0,0,200,guide_main_2007,此处显示当前BOSS挑战推荐星痕，也可点击查看其他玩家的挑战阵容进行参考,StageDayBoss_Main,Right/Reward/Scroll View,0,0,0
2008,11,1,"500,100","0,10",0,10,0,0,0,10,"-700,180",-700,180,700,0,0,180,guide_main_2008,每日有10次挑战的次数，快去战斗吧！,StageDayBoss_Main,Right/Bottom/doAtk,0,0,0
2101,12,1,"1700,600","0,20",0,20,0,0,0,20,"480,-400",480,-400,0,400,480,0,guide_main_2101,依次挑战关卡，胜利即可获得增益卡牌，每关战斗失败可重复挑战,RoguelikeTower_Main,bg (1),0,0,0
2102,12,1,"450,150","0,20",0,20,0,0,0,20,"600,200",600,200,0,0,600,200,guide_main_2102,可查看全部“未获得”和“已获得”的卡牌效果,RoguelikeTower_Main,sub/EffectBtn/text_group/Image,0,0,0
2103,12,1,"150,130","0,0",0,0,0,0,0,0,"-400,-200",-400,-200,400,200,0,0,guide_main_2103,每个赛季完成任务可领取奖励,RoguelikeTower_Main,sub/m_BtnTask/Image,0,0,0
2201,13,1,"120,120","0,0",,,,,,,"400,0",,,,,,,guide_main_2201,通关主线解锁或升级神谕司建筑,Oracle_Main,Root/SubBtnRoot/BuildBtn,0,0,0
2202,13,1,"120,120","0,0",,,,,,,"500,0",,,,,,,guide_main_2202,可以与魔女交互、约会，获取魔女好感度,Oracle_Main,Root/SubBtnRoot/InteractBtn,0,0,0
2203,13,1,"120,120","0,0",,,,,,,"800,0",,,,,,,guide_main_2203,派遣星痕前往建筑，可以持续获取神谕司币。货币可在商店兑换道具,Oracle_Main,Root/SubBtnRoot/AppointBtn,0,0,0
2204,13,1,"808,840","0,-256",,,,,,,"-1000,0",,,,,,,guide_main_2204,可在场景内查看星痕委任和魔女活动情况,Oracle_Main,Root/MainBtnRoot/Office,0,0,0
2205,13,1,"750,875","179,-320",179,-320,-550,330,-371,10,"1000,0",,,,,,,guide_main_2205,点击可与角色交互，也能更换展示角色,Oracle_Main,Root/ChangeBtn,0,0,0
2301,14,1,"550,570","0,-185",,,,,,,"1100,0",,,,,,,guide_main_2301,将技能图标依照释放顺序依次拖拽至右侧,AutoFightSet_Main,Panel/Content/TopLeft,0,0,0
2302,14,1,"1335,220","0,-30",,,,,,,"-500,-600",,,,,,,guide_main_2302,,AutoFightSet_Main,Panel/Content/RightScroll,0,0,0
2303,14,1,"1335,220","0,-30",,,,,,,"-500,-600",,,,,,,guide_main_2303,,AutoFightSet_Main,Panel/Content/RightScroll,0,0,0
2304,14,1,"300,100","0,0",0,,,,,,"-400,-200",,,,,,,guide_main_2304,可以分享方案给其它玩家,AutoFightSet_Main,Panel/shareBtn,0,0,0
2305,14,1,"300,100","0,0",0,,,,,,"-400,-200",,,,,,,guide_main_2305,也可以直接使用其他玩家分享的方案,AutoFightSet_Main,Panel/LoadBtn,0,0,0
