Id,Name,,TypeName,,ParentRankId,ActivityType,ScoreName,,CheckCondition,UpdateMode,ConditionId1,ConditionId2,SortType,RefreshType,RankLimitCount,IsTimeRank,IsGradeRank,IsAreaRank,Subject,DataShow,RankPartitionType,RankPartition,RewardItem,RankPartition1,RewardItem1,NonRankingReward,Mail,Max,DateMax
303,ui_rank_name_1,幻梦之境,ui_rank_typename_303,关卡2排行,301,1,ui_rank_scorename_1,积分,,,70011,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
304,ui_rank_name_1,幻梦之境,ui_rank_typename_304,关卡3排行,301,1,ui_rank_scorename_1,积分,,,70012,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
401,ui_rank_name_2,公会赛马个人榜,ui_rank_typename_5,公会赛马个人榜,401,3,ui_rank_scorename_2,奖金,,,0,0,1,4,20,0,0,0,0,2,1,0,0,,,,0,100,1000
402,ui_rank_name_3,公会赛马公会榜,ui_rank_typename_6,公会赛马公会榜,401,3,ui_rank_scorename_2,奖金,,,0,0,1,4,20,0,0,0,1,0,1,0,0,,,,0,100,1000
501,ui_rank_name_4,第一章回忆深潜,ui_rank_typename_7,第一章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520001,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
502,ui_rank_name_5,第二章回忆深潜,ui_rank_typename_8,第二章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520002,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
503,ui_rank_name_6,第三章回忆深潜,ui_rank_typename_9,第三章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520003,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
504,ui_rank_name_7,第四章回忆深潜,ui_rank_typename_10,第四章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520004,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
505,ui_rank_name_8,第五章回忆深潜,ui_rank_typename_11,第五章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520005,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
506,ui_rank_name_9,第六章回忆深潜,ui_rank_typename_12,第六章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520006,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
507,ui_rank_name_10,第七章回忆深潜,ui_rank_typename_13,第七章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520007,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
508,ui_rank_name_11,第八章回忆深潜,ui_rank_typename_14,第八章回忆深潜,599,0,ui_rank_scorename_3,层数,,1,520008,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
599,ui_rank_name_99,总排行,ui_rank_typename_15,回忆深潜总排行,599,0,ui_rank_scorename_3,层数,,1,520099,,1,0,0,0,0,,0,"1,3,5",1,0,0,,,,0,200,1000
601,ui_rank_name_1,幻梦之境,ui_rank_typename_601,总排行,101,1,ui_rank_scorename_1,积分,,,70017,0,1,4,-1,0,0,0,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
602,ui_rank_name_1,幻梦之境,ui_rank_typename_602,关卡1排行,101,1,ui_rank_scorename_1,积分,,,70014,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
603,ui_rank_name_1,幻梦之境,ui_rank_typename_603,关卡2排行,101,1,ui_rank_scorename_1,积分,,,70015,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
604,ui_rank_name_1,幻梦之境,ui_rank_typename_604,关卡3排行,101,1,ui_rank_scorename_1,积分,,,70016,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
701,ui_rank_name_1,幻梦之境,ui_rank_typename_701,总排行,201,1,ui_rank_scorename_1,积分,,,70021,0,1,4,-1,0,0,0,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
702,ui_rank_name_1,幻梦之境,ui_rank_typename_702,关卡1排行,201,1,ui_rank_scorename_1,积分,,,70018,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
703,ui_rank_name_1,幻梦之境,ui_rank_typename_703,关卡2排行,201,1,ui_rank_scorename_1,积分,,,70019,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
704,ui_rank_name_1,幻梦之境,ui_rank_typename_704,关卡3排行,201,1,ui_rank_scorename_1,积分,,,70020,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
801,ui_rank_name_1,幻梦之境,ui_rank_typename_801,总排行,301,1,ui_rank_scorename_1,积分,,,70025,0,1,4,-1,0,0,0,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
802,ui_rank_name_1,幻梦之境,ui_rank_typename_802,关卡1排行,301,1,ui_rank_scorename_1,积分,,,70022,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
803,ui_rank_name_1,幻梦之境,ui_rank_typename_803,关卡2排行,301,1,ui_rank_scorename_1,积分,,,70023,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
804,ui_rank_name_1,幻梦之境,ui_rank_typename_804,关卡3排行,301,1,ui_rank_scorename_1,积分,,,70024,0,1,4,-1,0,1,1,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
900,ui_rank_name_12,公会boss,ui_rank_typename_900,公会boss周排行,900,4,ui_rank_scorename_4,伤害,,,0,0,1,4,20,0,0,0,1,1,1,"1,1;2,2;3,3;4,10;11,50;51,100;101,999","1001061,500,2801,10;1001061,455,2801,10;1001061,300,2801,10;1001061,200,2801,8;1001061,200,2801,5;1001061,200,2801,3;1001061,100,2801,1",,,,901,200,1000
901,ui_rank_name_12,公会boss,ui_rank_typename_901,公会boss个人排行,900,4,ui_rank_scorename_4,伤害,,,0,0,1,4,20,0,0,0,3,"1,5",1,,,,,,,200,1000
19000,ui_rank_name_19000,锦世奇缘,ui_rank_typename_19000,锦世奇缘-挑战排行,19000,8,ui_rank_scorename_1,积分,,,19005,0,1,4,0,0,0,0,0,"1,3,5",2,"1,15;16,75;76,150;151,375;376,600;601,900;901,1200;1201,1500","7504,1,2801,10,1000002,200;7505,1,2801,10,1000002,200;7506,1,2801,10,1000002,200;1000002,300,2801,8;1000002,200,2801,6;1000002,200,2801,4;1000002,200,2801,3;1000002,200,2801,2",,,190001,1010001,200,1700
19001,ui_rank_name_19001,和光同尘,ui_rank_typename_19001,和光同尘-挑战排行,19001,8,ui_rank_scorename_1,积分,,,19011,0,1,4,0,0,0,0,0,"1,3,5",2,"1,15;16,75;76,150;151,375;376,600;601,900;901,1200;1201,1500","7510,1,2801,10,1000002,200;7511,1,2801,10,1000002,200;7512,1,2801,10,1000002,200;1000002,300,2801,8;1000002,200,2801,6;1000002,200,2801,4;1000002,200,2801,3;1000002,200,2801,2",,,190001,1040001,200,1700
19002,ui_rank_name_19002,遮光梦,ui_rank_typename_19002,遮光梦-挑战排行,19002,8,ui_rank_scorename_1,积分,,,19017,0,1,4,0,0,0,0,0,"1,3,5",2,"1,15;16,75;76,150;151,375;376,600;601,900;901,1200;1201,1500","7507,1,2801,10,1000002,200;7508,1,2801,10,1000002,200;7509,1,2801,10,1000002,200;1000002,200,2801,8;1000002,200,2801,6;1000002,200,2801,4;1000002,200,2801,3;1000002,200,2801,2",,,190001,1030001,200,1700
19003,ui_rank_name_19003,知更鸟的安魂曲,ui_rank_typename_19003,知更鸟-挑战排行,19003,8,ui_rank_scorename_1,积分,,,19023,0,1,4,0,0,0,0,0,"1,3,5",2,"1,15;16,75;76,150;151,375;376,600;601,900;901,1200;1201,1500","7513,1,2801,10,1000002,200;7514,1,2801,10,1000002,200;7515,1,2801,10,1000002,200;1000002,300,2801,8;1000002,200,2801,6;1000002,200,2801,4;1000002,200,2801,3;1000002,200,2801,2",,,190001,1050001,200,1700
19004,ui_rank_name_19004,恶龙计划,ui_rank_typename_19004,恶龙计划-挑战排行,19004,8,ui_rank_scorename_1,积分,,,19029,0,1,4,0,0,0,0,0,"1,3,5",2,"1,15;16,75;76,150;151,375;376,600;601,900;901,1200;1201,1500","7516,1,2801,10,1000002,200;7517,1,2801,10,1000002,200;7518,1,2801,10,1000002,200;1000002,200,2801,8;1000002,200,2801,6;1000002,200,2801,4;1000002,200,2801,3;1000002,200,2801,2",,,190001,1200001,200,1700
1001,ui_rank_name_1001,深渊之域,ui_rank_typename_1001,深渊之域-每日排行,1001,5,ui_rank_scorename_4,伤害,"80001,1000",,80001,0,1,1,-1,1,0,0,0,"1,3,5",3,"1,10;11,20;21,50;51,100;101,200","9037,1,1001019,500;9036,1,1001019,450;1001019,400;1001019,350;1001019,300",10;20;30;40;50;75;100,"1001019,250;1001019,225;1001019,200;1001019,175;1001019,150;1001019,125;1001019,100",,0,200,250
2001,ui_rank_name_2001,黯影地牢 肉鸽爬塔s1,ui_rank_typename_2001_1,无尽章最大层数,2001,6,ui_rank_scorename_3,层数,"81002,1",,81002,0,1,4,-1,0,0,0,0,"1,3,5,6",1,"1,1;2,2;3,3;4,10;11,50;51,100;101,200;201,999","2801,10,1006240,3,1006241,3,7501,1;2801,10,1006240,2,1006241,2,7502,1;2801,10,1006240,1,1006241,1,7503,1;2801,8,1006222,100;2801,5,1006222,80;2801,3,1006222,50;2801,2,1006222,40;2801,1,1006222,20",,,,2001,200,1000
39003,ui_rank_name_39003,魔物列阵积分排行（低级场）,ui_rank_typename_39003,新晋场,39003,7,ui_rank_scorename_1,积分,,,39003,,1,4,0,0,0,0,0,1,1,"1,1;2,2;3,3;4,10;11,50;51,100;101,200;201,500;501,1000","9012,1,2801,20;9012,1,2801,15;9012,1,2801,12;9012,1,2801,10;2801,8;2801,6;2801,4;2801,2;1001028,100",,,,,1000,1200
39004,ui_rank_name_39004,魔物列阵积分排行（中级场）,ui_rank_typename_39004,进阶场,39004,7,ui_rank_scorename_1,积分,,,39004,,1,4,0,0,0,0,0,1,1,"1,1;2,2;3,3;4,10;11,50;51,100;101,200;201,500;501,1000","9013,1,5010002,1,2801,20;9013,1,5010002,1,2801,15;9013,1,5010002,1,2801,12;9013,1,5010002,1,2801,10;5010002,1,2801,8;2801,6;2801,4;2801,2;1001028,100",,,,,1000,1200
39005,ui_rank_name_39005,魔物列阵积分排行（高级场）,ui_rank_typename_39005,大师场,39005,7,ui_rank_scorename_1,积分,,,39005,,1,4,0,0,0,0,0,1,1,"1,1;2,2;3,3;4,10;11,50;51,100;101,200;201,500;501,1000","9014,1,5010003,1,2801,20;9014,1,5010003,1,2801,15;9014,1,5010003,1,2801,12;9014,1,5010003,1,2801,10;5010003,1,2801,8;2801,6;2801,4;2801,2;1001028,100",,,,,1000,1200
