TalentId,Id,TalentRank,PriorTalent,UiShow,ConditionId,CostItem,AttrRefixType,LevelUp,Icon,Icontype,Des
4021,4,3,4020,"21,0","29999,90;29998,90","1006710,60",50405,1,ui_zjtf_sx_sm_1,1,
4022,4,3,4021,"22,0","29999,90;29998,90","1006710,60",50404,1,ui_zjtf_sx_fy_1,1,
4023,4,3,4022,"23,0","29999,90;29998,90","1006710,120",50409,1,ui_zjtf_jn_4_2,0,
4024,4,3,4023,"24,0","29999,90;29998,90","1006710,60",50404,1,ui_zjtf_sx_fy_1,1,
4025,4,3,4021,"25,0","29999,90;29998,90","1006710,120","50406,50407,50408",1,ui_zjtf_sx_gfx_1,1,
4026,4,3,4021,"26,0","29999,90;29998,90","1006710,60",50403,1,ui_zjtf_sx_gj_1,1,
4027,4,3,4026,"27,0","29999,90;29998,90","1006710,120",50415,1,ui_zjtf_jn_4_2,0,
4028,4,3,4027,"28,0","29999,90;29998,90","1006710,60",50403,1,ui_zjtf_sx_gj_1,1,
4029,4,3,"4024,4025,4028","29,0","29999,90;29998,90","1006710,60",50405,1,ui_zjtf_sx_sm_1,1,
4030,4,3,4029,"30,1","29999,90;29998,90","1006710,60","50412,50413,50414",30,ui_zjtf_sx_gfx_1,3,
5001,5,1,0,"1,1","29999,0","1006710,10","50509,50515",1,ui_zjtf_jn_5_1,0,SkillDes_8007001
5002,5,1,5001,"2,0","29999,0","1006710,20",50502,1,ui_zjtf_sx_sm_1,1,
5003,5,1,5002,"3,0","29999,0","1006710,20",50501,1,ui_zjtf_sx_fy_1,1,
5004,5,1,5003,"4,0","29999,0","1006710,40",50509,1,ui_zjtf_jn_5_2,0,
5005,5,1,5004,"5,0","29999,0","1006710,20",50504,1,ui_zjtf_sx_fy_1,1,
5006,5,1,5002,"6,0","29999,0","1006710,20",50500,1,ui_zjtf_sx_gj_1,1,
5007,5,1,5006,"7,0","29999,0","1006710,40",50515,1,ui_zjtf_jn_5_2,0,
5008,5,1,5007,"8,0","29999,0","1006710,20",50503,1,ui_zjtf_sx_gj_1,1,
5009,5,1,"5005,5008","9,0","29999,0","1006710,20",50505,1,ui_zjtf_sx_sm_1,1,
5010,5,1,5009,"10,1","29999,0","1006710,120",50510,1,ui_zjtf_jn_up_1,2,
5011,5,2,5010,"11,0","29999,30;29997,30","1006710,40",50505,1,ui_zjtf_sx_sm_1,1,
5012,5,2,5011,"12,0","29999,30;29997,30","1006710,40",50504,1,ui_zjtf_sx_fy_1,1,
5013,5,2,5012,"13,0","29999,30;29997,30","1006710,80",50509,1,ui_zjtf_jn_5_2,0,
5014,5,2,5013,"14,0","29999,30;29997,30","1006710,40",50504,1,ui_zjtf_sx_fy_1,1,
5015,5,2,5011,"15,0","29999,30;29997,30","1006710,120","50506,50507,50508",1,ui_zjtf_sx_gfx_1,1,
5016,5,2,5011,"16,0","29999,30;29997,30","1006710,40",50503,1,ui_zjtf_sx_gj_1,1,
5017,5,2,5016,"17,0","29999,30;29997,30","1006710,80",50515,1,ui_zjtf_jn_5_2,0,
5018,5,2,5017,"18,0","29999,30;29997,30","1006710,40",50503,1,ui_zjtf_sx_gj_1,1,
5019,5,2,"5014,5015,5018","19,0","29999,30;29997,30","1006710,40",50505,1,ui_zjtf_sx_sm_1,1,
5020,5,2,5019,"20,1","29999,30;29997,30","1006710,240",50511,1,ui_zjtf_jn_up_2,2,
5021,5,3,5020,"21,0","29999,90;29998,90","1006710,60",50505,1,ui_zjtf_sx_sm_1,1,
5022,5,3,5021,"22,0","29999,90;29998,90","1006710,60",50504,1,ui_zjtf_sx_fy_1,1,
5023,5,3,5022,"23,0","29999,90;29998,90","1006710,120",50509,1,ui_zjtf_jn_5_2,0,
5024,5,3,5023,"24,0","29999,90;29998,90","1006710,60",50504,1,ui_zjtf_sx_fy_1,1,
5025,5,3,5021,"25,0","29999,90;29998,90","1006710,120","50506,50507,50508",1,ui_zjtf_sx_gfx_1,1,
5026,5,3,5021,"26,0","29999,90;29998,90","1006710,60",50503,1,ui_zjtf_sx_gj_1,1,
5027,5,3,5026,"27,0","29999,90;29998,90","1006710,120",50515,1,ui_zjtf_jn_5_2,0,
5028,5,3,5027,"28,0","29999,90;29998,90","1006710,60",50503,1,ui_zjtf_sx_gj_1,1,
5029,5,3,"5024,5025,5028","29,0","29999,90;29998,90","1006710,60",50505,1,ui_zjtf_sx_sm_1,1,
5030,5,3,5029,"30,1","29999,90;29998,90","1006710,60","50512,50513,50514",30,ui_zjtf_sx_gfx_1,3,
6001,6,1,0,"1,1","29999,0","1006710,10","50609,50615",1,ui_zjtf_jn_6_1,0,SkillDes_8008001
6002,6,1,6001,"2,0","29999,0","1006710,20",50602,1,ui_zjtf_sx_sm_1,1,
6003,6,1,6002,"3,0","29999,0","1006710,20",50601,1,ui_zjtf_sx_fy_1,1,
6004,6,1,6003,"4,0","29999,0","1006710,40",50609,1,ui_zjtf_jn_6_2,0,
6005,6,1,6004,"5,0","29999,0","1006710,20",50604,1,ui_zjtf_sx_fy_1,1,
6006,6,1,6002,"6,0","29999,0","1006710,20",50600,1,ui_zjtf_sx_gj_1,1,
6007,6,1,6006,"7,0","29999,0","1006710,40",50615,1,ui_zjtf_jn_6_2,0,
6008,6,1,6007,"8,0","29999,0","1006710,20",50603,1,ui_zjtf_sx_gj_1,1,
6009,6,1,"6005,6008","9,0","29999,0","1006710,20",50605,1,ui_zjtf_sx_sm_1,1,
6010,6,1,6009,"10,1","29999,0","1006710,120",50610,1,ui_zjtf_jn_up_1,2,
6011,6,2,6010,"11,0","29999,30;29997,30","1006710,40",50605,1,ui_zjtf_sx_sm_1,1,
6012,6,2,6011,"12,0","29999,30;29997,30","1006710,40",50604,1,ui_zjtf_sx_fy_1,1,
6013,6,2,6012,"13,0","29999,30;29997,30","1006710,80",50609,1,ui_zjtf_jn_6_2,0,
6014,6,2,6013,"14,0","29999,30;29997,30","1006710,40",50604,1,ui_zjtf_sx_fy_1,1,
6015,6,2,6011,"15,0","29999,30;29997,30","1006710,120","50606,50607,50608",1,ui_zjtf_sx_gfx_1,1,
6016,6,2,6011,"16,0","29999,30;29997,30","1006710,40",50603,1,ui_zjtf_sx_gj_1,1,
6017,6,2,6016,"17,0","29999,30;29997,30","1006710,80",50615,1,ui_zjtf_jn_6_2,0,
6018,6,2,6017,"18,0","29999,30;29997,30","1006710,40",50603,1,ui_zjtf_sx_gj_1,1,
6019,6,2,"6014,6015,6018","19,0","29999,30;29997,30","1006710,40",50605,1,ui_zjtf_sx_sm_1,1,
6020,6,2,6019,"20,1","29999,30;29997,30","1006710,240",50611,1,ui_zjtf_jn_up_2,2,
6021,6,3,6020,"21,0","29999,90;29998,90","1006710,60",50605,1,ui_zjtf_sx_sm_1,1,
6022,6,3,6021,"22,0","29999,90;29998,90","1006710,60",50604,1,ui_zjtf_sx_fy_1,1,
6023,6,3,6022,"23,0","29999,90;29998,90","1006710,120",50609,1,ui_zjtf_jn_6_2,0,
6024,6,3,6023,"24,0","29999,90;29998,90","1006710,60",50604,1,ui_zjtf_sx_fy_1,1,
6025,6,3,6021,"25,0","29999,90;29998,90","1006710,120","50606,50607,50608",1,ui_zjtf_sx_gfx_1,1,
6026,6,3,6021,"26,0","29999,90;29998,90","1006710,60",50603,1,ui_zjtf_sx_gj_1,1,
6027,6,3,6026,"27,0","29999,90;29998,90","1006710,120",50615,1,ui_zjtf_jn_6_2,0,
6028,6,3,6027,"28,0","29999,90;29998,90","1006710,60",50603,1,ui_zjtf_sx_gj_1,1,
6029,6,3,"6024,6025,6028","29,0","29999,90;29998,90","1006710,60",50605,1,ui_zjtf_sx_sm_1,1,
6030,6,3,6029,"30,1","29999,90;29998,90","1006710,60","50612,50613,50614",30,ui_zjtf_sx_gfx_1,3,
7001,7,1,0,"1,1","29999,0","1006710,10","50709,50715",1,ui_zjtf_jn_7_1,0,SkillDes_8009001
7002,7,1,7001,"2,0","29999,0","1006710,20",50702,1,ui_zjtf_sx_sm_1,1,
7003,7,1,7002,"3,0","29999,0","1006710,20",50701,1,ui_zjtf_sx_fy_1,1,
7004,7,1,7003,"4,0","29999,0","1006710,40",50709,1,ui_zjtf_jn_7_2,0,
7005,7,1,7004,"5,0","29999,0","1006710,20",50704,1,ui_zjtf_sx_fy_1,1,
7006,7,1,7002,"6,0","29999,0","1006710,20",50700,1,ui_zjtf_sx_gj_1,1,
7007,7,1,7006,"7,0","29999,0","1006710,40",50715,1,ui_zjtf_jn_7_2,0,
7008,7,1,7007,"8,0","29999,0","1006710,20",50703,1,ui_zjtf_sx_gj_1,1,
7009,7,1,"7005,7008","9,0","29999,0","1006710,20",50705,1,ui_zjtf_sx_sm_1,1,
7010,7,1,7009,"10,1","29999,0","1006710,120",50710,1,ui_zjtf_jn_up_1,2,
7011,7,2,7010,"11,0","29999,30;29997,30","1006710,40",50705,1,ui_zjtf_sx_sm_1,1,
7012,7,2,7011,"12,0","29999,30;29997,30","1006710,40",50704,1,ui_zjtf_sx_fy_1,1,
7013,7,2,7012,"13,0","29999,30;29997,30","1006710,80",50709,1,ui_zjtf_jn_7_2,0,
7014,7,2,7013,"14,0","29999,30;29997,30","1006710,40",50704,1,ui_zjtf_sx_fy_1,1,
7015,7,2,7011,"15,0","29999,30;29997,30","1006710,120","50706,50707,50708",1,ui_zjtf_sx_gfx_1,1,
7016,7,2,7011,"16,0","29999,30;29997,30","1006710,40",50703,1,ui_zjtf_sx_gj_1,1,
7017,7,2,7016,"17,0","29999,30;29997,30","1006710,80",50715,1,ui_zjtf_jn_7_2,0,
7018,7,2,7017,"18,0","29999,30;29997,30","1006710,40",50703,1,ui_zjtf_sx_gj_1,1,
7019,7,2,"7014,7015,7018","19,0","29999,30;29997,30","1006710,40",50705,1,ui_zjtf_sx_sm_1,1,
7020,7,2,7019,"20,1","29999,30;29997,30","1006710,240",50711,1,ui_zjtf_jn_up_2,2,
7021,7,3,7020,"21,0","29999,90;29998,90","1006710,60",50705,1,ui_zjtf_sx_sm_1,1,
7022,7,3,7021,"22,0","29999,90;29998,90","1006710,60",50704,1,ui_zjtf_sx_fy_1,1,
7023,7,3,7022,"23,0","29999,90;29998,90","1006710,120",50709,1,ui_zjtf_jn_7_2,0,
7024,7,3,7023,"24,0","29999,90;29998,90","1006710,60",50704,1,ui_zjtf_sx_fy_1,1,
7025,7,3,7021,"25,0","29999,90;29998,90","1006710,120","50706,50707,50708",1,ui_zjtf_sx_gfx_1,1,
7026,7,3,7021,"26,0","29999,90;29998,90","1006710,60",50703,1,ui_zjtf_sx_gj_1,1,
7027,7,3,7026,"27,0","29999,90;29998,90","1006710,120",50715,1,ui_zjtf_jn_7_2,0,
7028,7,3,7027,"28,0","29999,90;29998,90","1006710,60",50703,1,ui_zjtf_sx_gj_1,1,
7029,7,3,"7024,7025,7028","29,0","29999,90;29998,90","1006710,60",50705,1,ui_zjtf_sx_sm_1,1,
7030,7,3,7029,"30,1","29999,90;29998,90","1006710,60","50712,50713,50714",30,ui_zjtf_sx_gfx_1,3,
