Id,AttrId,Desattr,,,Desc1,DescName,TargetType,Attrlv,Pvp,RefixValue,RefixPercent,RefixFixValue,RefixValueGrown,RefixPercentGrown,RefixFixValueGrown,SkillId,Icon
9302,102,Attribute_Name_102,黯影地牢（肉鸽爬塔）,,攻击,,0,0,,,"10,10",,,"10,10",,,
9303,103,Attribute_Name_103,黯影地牢（肉鸽爬塔）,,防御,,0,0,,,"10,10",,,"10,10",,,
9304,104,Attribute_Name_104,黯影地牢（肉鸽爬塔）,,韧性值,,0,0,,,"10,10",,,"10,10",,,
9305,107,Attribute_Name_107,黯影地牢（肉鸽爬塔）,,效果命中,,0,0,,"10,10",,,"10,10",,,,
9306,108,Attribute_Name_108,黯影地牢（肉鸽爬塔）,,效果抵抗,,0,0,,"10,10",,,"10,10",,,,
9307,109,Attribute_Name_109,黯影地牢（肉鸽爬塔）,,弱破效果,,0,0,,"10,10",,,"10,10",,,,
9308,112,Attribute_Name_112,黯影地牢（肉鸽爬塔）,,伤害加成,,0,0,,"10,10",,,"10,10",,,,
9309,113,Attribute_Name_113,黯影地牢（肉鸽爬塔）,,伤害减免,,0,0,,"10,10",,,"10,10",,,,
9310,114,Attribute_Name_114,黯影地牢（肉鸽爬塔）,,暴击概率,,0,0,,"10,10",,,"10,10",,,,
9311,116,Attribute_Name_116,黯影地牢（肉鸽爬塔）,,暴击伤害,,0,0,,"10,10",,,"10,10",,,,
9312,118,Attribute_Name_118,黯影地牢（肉鸽爬塔）,,防御穿透,,0,0,,"10,10",,,"10,10",,,,
9313,120,Attribute_Name_120,黯影地牢（肉鸽爬塔）,,治疗效果,,0,0,,"10,10",,,"10,10",,,,
9314,123,Attribute_Name_123,黯影地牢（肉鸽爬塔）,,普攻伤害,,0,0,,"10,10",,,"10,10",,,,
9315,124,Attribute_Name_124,黯影地牢（肉鸽爬塔）,,技能伤害,,0,0,,"10,10",,,"10,10",,,,
9316,125,Attribute_Name_125,黯影地牢（肉鸽爬塔）,,奥义伤害,,0,0,,"10,10",,,"10,10",,,,
9317,134,Attribute_Name_134,黯影地牢（肉鸽爬塔）,,护盾效果,,0,0,,"10,10",,,"10,10",,,,
9318,137,Attribute_Name_137,黯影地牢（肉鸽爬塔）,,回能效率,,0,0,,"10,10",,,"10,10",,,,
9319,147,Attribute_Name_142,黯影地牢（肉鸽爬塔）,,灵魂解放伤害,,0,0,,"10,10",,,"10,10",,,,
9320,133,Attribute_Name_133,黯影地牢（肉鸽爬塔）,,反噬比例,,0,0,,"10,10",,,"10,10",,,,
4000101,101,,,,试练塔1层敌人生命增益,,0,0,,"200,200",,,"50,50",,,,icon_500001
4000102,102,,,,试练塔1层敌人攻击增益,,0,0,,"20,20",,,"10,10",,,,icon_500002
4000201,101,,,,试练塔2层敌人生命增益,,0,0,,"250,250",,,"50,50",,,,icon_500003
4000202,102,,,,试练塔2层敌人攻击增益,,0,0,,"25,25",,,"10,10",,,,icon_500004
4000301,101,,,,试练塔3层敌人生命增益,,0,0,,"300,300",,,"50,50",,,,icon_500005
4000302,102,,,,试练塔3层敌人攻击增益,,0,0,,"30,30",,,"10,10",,,,icon_500006
4000401,101,,,,试练塔4层敌人生命增益,,0,0,,"350,350",,,"50,50",,,,icon_500001
4000402,102,,,,试练塔4层敌人攻击增益,,0,0,,"35,35",,,"10,10",,,,icon_500002
4000501,101,,,,试练塔boss1生命增益,,0,0,,"1000,1000",,,"200,200",,,,icon_500003
4000502,102,,,,试练塔boss1攻击增益,,0,0,,"100,100",,,"20,20",,,,icon_500004
4000601,101,,,,试练塔6层敌人生命增益,,0,0,,"400,400",,,"50,50",,,,icon_500005
4000602,102,,,,试练塔6层敌人攻击增益,,0,0,,"40,40",,,"10,10",,,,icon_500006
4000701,101,,,,试练塔7层敌人生命增益,,0,0,,"450,450",,,"50,50",,,,icon_500001
4000702,102,,,,试练塔7层敌人攻击增益,,0,0,,"45,45",,,"10,10",,,,icon_500002
4000801,101,,,,试练塔8层敌人生命增益,,0,0,,"500,500",,,"50,50",,,,icon_500003
4000802,102,,,,试练塔8层敌人攻击增益,,0,0,,"50,50",,,"10,10",,,,icon_500004
4000901,101,,,,试练塔9层敌人生命增益,,0,0,,"500,500",,,"50,50",,,,icon_500005
4000902,102,,,,试练塔9层敌人攻击增益,,0,0,,"50,50",,,"10,10",,,,icon_500006
4001001,101,,,,试练塔boss2生命增益,,0,0,,"2000,2000",,,"200,200",,,,icon_500001
4001002,102,,,,试练塔boss2攻击增益,,0,0,,"150,150",,,"20,20",,,,icon_500002
301300191,0,,饰品等级+1,,格蕾,,0,0,,,,,,,,301300191,
301300391,0,,饰品等级+1,,阿涅克丝,,0,0,,,,,,,,301300391,
301300491,0,,饰品等级+1,,炽爱,,0,0,,,,,,,,301300491,
301300691,0,,饰品等级+1,,水仙,,0,0,,,,,,,,301300691,
301300791,0,,饰品等级+1,,菲莉希亚,,0,0,,,,,,,,301300791,
301300891,0,,饰品等级+1,,梅露特,,0,0,,,,,,,,301300891,
301300991,0,,饰品等级+1,,奈奈芙,,0,0,,,,,,,,301300991,
301301491,0,,饰品等级+1,,玛瑙,,0,0,,,,,,,,301301491,
301301591,0,,饰品等级+1,,哀歌,,0,0,,,,,,,,301301591,
301301791,0,,饰品等级+1,,波斯菊,,0,0,,,,,,,,301301791,
301301891,0,,饰品等级+1,,爱琳,,0,0,,,,,,,,301301891,
301301991,0,,饰品等级+1,,库萝心,,0,0,,,,,,,,301301991,
301302091,0,,饰品等级+1,,维达,,0,0,,,,,,,,301302091,
301302291,0,,饰品等级+1,,莱拉,,0,0,,,,,,,,301302291,
301302391,0,,饰品等级+1,,芙洛拉,,0,0,,,,,,,,301302391,
301302591,0,,饰品等级+1,,多萝西,,0,0,,,,,,,,301302591,
301400191,0,,饰品等级+1,,普琳普顿,,0,0,,,,,,,,301400191,
301400391,0,,饰品等级+1,,焰心,,0,0,,,,,,,,301400391,
301400491,0,,饰品等级+1,,索菲,,0,0,,,,,,,,301400491,
301400591,0,,饰品等级+1,,弥生,,0,0,,,,,,,,301400591,
301401291,0,,饰品等级+1,,未来,,0,0,,,,,,,,301401291,
301401691,0,,饰品等级+1,,杏林,,0,0,,,,,,,,301401691,
301401891,0,,饰品等级+1,,诗娅,,0,0,,,,,,,,301401891,
301401991,0,,饰品等级+1,,艾什尔,,0,0,,,,,,,,301401991,
301402091,0,,饰品等级+1,,阿波菲斯,,0,0,,,,,,,,301402091,
301402191,0,,饰品等级+1,,纳菲,,0,0,,,,,,,,301402191,
301402291,0,,饰品等级+1,,丘吉尔,,0,0,,,,,,,,301402291,
301402391,0,,饰品等级+1,,神光,,0,0,,,,,,,,301402391,
301402491,0,,饰品等级+1,,雷雷,,0,0,,,,,,,,301402491,
301402591,0,,饰品等级+1,,安普莎,,0,0,,,,,,,,301402591,
301402691,0,,饰品等级+1,,库萝爱,,0,0,,,,,,,,301402691,
301402791,0,,饰品等级+1,,贝拉,,0,0,,,,,,,,301402791,
301402991,0,,饰品等级+1,,贝儿,,0,0,,,,,,,,301402991,
301403091,0,,饰品等级+1,,安娜,,0,0,,,,,,,,301403091,
301500291,0,,饰品等级+1,,丹妮,,0,0,,,,,,,,301500291,
301500491,0,,饰品等级+1,,耶坦尼娅,,0,0,,,,,,,,301500491,
301500691,0,,饰品等级+1,,希夕莉,,0,0,,,,,,,,301500691,
301500791,0,,饰品等级+1,,萨拉,,0,0,,,,,,,,301500791,
301500891,0,,饰品等级+1,,牧,,0,0,,,,,,,,301500891,
301600991,0,,饰品等级+1,,吉拉蒂亚,,0,0,,,,,,,,301600991,
301601191,0,,饰品等级+1,,卡萝琳,,0,0,,,,,,,,301601191,
301601391,0,,饰品等级+1,,克尔苏娜,,0,0,,,,,,,,301601391,
301601791,0,,饰品等级+1,,罗莎莉,,0,0,,,,,,,,301601791,
301602391,0,,饰品等级+1,,佩内洛普,,0,0,,,,,,,,301602391,
301603191,0,,饰品等级+1,,小闪,,0,0,,,,,,,,301603191,
301603891,0,,饰品等级+1,,仙蒂,,0,0,,,,,,,,301603891,
301607891,0,,饰品等级+1,,昔莱,,0,0,,,,,,,,301607891,
301613091,0,,饰品等级+1,,伊卡洛斯,,0,0,,,,,,,,301613091,
301400991,0,,饰品等级+1,,桃,,0,0,,,,,,,,301400991,
301403191,0,,饰品等级+1,,伊拉,,0,0,,,,,,,,301403191,
301618791,0,,饰品等级+1,,异邦波斯菊,,0,0,,,,,,,,301618791,
301606891,0,,饰品等级+1,,贝卡丝,,0,0,,,,,,,,301606891,
301601091,0,,饰品等级+1,,瑞比娅,,0,0,,,,,,,,301601091,
301602491,0,,饰品等级+1,,塞蕾丝蒂娜,,0,0,,,,,,,,301602491,
301602091,0,,饰品等级+1,,奈奥米,,0,0,,,,,,,,301602091,
301604991,0,,饰品等级+1,,艾琳娜,,0,0,,,,,,,,301604991,
301401191,0,,饰品等级+1,,艾斯塔利亚,,0,0,,,,,,,,301401191,
301618891,0,,饰品等级+1,,极焰,,0,0,,,,,,,,301618891,
301400291,0,,饰品等级+1,,黛比,,0,0,,,,,,,,301400291,
301601691,0,,饰品等级+1,,露易丝,,0,0,,,,,,,,301601691,
301400691,0,,饰品等级+1,,恋花,,0,0,,,,,,,,301400691,
301401791,0,,饰品等级+1,,花梨,,0,0,,,,,,,,301401791,
301301391,0,,饰品等级+1,,菲尔盖娜,,0,0,,,,,,,,301301391,
301500191,0,,饰品等级+1,,诺维雅,,0,0,,,,,,,,301500191,
301700191,0,,饰品等级+1,,雪泉,,0,0,,,,,,,,301700191,
301700291,0,,饰品等级+1,,雪不归,,0,0,,,,,,,,301700291,
301611991,0,,饰品等级+1,,杜达·戴维,,0,0,,,,,,,,301611991,
301618991,0,,饰品等级+1,,塔嘉娜,,0,0,,,,,,,,301618991,
301402891,0,,饰品等级+1,,卡洛蒂,,0,0,,,,,,,,301402891,
301619191,0,,饰品等级+1,,爱尔维拉,,0,0,,,,,,,,301619191,
50100,102,,诞生血3,,诞生血,,"4,1",0,0,,"30,30",,,"30,30",,,
50101,103,,诞生攻3,,诞生攻,,"4,1",0,0,,"30,30",,,"30,30",,,
50102,101,,诞生防3,,诞生防,,"4,1",0,0,,"30,30",,,"30,30",,,
50103,102,,诞生血3.4,,诞生血,,"4,1",0,0,,"34,34",,,"34,34",,,
50104,103,,诞生攻3.4,,诞生攻,,"4,1",0,0,,"34,34",,,"34,34",,,
50105,101,,诞生防3.4,,诞生防,,"4,1",0,0,,"34,34",,,"34,34",,,
50106,102,,诞生血5,,诞生血,,"4,1",0,0,,"50,50",,,"50,50",,,
50107,103,,诞生攻5,,诞生攻,,"4,1",0,0,,"50,50",,,"50,50",,,
50108,101,,诞生防5,,诞生防,,"4,1",0,0,,"50,50",,,"50,50",,,
50109,1,,技能1效果1等级+1,,,,"4,1",0,0,,,,,,,8003001,
50110,1,,技能2等级+1,,,,"4,1",0,0,,,,,,,8003003,
50111,1,,技能3等级+1,,,,"4,1",0,0,,,,,,,8003002,
50115,1,,技能1效果2等级+1,,,,"4,1",0,0,,,,,,,8003004,
50112,102,,30级词条,,诞生血PVE,,"4,1",0,1,,"10,10",,,"10,10",,,
50113,103,,30级词条,,诞生攻PVE,,"4,1",0,1,,"10,10",,,"10,10",,,
50114,101,,30级词条,,诞生防PVE,,"4,1",0,1,,"10,10",,,"10,10",,,
50200,102,,君王血3,,君王血,,"4,2",0,0,,"30,30",,,"30,30",,,
50201,103,,君王攻3,,君王攻,,"4,2",0,0,,"30,30",,,"30,30",,,
50202,101,,君王防3,,君王防,,"4,2",0,0,,"30,30",,,"30,30",,,
50203,102,,君王血3.4,,君王血,,"4,2",0,0,,"34,34",,,"34,34",,,
50204,103,,君王攻3.4,,君王攻,,"4,2",0,0,,"34,34",,,"34,34",,,
50205,101,,君王防3.4,,君王防,,"4,2",0,0,,"34,34",,,"34,34",,,
50206,102,,君王血5,,君王血,,"4,2",0,0,,"50,50",,,"50,50",,,
50207,103,,君王攻5,,君王攻,,"4,2",0,0,,"50,50",,,"50,50",,,
50208,101,,君王防5,,君王防,,"4,2",0,0,,"50,50",,,"50,50",,,
50209,1,,技能1效果1等级+1,,,,"4,2",0,0,,,,,,,8004001,
50210,1,,技能2等级+1,,,,"4,2",0,0,,,,,,,8004003,
50211,1,,技能3等级+1,,,,"4,2",0,0,,,,,,,8004002,
50215,1,,技能1效果2等级+1,,,,"4,2",0,0,,,,,,,8004004,
50212,102,,30级词条,,君王血PVE,,"4,2",0,1,,"10,10",,,"10,10",,,
50213,103,,30级词条,,君王攻PVE,,"4,2",0,1,,"10,10",,,"10,10",,,
50214,101,,30级词条,,君王防PVE,,"4,2",0,1,,"10,10",,,"10,10",,,
50300,102,,传道血3,,传道血,,"4,3",0,0,,"30,30",,,"30,30",,,
50301,103,,传道攻3,,传道攻,,"4,3",0,0,,"30,30",,,"30,30",,,
50302,101,,传道防3,,传道防,,"4,3",0,0,,"30,30",,,"30,30",,,
50303,102,,传道血3.4,,传道血,,"4,3",0,0,,"34,34",,,"34,34",,,
50304,103,,传道攻3.4,,传道攻,,"4,3",0,0,,"34,34",,,"34,34",,,
50305,101,,传道防3.4,,传道防,,"4,3",0,0,,"34,34",,,"34,34",,,
50306,102,,传道血5,,传道血,,"4,3",0,0,,"50,50",,,"50,50",,,
50307,103,,传道攻5,,传道攻,,"4,3",0,0,,"50,50",,,"50,50",,,
50308,101,,传道防5,,传道防,,"4,3",0,0,,"50,50",,,"50,50",,,
50309,1,,技能1效果1等级+1,,,,"4,3",0,0,,,,,,,8005005,
50310,1,,技能2等级+1,,,,"4,3",0,0,,,,,,,8005004,
50311,1,,技能3等级+1,,,,"4,3",0,0,,,,,,,8005003,
50315,1,,技能1效果2等级+1,,,,"4,3",0,0,,,,,,,8005001,
50312,102,,30级词条,,传道血PVE,,"4,3",0,1,,"10,10",,,"10,10",,,
50313,103,,30级词条,,传道攻PVE,,"4,3",0,1,,"10,10",,,"10,10",,,
50314,101,,30级词条,,传道防PVE,,"4,3",0,1,,"10,10",,,"10,10",,,
50400,102,,仆从血3,,仆从血,,"4,4",0,0,,"30,30",,,"30,30",,,
50401,103,,仆从攻3,,仆从攻,,"4,4",0,0,,"30,30",,,"30,30",,,
50402,101,,仆从防3,,仆从防,,"4,4",0,0,,"30,30",,,"30,30",,,
50403,102,,仆从血3.4,,仆从血,,"4,4",0,0,,"34,34",,,"34,34",,,
50404,103,,仆从攻3.4,,仆从攻,,"4,4",0,0,,"34,34",,,"34,34",,,
50405,101,,仆从防3.4,,仆从防,,"4,4",0,0,,"34,34",,,"34,34",,,
50406,102,,仆从血5,,仆从血,,"4,4",0,0,,"50,50",,,"50,50",,,
50407,103,,仆从攻5,,仆从攻,,"4,4",0,0,,"50,50",,,"50,50",,,
50408,101,,仆从防5,,仆从防,,"4,4",0,0,,"50,50",,,"50,50",,,
50409,1,,技能1效果1等级+1,,,,"4,4",0,0,,,,,,,8006001,
50410,1,,技能2等级+1,,,,"4,4",0,0,,,,,,,8006003,
50411,1,,技能3等级+1,,,,"4,4",0,0,,,,,,,8006002,
50415,1,,技能1效果2等级+1,,,,"4,4",0,0,,,,,,,8006004,
50412,102,,30级词条,,仆从血PVE,,"4,4",0,1,,"10,10",,,"10,10",,,
50413,103,,30级词条,,仆从攻PVE,,"4,4",0,1,,"10,10",,,"10,10",,,
50414,101,,30级词条,,仆从防PVE,,"4,4",0,1,,"10,10",,,"10,10",,,
50500,102,,神子血3,,神子血,,"4,5",0,0,,"30,30",,,"30,30",,,
50501,103,,神子攻3,,神子攻,,"4,5",0,0,,"30,30",,,"30,30",,,
50502,101,,神子防3,,神子防,,"4,5",0,0,,"30,30",,,"30,30",,,
50503,102,,神子血3.4,,神子血,,"4,5",0,0,,"34,34",,,"34,34",,,
50504,103,,神子攻3.4,,神子攻,,"4,5",0,0,,"34,34",,,"34,34",,,
50505,101,,神子防3.4,,神子防,,"4,5",0,0,,"34,34",,,"34,34",,,
50506,102,,神子血5,,神子血,,"4,5",0,0,,"50,50",,,"50,50",,,
50507,103,,神子攻5,,神子攻,,"4,5",0,0,,"50,50",,,"50,50",,,
50508,101,,神子防5,,神子防,,"4,5",0,0,,"50,50",,,"50,50",,,
50509,1,,技能1效果1等级+1,,,,"4,5",0,0,,,,,,,8007001,
50510,1,,技能2等级+1,,,,"4,5",0,0,,,,,,,8007003,
50511,1,,技能3等级+1,,,,"4,5",0,0,,,,,,,8007002,
50515,1,,技能1效果2等级+1,,,,"4,5",0,0,,,,,,,8007004,
50512,102,,30级词条,,神子血PVE,,"4,5",0,1,,"10,10",,,"10,10",,,
50513,103,,30级词条,,神子攻PVE,,"4,5",0,1,,"10,10",,,"10,10",,,
50514,101,,30级词条,,神子防PVE,,"4,5",0,1,,"10,10",,,"10,10",,,
50600,102,,受难血3,,受难血,,"4,6",0,0,,"30,30",,,"30,30",,,
50601,103,,受难攻3,,受难攻,,"4,6",0,0,,"30,30",,,"30,30",,,
50602,101,,受难防3,,受难防,,"4,6",0,0,,"30,30",,,"30,30",,,
50603,102,,受难血3.4,,受难血,,"4,6",0,0,,"34,34",,,"34,34",,,
50604,103,,受难攻3.4,,受难攻,,"4,6",0,0,,"34,34",,,"34,34",,,
50605,101,,受难防3.4,,受难防,,"4,6",0,0,,"34,34",,,"34,34",,,
50606,102,,受难血5,,受难血,,"4,6",0,0,,"50,50",,,"50,50",,,
50607,103,,受难攻5,,受难攻,,"4,6",0,0,,"50,50",,,"50,50",,,
50608,101,,受难防5,,受难防,,"4,6",0,0,,"50,50",,,"50,50",,,
50609,1,,技能1效果1等级+1,,,,"4,6",0,0,,,,,,,8008001,
50610,1,,技能2等级+1,,,,"4,6",0,0,,,,,,,8008003,
50611,1,,技能3等级+1,,,,"4,6",0,0,,,,,,,8008002,
50615,1,,技能1效果2等级+1,,,,"4,6",0,0,,,,,,,8008004,
50612,102,,30级词条,,,,"4,6",0,1,,"10,10",,,"10,10",,,
50613,103,,30级词条,,,,"4,6",0,1,,"10,10",,,"10,10",,,
50614,101,,30级词条,,,,"4,6",0,1,,"10,10",,,"10,10",,,
50700,102,,人子血3,,人子血,,"4,7",0,0,,"30,30",,,"30,30",,,
50701,103,,人子攻3,,人子攻,,"4,7",0,0,,"30,30",,,"30,30",,,
50702,101,,人子防3,,人子防,,"4,7",0,0,,"30,30",,,"30,30",,,
50703,102,,人子血3.4,,人子血,,"4,7",0,0,,"34,34",,,"34,34",,,
50704,103,,人子攻3.4,,人子攻,,"4,7",0,0,,"34,34",,,"34,34",,,
50705,101,,人子防3.4,,人子防,,"4,7",0,0,,"34,34",,,"34,34",,,
50706,102,,人子血5,,人子血,,"4,7",0,0,,"50,50",,,"50,50",,,
50707,103,,人子攻5,,人子攻,,"4,7",0,0,,"50,50",,,"50,50",,,
50708,101,,人子防5,,人子防,,"4,7",0,0,,"50,50",,,"50,50",,,
50709,1,,技能1效果1等级+1,,,,"4,7",0,0,,,,,,,8009001,
50710,1,,技能2等级+1,,,,"4,7",0,0,,,,,,,8009003,
50711,1,,技能3等级+1,,,,"4,7",0,0,,,,,,,8009002,
50715,1,,技能1效果2等级+1,,,,"4,7",0,0,,,,,,,8009004,
50712,102,,30级词条,,,,"4,7",0,1,,"10,10",,,"10,10",,,
50713,103,,30级词条,,,,"4,7",0,1,,"10,10",,,"10,10",,,
50714,101,,30级词条,,,,"4,7",0,1,,"10,10",,,"10,10",,,
61001,101,Attribute_Name_101,,主词条属性,生命,,1,0,,"360,360",,,"60,60",,,,
61002,102,Attribute_Name_102,,主词条属性,攻击,,1,0,,"30,30",,,"10,10",,,,
61003,103,Attribute_Name_103,,主词条属性,防御,,1,0,,"30,30",,,"10,10",,,,
61004,114,Attribute_Name_114,,主词条属性,暴击率加成,ui_role_info_attr_0_15,1,0,,"13,13",,,"3,3",,,,
61005,116,Attribute_Name_116,,主词条属性,暴击率伤害加成,,1,0,,"26,26",,,"6,6",,,,
61006,134,Attribute_Name_134,,主词条属性,护盾效果,,1,0,,"12,12",,,"2,2",,,,
61007,137,Attribute_Name_137,,主词条属性,回能效率,,1,0,,"13,13",,,"3,3",,,,
61008,120,Attribute_Name_120,,主词条属性,治疗效果,,1,0,,"12,12",,,"2,2",,,,
61009,104,Attribute_Name_104,,主词条属性,韧性值,,1,0,,"200,200",,,"21,21",,,,
61010,107,Attribute_Name_107,,主词条属性,效果命中,,1,0,,"13,13",,,"3,3",,,,
61011,109,Attribute_Name_109,,主词条属性,弱破效果,,1,0,,"13,13",,,"3,3",,,,
61012,112,Attribute_Name_112,,主词条属性,伤害加成,,1,0,,"13,13",,,"3,3",,,,
61013,102,AttrRefix_name_102_2,,主词条属性,基础攻击加成,,1,0,,,"12,12",,,"2,2",,,
61014,103,AttrRefix_name_103_2,,主词条属性,基础防御加成,,1,0,,,"12,12",,,"2,2",,,
61015,101,AttrRefix_name_101_2,,主词条属性,基础生命加成,,1,0,,,"12,12",,,"2,2",,,
61016,104,AttrRefix_name_104_2,,主词条属性,基础韧性加成,,1,0,,,"12,12",,,"2,2",,,
61017,108,Attribute_Name_108,,主词条属性,效果抵抗,,1,0,,"13,13",,,"3,3",,,,
61018,115,Attribute_Name_115,,主词条属性,暴击抵抗,,1,0,,"13,13",,,"3,3",,,,
61019,110,Attribute_Name_110,,主词条属性,弱破抵抗,,1,0,,"13,13",,,"3,3",,,,
61020,135,Attribute_Name_135,,主词条属性,受到护盾效果,,1,0,,"34,34",,,"4,4",,,,
61021,121,Attribute_Name_121,,主词条属性,受到治疗效果,,1,0,,"34,34",,,"4,4",,,,
61022,113,Attribute_Name_113,,主词条属性,伤害减免,,1,0,,"13,13",,,"3,3",,,,
61023,3001,Attribute_Name_3001,,主词条属性,灼烧效果,,1,0,,"13,13",,,"3,3",,,,
61024,3012,Attribute_Name_3012,,主词条属性,侵蚀效果,,1,0,,"13,13",,,"3,3",,,,
61025,3005,Attribute_Name_3005,,主词条属性,感电效果,,1,0,,"13,13",,,"3,3",,,,
62001,105,Attribute_Name_105,,副词条属性,速度小,,1,1,,"2,4",,,,,,,
62002,105,Attribute_Name_105,,副词条属性,速度中,,1,2,,"5,7",,,,,,,
62003,105,Attribute_Name_105,,副词条属性,速度大,,1,3,,"8,10",,,,,,,
62004,102,Attribute_Name_102,,副词条属性,攻击小,,1,1,,"30,60",,,,,,,
62005,102,Attribute_Name_102,,副词条属性,攻击中,,1,2,,"61,120",,,,,,,
62006,102,Attribute_Name_102,,副词条属性,攻击大,,1,3,,"121,150",,,,,,,
62007,103,Attribute_Name_103,,副词条属性,防御小,,1,1,,"30,60",,,,,,,
62008,103,Attribute_Name_103,,副词条属性,防御中,,1,2,,"61,120",,,,,,,
62009,103,Attribute_Name_103,,副词条属性,防御大,,1,3,,"121,150",,,,,,,
62010,101,Attribute_Name_101,,副词条属性,生命小,,1,1,,"160,320",,,,,,,
62011,101,Attribute_Name_101,,副词条属性,生命中,,1,2,,"321,640",,,,,,,
62013,101,Attribute_Name_101,,副词条属性,生命大,,1,3,,"641,800",,,,,,,
62015,104,Attribute_Name_104,,副词条属性,韧性值小,,1,1,,"80,160",,,,,,,
62017,104,Attribute_Name_104,,副词条属性,韧性值中,,1,2,,"161,320",,,,,,,
62019,104,Attribute_Name_104,,副词条属性,韧性值大,,1,3,,"321,400",,,,,,,
62021,107,Attribute_Name_107,,副词条属性,效果命中小,,1,1,,"10,20",,,,,,,
62023,107,Attribute_Name_107,,副词条属性,效果命中中,,1,2,,"21,40",,,,,,,
62024,107,Attribute_Name_107,,副词条属性,效果命中大,,1,3,,"41,50",,,,,,,
62025,108,Attribute_Name_108,,副词条属性,效果抵抗小,,1,1,,"20,35",,,,,,,
62026,108,Attribute_Name_108,,副词条属性,效果抵抗中,,1,2,,"36,55",,,,,,,
