Id,,SaveBit,StorypackName,Type
5800015,阿涅克丝星痕记忆,216,dailystory_aniekesi_01,1
5800016,卡洛琳星痕记忆,217,dailystory_kaluolin_01,1
5800017,库萝爱星痕记忆,218,dailystory_kuluoai_01,1
5800018,库萝心星痕记忆,219,dailystory_kuluoxin_01,1
5800019,罗莎莉星痕记忆,220,dailystory_luoshali_01,1
5800020,玛瑙星痕记忆,221,dailystory_manao_01,1
5800021,纳菲星痕记忆,222,dailystory_nafei_01,1
5800022,普林普顿星痕记忆,223,dailystory_pulinpudun_01,1
5800023,小闪星痕记忆,224,dailystory_xiaoshan_01,1
5800024,神光星痕记忆,225,dailystory_shenguang_01,1
5800025,阿波菲斯星痕记忆,226,dailystory_abofeisi_01,1
5800026,弥生星痕记忆,227,dailystory_misheng_01,1
5800027,哀歌星痕记忆,228,dailystory_aige_01,1
5800028,贝拉星痕记忆,229,dailystory_beila_01,1
5800029,炽爱星痕记忆,230,dailystory_chiai_01,1
5800030,昔莱星痕记忆,231,dailystory_xilai_01,1
5800031,桃星痕记忆,232,dailystory_tao_01,1
5800032,塞蕾丝蒂娜星痕记忆,233,dailystory_saileisidina_01,1
5800033,瑞比娅星痕记忆,234,dailystory_ruibiya_01,1
5800034,贝卡丝星痕记忆,235,dailystory_beikasi_01,1
5800035,大波斯菊星痕记忆,236,dailystory_dabosiju_01,1
5800036,波斯菊星痕记忆,237,dailystory_bosiju_01,1
5800037,奈奥米星痕记忆,238,dailystory_naiaomi_01,1
5800038,露易丝星痕记忆,239,dailystory_luyisi_01,1
5800039,艾琳娜星痕记忆,240,dailystory_ailinna_01,1
5800040,极焰星痕记忆,241,dailystory_jiyan_01,1
5800041,艾斯塔利亚星痕记忆,242,dailystory_aisitaliya_01,1
5800042,雪泉星痕记忆,243,dailystory_xuequan_01,1
5800043,雪不归星痕记忆,244,dailystory_xuebugui_01,1
5800044,佩内洛普星痕记忆,245,dailystory_peineiluopu_01,1
5800045,丘吉尔星痕记忆2,246,dailystory_qiujier_02,1
5800046,格雷星痕记忆,247,dailystory_gelei_01,1
5800047,塔嘉娜星痕记忆,248,dailystory_tajiana_01,1
5803001,律-餐厅好感1,249,lv_canting_haogan1,3
5803002,律-餐厅好感3,250,lv_canting_haogan3,3
5803003,律-餐厅好感5,251,lv_canting_haogan5,3
5803004,律-自宅好感1,252,lv_zizhai_haogan1,3
5803005,律-自宅好感3,253,lv_zizhai_haogan3,3
5803006,律-自宅好感5,254,lv_zizhai_haogan5,3
5803007,律-圣殿好感1,255,lv_shengdian_haogan1,3
5803008,律-圣殿好感3,256,lv_shengdian_haogan3,3
5803009,律-圣殿好感5,257,lv_shengdian_haogan5,3
5803010,律-图书馆好感1,258,lv_tushuguan_haogan1,3
5803011,律-图书馆好感3,259,lv_tushuguan_haogan3,3
5803012,律-图书馆好感5,260,lv_tushuguan_haogan5,3
5803013,律-乐园好感1,261,lv_leyuan_haogan1,3
5803014,律-乐园好感3,262,lv_leyuan_haogan3,3
5803015,律-乐园好感5,263,lv_leyuan_haogan5,3
5803016,律-通用好感1-1,264,lv_tongyong_haogan1_1,3
5803017,律-通用好感1-2,265,lv_tongyong_haogan1_2,3
5803018,律-通用好感1-3,266,lv_tongyong_haogan1_3,3
5803019,律-通用好感1-4,267,lv_tongyong_haogan1_4,3
5803020,律-通用好感1-5,268,lv_tongyong_haogan1_5,3
5803021,律-通用好感1-6,269,lv_tongyong_haogan1_6,3
5803022,律-通用好感1-7,270,lv_tongyong_haogan1_7,3
5803023,律-通用好感1-8,271,lv_tongyong_haogan1_8,3
5803024,律-通用好感1-9,272,lv_tongyong_haogan1_9,3
5803025,律-通用好感1-10,273,lv_tongyong_haogan1_10,3
5803026,律-通用好感2-1,274,lv_tongyong_haogan2_1,3
5803027,律-通用好感2-2,275,lv_tongyong_haogan2_2,3
5803028,律-通用好感2-3,276,lv_tongyong_haogan2_3,3
5803029,律-通用好感2-4,277,lv_tongyong_haogan2_4,3
5803030,律-通用好感2-5,278,lv_tongyong_haogan2_5,3
5803031,律-通用好感2-6,279,lv_tongyong_haogan2_6,3
5803032,律-通用好感2-7,280,lv_tongyong_haogan2_7,3
5803033,律-通用好感2-8,281,lv_tongyong_haogan2_8,3
5803034,律-通用好感2-9,282,lv_tongyong_haogan2_9,3
5803035,律-通用好感2-10,283,lv_tongyong_haogan2_10,3
5803036,律-通用好感3-1,284,lv_tongyong_haogan3_1,3
5803037,律-通用好感3-2,285,lv_tongyong_haogan3_2,3
5803038,律-通用好感3-3,286,lv_tongyong_haogan3_3,3
5803039,律-通用好感3-4,287,lv_tongyong_haogan3_4,3
5803040,律-通用好感3-5,288,lv_tongyong_haogan3_5,3
5803041,律-通用好感3-6,289,lv_tongyong_haogan3_6,3
5803042,律-通用好感3-7,290,lv_tongyong_haogan3_7,3
5803043,律-通用好感4-1,291,lv_tongyong_haogan4_1,3
5803044,律-通用好感4-2,292,lv_tongyong_haogan4_2,3
5803045,律-通用好感4-3,293,lv_tongyong_haogan4_3,3
5803046,律-通用好感4-4,294,lv_tongyong_haogan4_4,3
5803047,律-通用好感4-5,295,lv_tongyong_haogan4_5,3
5803048,律-通用好感4-6,296,lv_tongyong_haogan4_6,3
5803049,律-通用好感4-7,297,lv_tongyong_haogan4_7,3
5803050,律-通用好感5-1,298,lv_tongyong_haogan5_1,3
5803051,律-通用好感5-2,299,lv_tongyong_haogan5_2,3
5803052,律-通用好感5-3,300,lv_tongyong_haogan5_3,3
5803053,律-通用好感5-4,301,lv_tongyong_haogan5_4,3
5803054,律-通用好感5-5,302,lv_tongyong_haogan5_5,3
5803055,克萝萝-餐厅好感1,303,kll_canting_haogan1,3
5803056,克萝萝-餐厅好感3,304,kll_canting_haogan3,3
5803057,克萝萝-餐厅好感5,305,kll_canting_haogan5,3
5803058,克萝萝-自宅好感1,306,kll_zizhai_haogan1,3
5803059,克萝萝-自宅好感3,307,kll_zizhai_haogan3,3
5803060,克萝萝-自宅好感5,308,kll_zizhai_haogan5,3
5803061,克萝萝-圣殿好感1,309,kll_shengdian_haogan1,3
5803062,克萝萝-圣殿好感3,310,kll_shengdian_haogan3,3
5803063,克萝萝-圣殿好感5,311,kll_shengdian_haogan5,3
5803064,克萝萝-图书馆好感1,312,kll_tushuguan_haogan1,3
5803065,克萝萝-图书馆好感3,313,kll_tushuguan_haogan3,3
5803066,克萝萝-图书馆好感5,314,kll_tushuguan_haogan5,3
5803067,克萝萝-乐园好感1,315,kll_leyuan_haogan1,3
5803068,克萝萝-乐园好感3,316,kll_leyuan_haogan3,3
5803069,克萝萝-乐园好感5,317,kll_leyuan_haogan5,3
5803070,克萝萝-通用好感1-1,318,kll_tongyong_haogan1_1,3
5803071,克萝萝-通用好感1-2,319,kll_tongyong_haogan1_2,3
5803072,克萝萝-通用好感1-3,320,kll_tongyong_haogan1_3,3
5803073,克萝萝-通用好感1-4,321,kll_tongyong_haogan1_4,3
5803074,克萝萝-通用好感1-5,322,kll_tongyong_haogan1_5,3
5803075,克萝萝-通用好感1-6,323,kll_tongyong_haogan1_6,3
5803076,克萝萝-通用好感1-7,324,kll_tongyong_haogan1_7,3
5803077,克萝萝-通用好感1-8,325,kll_tongyong_haogan1_8,3
5803078,克萝萝-通用好感1-9,326,kll_tongyong_haogan1_9,3
5803079,克萝萝-通用好感1-10,327,kll_tongyong_haogan1_10,3
5803080,克萝萝-通用好感2-1,328,kll_tongyong_haogan2_1,3
5803081,克萝萝-通用好感2-2,329,kll_tongyong_haogan2_2,3
5803082,克萝萝-通用好感2-3,330,kll_tongyong_haogan2_3,3
5803083,克萝萝-通用好感2-4,331,kll_tongyong_haogan2_4,3
5803084,克萝萝-通用好感2-5,332,kll_tongyong_haogan2_5,3
5803085,克萝萝-通用好感2-6,333,kll_tongyong_haogan2_6,3
5803086,克萝萝-通用好感2-7,334,kll_tongyong_haogan2_7,3
5803087,克萝萝-通用好感2-8,335,kll_tongyong_haogan2_8,3
5803088,克萝萝-通用好感2-9,336,kll_tongyong_haogan2_9,3
5803089,克萝萝-通用好感2-10,337,kll_tongyong_haogan2_10,3
5803090,克萝萝-通用好感3-1,338,kll_tongyong_haogan3_1,3
5803091,克萝萝-通用好感3-2,339,kll_tongyong_haogan3_2,3
5803092,克萝萝-通用好感3-3,340,kll_tongyong_haogan3_3,3
5803093,克萝萝-通用好感3-4,341,kll_tongyong_haogan3_4,3
5803094,克萝萝-通用好感3-5,342,kll_tongyong_haogan3_5,3
5803095,克萝萝-通用好感3-6,343,kll_tongyong_haogan3_6,3
5803096,克萝萝-通用好感3-7,344,kll_tongyong_haogan3_7,3
5803097,克萝萝-通用好感4-1,345,kll_tongyong_haogan4_1,3
5803098,克萝萝-通用好感4-2,346,kll_tongyong_haogan4_2,3
5803099,克萝萝-通用好感4-3,347,kll_tongyong_haogan4_3,3
5803100,克萝萝-通用好感4-4,348,kll_tongyong_haogan4_4,3
5803101,克萝萝-通用好感4-5,349,kll_tongyong_haogan4_5,3
5803102,克萝萝-通用好感4-6,350,kll_tongyong_haogan4_6,3
5803103,克萝萝-通用好感4-7,351,kll_tongyong_haogan4_7,3
5803104,克萝萝-通用好感5-1,352,kll_tongyong_haogan5_1,3
5803105,克萝萝-通用好感5-2,353,kll_tongyong_haogan5_2,3
5803106,克萝萝-通用好感5-3,354,kll_tongyong_haogan5_3,3
5803107,克萝萝-通用好感5-4,355,kll_tongyong_haogan5_4,3
5803108,克萝萝-通用好感5-5,356,kll_tongyong_haogan5_5,3
5803109,黑神月咏-餐厅好感1,357,hsyy_canting_haogan1,3
5803110,黑神月咏-餐厅好感3,358,hsyy_canting_haogan3,3
5803111,黑神月咏-餐厅好感5,359,hsyy_canting_haogan5,3
5803112,黑神月咏-自宅好感1,360,hsyy_zizhai_haogan1,3
5803113,黑神月咏-自宅好感3,361,hsyy_zizhai_haogan3,3
5803114,黑神月咏-自宅好感5,362,hsyy_zizhai_haogan5,3
5803115,黑神月咏-圣殿好感1,363,hsyy_shengdian_haogan1,3
5803116,黑神月咏-圣殿好感3,364,hsyy_shengdian_haogan3,3
5803117,黑神月咏-圣殿好感5,365,hsyy_shengdian_haogan5,3
5803118,黑神月咏-图书馆好感1,366,hsyy_tushuguan_haogan1,3
5803119,黑神月咏-图书馆好感3,367,hsyy_tushuguan_haogan3,3
5803120,黑神月咏-图书馆好感5,368,hsyy_tushuguan_haogan5,3
5803121,黑神月咏-乐园好感1,369,hsyy_leyuan_haogan1,3
5803122,黑神月咏-乐园好感3,370,hsyy_leyuan_haogan3,3
5803123,黑神月咏-乐园好感5,371,hsyy_leyuan_haogan5,3
5803124,黑神月咏-通用好感1-1,372,hsyy_tongyong_haogan1_1,3
5803125,黑神月咏-通用好感1-2,373,hsyy_tongyong_haogan1_2,3
5803126,黑神月咏-通用好感1-3,374,hsyy_tongyong_haogan1_3,3
5803127,黑神月咏-通用好感1-4,375,hsyy_tongyong_haogan1_4,3
5803128,黑神月咏-通用好感1-5,376,hsyy_tongyong_haogan1_5,3
5803129,黑神月咏-通用好感1-6,377,hsyy_tongyong_haogan1_6,3
5803130,黑神月咏-通用好感1-7,378,hsyy_tongyong_haogan1_7,3
5803131,黑神月咏-通用好感1-8,379,hsyy_tongyong_haogan1_8,3
5803132,黑神月咏-通用好感1-9,380,hsyy_tongyong_haogan1_9,3
5803133,黑神月咏-通用好感1-10,381,hsyy_tongyong_haogan1_10,3
5803134,黑神月咏-通用好感2-1,382,hsyy_tongyong_haogan2_1,3
5803135,黑神月咏-通用好感2-2,383,hsyy_tongyong_haogan2_2,3
5803136,黑神月咏-通用好感2-3,384,hsyy_tongyong_haogan2_3,3
5803137,黑神月咏-通用好感2-4,385,hsyy_tongyong_haogan2_4,3
5803138,黑神月咏-通用好感2-5,386,hsyy_tongyong_haogan2_5,3
5803139,黑神月咏-通用好感2-6,387,hsyy_tongyong_haogan2_6,3
5803140,黑神月咏-通用好感2-7,388,hsyy_tongyong_haogan2_7,3
5803141,黑神月咏-通用好感2-8,389,hsyy_tongyong_haogan2_8,3
5803142,黑神月咏-通用好感2-9,390,hsyy_tongyong_haogan2_9,3
5803143,黑神月咏-通用好感2-10,391,hsyy_tongyong_haogan2_10,3
5803144,黑神月咏-通用好感3-1,392,hsyy_tongyong_haogan3_1,3
5803145,黑神月咏-通用好感3-2,393,hsyy_tongyong_haogan3_2,3
5803146,黑神月咏-通用好感3-3,394,hsyy_tongyong_haogan3_3,3
5803147,黑神月咏-通用好感3-4,395,hsyy_tongyong_haogan3_4,3
5803148,黑神月咏-通用好感3-5,396,hsyy_tongyong_haogan3_5,3
5803149,黑神月咏-通用好感3-6,397,hsyy_tongyong_haogan3_6,3
5803150,黑神月咏-通用好感3-7,398,hsyy_tongyong_haogan3_7,3
5803151,黑神月咏-通用好感4-1,399,hsyy_tongyong_haogan4_1,3
5803152,黑神月咏-通用好感4-2,400,hsyy_tongyong_haogan4_2,3
5803153,黑神月咏-通用好感4-3,401,hsyy_tongyong_haogan4_3,3
5803154,黑神月咏-通用好感4-4,402,hsyy_tongyong_haogan4_4,3
5803155,黑神月咏-通用好感4-5,403,hsyy_tongyong_haogan4_5,3
5803156,黑神月咏-通用好感4-6,404,hsyy_tongyong_haogan4_6,3
5803157,黑神月咏-通用好感4-7,405,hsyy_tongyong_haogan4_7,3
5803158,黑神月咏-通用好感5-1,406,hsyy_tongyong_haogan5_1,3
5803159,黑神月咏-通用好感5-2,407,hsyy_tongyong_haogan5_2,3
5803160,黑神月咏-通用好感5-3,408,hsyy_tongyong_haogan5_3,3
5803161,黑神月咏-通用好感5-4,409,hsyy_tongyong_haogan5_4,3
5803162,黑神月咏-通用好感5-5,410,hsyy_tongyong_haogan5_5,3
5803163,安洁-餐厅好感1,411,anjie_canting_haogan1,3
5803164,安洁-餐厅好感3,412,anjie_canting_haogan3,3
5803165,安洁-餐厅好感5,413,anjie_canting_haogan5,3
5803166,安洁-自宅好感1,414,anjie_zizhai_haogan1,3
5803167,安洁-自宅好感3,415,anjie_zizhai_haogan3,3
5803168,安洁-自宅好感5,416,anjie_zizhai_haogan5,3
5803169,安洁-圣殿好感1,417,anjie_shengdian_haogan1,3
5803170,安洁-圣殿好感3,418,anjie_shengdian_haogan3,3
5803171,安洁-圣殿好感5,419,anjie_shengdian_haogan5,3
5803172,安洁-图书馆好感1,420,anjie_tushuguan_haogan1,3
5803173,安洁-图书馆好感3,421,anjie_tushuguan_haogan3,3
5803174,安洁-图书馆好感5,422,anjie_tushuguan_haogan5,3
5803175,安洁-乐园好感1,423,anjie_leyuan_haogan1,3
5803176,安洁-乐园好感3,424,anjie_leyuan_haogan3,3
5803177,安洁-乐园好感5,425,anjie_leyuan_haogan5,3
5803178,安洁-通用好感1-1,426,anjie_tongyong_haogan1_1,3
5803179,安洁-通用好感1-2,427,anjie_tongyong_haogan1_2,3
5803180,安洁-通用好感1-3,428,anjie_tongyong_haogan1_3,3
5803181,安洁-通用好感1-4,429,anjie_tongyong_haogan1_4,3
5803182,安洁-通用好感1-5,430,anjie_tongyong_haogan1_5,3
5803183,安洁-通用好感1-6,431,anjie_tongyong_haogan1_6,3
5803184,安洁-通用好感1-7,432,anjie_tongyong_haogan1_7,3
5803185,安洁-通用好感1-8,433,anjie_tongyong_haogan1_8,3
5803186,安洁-通用好感1-9,434,anjie_tongyong_haogan1_9,3
5803187,安洁-通用好感1-10,435,anjie_tongyong_haogan1_10,3
5803188,安洁-通用好感2-1,436,anjie_tongyong_haogan2_1,3
5803189,安洁-通用好感2-2,437,anjie_tongyong_haogan2_2,3
5803190,安洁-通用好感2-3,438,anjie_tongyong_haogan2_3,3
5803191,安洁-通用好感2-4,439,anjie_tongyong_haogan2_4,3
5803192,安洁-通用好感2-5,440,anjie_tongyong_haogan2_5,3
5803193,安洁-通用好感2-6,441,anjie_tongyong_haogan2_6,3
5803194,安洁-通用好感2-7,442,anjie_tongyong_haogan2_7,3
5803195,安洁-通用好感2-8,443,anjie_tongyong_haogan2_8,3
5803196,安洁-通用好感2-9,444,anjie_tongyong_haogan2_9,3
5803197,安洁-通用好感2-10,445,anjie_tongyong_haogan2_10,3
5803198,安洁-通用好感3-1,446,anjie_tongyong_haogan3_1,3
5803199,安洁-通用好感3-2,447,anjie_tongyong_haogan3_2,3
