HeroId,Desc1,Name,Type,Attr,AttrGrown,Skill,SkillWeight,PassiveSkill,BattleName
30300043,咎瓦尤斯,monster_name_3030003,2,"101,5222400;102,1;103,44;104,880;105,117","101,1827840;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300044,咎瓦尤斯,monster_name_3030003,2,"101,6144000;102,1;103,44;104,880;105,117","101,2150400;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300045,咎瓦尤斯,monster_name_3030003,2,"101,7142400;102,1;103,44;104,880;105,117","101,2499840;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300046,咎瓦尤斯,monster_name_3030003,2,"101,8217600;102,1;103,44;104,880;105,117","101,2876160;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300047,咎瓦尤斯,monster_name_3030003,2,"101,9369600;102,1;103,44;104,880;105,117","101,3118080;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300048,咎瓦尤斯,monster_name_3030003,2,"101,10598400;102,1;103,44;104,880;105,117","101,3440640;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300049,咎瓦尤斯,monster_name_3030003,2,"101,11904000;102,1;103,44;104,880;105,117","101,3897600;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300050,咎瓦尤斯,monster_name_3030003,2,"101,13286400;102,1;103,44;104,880;105,117","101,4381440;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300051,咎瓦尤斯,monster_name_3030003,2,"101,14745600;102,1;103,44;104,880;105,117","101,4892160;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300052,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300053,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300054,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300055,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300056,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300057,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300058,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300059,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300060,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300061,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300062,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300063,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300064,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300065,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300066,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300067,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300068,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300069,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300070,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300071,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300072,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300073,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300074,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300075,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300076,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300077,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300078,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300079,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300080,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300081,咎瓦尤斯,monster_name_3030003,2,"101,16281600;102,1;103,44;104,880;105,117","101,5429760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
3030005,年兽,monster_name_3030005,2,"101,5120;102,115;103,35;104,720;105,137","101,1792;102,40;103,13;104,252;105,0","3300051,3300052,3300053,3300054",,,monster_battlename_3030005
3060001,恶神-桃,monster_name_3060001,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","36000111,36000112,36000113,36000114,36000115",,"36000116,36000117",monster_battlename_3060001
30600011,恶神-桃,monster_name_3060001,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","36000111,36000112,36000113,36000114,36000115",,"36000116,36000117",monster_battlename_3060001
30600012,恶神-桃,monster_name_30600012,2,"101,10240;102,120;103,39;104,1152;105,158;4001,-500;4005,-500;4012,-500","101,3584;102,42;103,14;104,403;105,0","36000121,36000122",,"36000123,36000124",monster_battlename_30600012
3040001,咒行鵺,monster_name_3040001,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","34000111,34000112,34000114,34000113",,"34000115,34000116",monster_battlename_3040001
3040002,夺心魔,monster_name_3040002,2,"101,3379;102,62;103,46;104,736;105,108","101,1183;102,22;103,16;104,258;105,0","34000211,34000213,34000214,34000215",,"34000216,34000217",monster_battlename_3040002
3040003,深渊刺,monster_name_3040003,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","34000311,34000312,34000313,34000315,34000314",,34000316,monster_battlename_3040003
3040004,炽炎翼,monster_name_3040004,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","34000411,34000412,34000413,34000415,34000414",,34000416,monster_battlename_3040004
3040005,宁芙妖,monster_name_3040005,2,"101,3520;102,62;103,46;104,736;105,108","101,1232;102,22;103,16;104,258;105,0","34000511,34000512,34000513,34000515,34000514",,"34000516,34000517",monster_battlename_3040005
3040006,噬命刃,monster_name_3040006,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","34000611,34000612,34000613,34000614",,"34000615,34000616",monster_battlename_3040006
3040007,影巫女,monster_name_3040007,2,"101,3520;102,62;103,46;104,736;105,108","101,1232;102,22;103,16;104,258;105,0","34000711,34000712,34000713,34000714",,"34000715,34000716",monster_battlename_3040007
3040016,妄兽,monster_name_3040016,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0",,,,monster_battlename_3040016
30400161,祸兽,monster_name_30400161,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","3400161,3400162,3400163",,,monster_battlename_30400161
3040017,婴狐,monster_name_3040017,2,"101,2304;102,106;103,32;104,576;105,126","101,806;102,37;103,11;104,202;105,0","34001711,34001712,34001713,34001714",,,monster_battlename_3040017
30400171,狐魑,monster_name_30400171,2,"101,2560;102,106;103,32;104,576;105,126","101,896;102,37;103,11;104,202;105,0","34001721,34001722,34001723,34001724",,,monster_battlename_30400171
3050001,蝇斥候,monster_name_3050001,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000111,35000112,35000113",,35000114,monster_battlename_3050001
30500011,播疫妖蝇,monster_name_30500011,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000121,35000122,35000123",,35000124,monster_battlename_30500011
30500012,凋败妖蝇,monster_name_30500012,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000131,35000132,35000133",,35000134,monster_battlename_30500012
30500013,蝇斥候-特殊,monster_name_30500013,2,"101,5120;102,115;103,35;104,720;105,137","101,1792;102,40;103,13;104,252;105,0","35000131,35000132,35000133",,35000134,monster_battlename_30500013
3050002,铁骑士,monster_name_3050002,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35000211,35000212,35000213,35000214",,35000215,monster_battlename_3050002
30500021,白银骑士,monster_name_30500021,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35000221,35000222,35000223,35000224",,35000225,monster_battlename_30500021
30500022,黄金骑士,monster_name_30500022,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35000231,35000232,35000233,35000234",,35000235,monster_battlename_30500022
30500023,百战骑士,monster_name_30500023,2,"101,5760;102,67;103,53;104,1000;105,124","101,2016;102,24;103,19;104,350;105,0","35000231,35000232,35000233,35000234",,35000235,monster_battlename_30500023
3050003,刃行者,monster_name_3050003,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000311,35000312,35000313",,35000314,monster_battlename_3050003
30500031,刃行怪,monster_name_30500031,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000321,35000322,35000323",,35000324,monster_battlename_30500031
30500032,刃行魔,monster_name_30500032,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000331,35000332,35000333",,35000334,monster_battlename_30500032
30500033,刃行者-特殊,monster_name_30500033,2,"101,5120;102,115;103,35;104,720;105,137","101,1792;102,40;103,13;104,252;105,0","35000331,35000332,35000333",,35000334,monster_battlename_30500033
3050004,梦游羊·苏生,monster_name_3050004,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000411,35000412,35000413,35000414",,35000415,monster_battlename_3050004
30500041,梦游羊·幻魇,monster_name_30500041,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000421,35000422,35000423,35000424",,35000425,monster_battlename_30500041
30500042,梦游羊·白夜,monster_name_30500042,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000431,35000432,35000433,35000434",,35000435,monster_battlename_30500042
30500043,梦游羊·惊爆,monster_name_30500043,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000441,35000442,35000443,35000444",,35000445,monster_battlename_30500043
3050005,炎射手,monster_name_3050005,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000511,35000512",,35000514,monster_battlename_3050005
30500051,深红射手,monster_name_30500051,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000521,35000522",,35000524,monster_battlename_30500051
30500052,灰烬射手,monster_name_30500052,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35000531,35000532",,35000534,monster_battlename_30500052
30500053,炎射手-特殊,monster_name_30500053,2,"101,5120;102,115;103,35;104,720;105,137","101,1792;102,40;103,13;104,252;105,0","35000531,35000532",,35000534,monster_battlename_30500053
3050006,潜伏怪,monster_name_3050006,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000611,35000612,35000613,35000614",,35000615,monster_battlename_3050006
30500061,掠夺怪,monster_name_30500061,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000621,35000622,35000623,35000624",,35000625,monster_battlename_30500061
30500062,吞噬怪,monster_name_30500062,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35000631,35000632,35000633,35000634",,35000635,monster_battlename_30500062
3050007,食人花,monster_name_3050007,2,"101,768;102,64;103,32;104,352;105,90","101,269;102,22;103,11;104,123;105,0","35000711,35000712,35000713,35000714",,35000715,monster_battlename_3050007
30500071,巨食花,monster_name_30500071,2,"101,768;102,64;103,32;104,352;105,90","101,269;102,22;103,11;104,123;105,0","35000721,35000722,35000723,35000724",,35000725,monster_battlename_30500071
30500072,恶诞花妖,monster_name_30500072,2,"101,768;102,64;103,32;104,352;105,90","101,269;102,22;103,11;104,123;105,0","35000731,35000732,35000733,35000734",,35000735,monster_battlename_30500072
30500073,食人花-特殊,monster_name_30500073,2,"101,768;102,64;103,32;104,352;105,90","101,269;102,22;103,11;104,123;105,0","35000731,35000732,35000733,35000734",,35000735,monster_battlename_30500073
30500074,食人花深渊,monster_name_3050007,2,"101,768;102,64;103,32;104,352;105,90","101,269;102,22;103,11;104,123;105,0","35000741,35000742",,"33000222,33000227",monster_battlename_3050007
3050011,厨怪,monster_name_3050011,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001111,35001112,35001113",,,monster_battlename_3050011
30500111,厨妖,monster_name_30500111,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001121,35001122,35001123",,,monster_battlename_30500111
30500112,厨鬼,monster_name_30500112,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001131,35001132,35001133",,,monster_battlename_30500112
3050012,黑面纱之魅,monster_name_3050012,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35001211,35001212,35001213",,35001214,monster_battlename_3050012
30500121,黑面纱之魇,monster_name_30500121,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35001221,35001222,35001223",,35001224,monster_battlename_30500121
30500122,黑面纱之怨,monster_name_30500122,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35001231,35001232,35001233",,35001234,monster_battlename_30500122
3050013,怒魔人,monster_name_3050013,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001311,35001312,35001313",,"35001314,35001315",monster_battlename_3050013
30500131,噬怒魔,monster_name_30500131,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001321,35001322,35001323",,"35001324,35001325",monster_battlename_30500131
30500132,憎恶异魔,monster_name_30500132,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001331,35001332,35001333",,"35001334,35001335",monster_battlename_30500132
3050014,糖豆妖精,monster_name_3050014,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001411,35001412,35001413",,"35001414,35001415",monster_battlename_3050014
30500141,诡戏妖精,monster_name_30500141,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001421,35001422,35001423",,"35001424,35001425",monster_battlename_30500141
30500142,怪邪妖精,monster_name_30500142,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001431,35001432,35001433",,"35001434,35001435",monster_battlename_30500142
3050015,蕈人,monster_name_3050015,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001511,35001512,35001513",,"35001514,35001515",monster_battlename_3050015
30500151,厚垣蕈人,monster_name_30500151,2,"101,576;102,56;103,39;104,400;105,95","101,202;102,20;103,14;104,140;105,0","35001521,35001522,35001523",,"35001524,35001525",monster_battlename_30500151
30500152,蕈人酋长,monster_name_30500152,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001531,35001532,35001533",,"35001534,35001535",monster_battlename_30500152
3050016,公主骑士偶,monster_name_3050016,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001611,35001612,35001613",,35001614,monster_battlename_3050016
30500161,皇家骑士偶,monster_name_30500161,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001621,35001622,35001623",,35001624,monster_battlename_30500161
30500162,猩红骑士偶,monster_name_30500162,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001631,35001632,35001633",,35001634,monster_battlename_30500162
3050017,烛贤者,monster_name_3050017,2,"101,704;102,56;103,37;104,368;105,90","101,246;102,20;103,13;104,129;105,0","35001711,35001713,35001712,35001714",,"35001715,35001716",monster_battlename_3050017
30500171,炽贤者,monster_name_30500171,2,"101,512;102,96;103,26;104,288;105,105","101,179;102,34;103,9;104,101;105,0","35001721,35001723,35001722,35001724",,"35001725,35001726",monster_battlename_30500171
