Id,Type,Order,client,Title,,Name,,Name2,,Unlock,XiaJianName,,Pos1,Pos2,Pos3,ChapterRewardMission,BGM,BattleIcon,BossType,Png,BackGround,PanoBG,breakthrough_icon,FlagColor,Conditions,bonus
301,3,1,,chapter_title_301,本勒收集,chapter_name_301,本勒收集,chapter_name2_301,OBTAIN BENLER,10118,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_1,ui_cj_di6,,,,,
302,3,2,,chapter_title_302,经验获取,chapter_name_302,经验获取,chapter_name2_302,OBTAIN EXP,10118,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_2,ui_cj_di7,,,,,
303,3,4,,chapter_title_303,技能材料,chapter_name_303,技能材料,chapter_name2_303,OBTAIN CHAPTER,10118,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_4,ui_cj_di8,,,,,
304,3,3,,chapter_title_304,突破-传道,chapter_name_304,突破材料,chapter_name2_304,OBTAIN STAMP,10118,unity_name_304,TRIBUTE,0,0,0,0,,,3,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006117_icon,Common/ItemIcon/1006110_icon,Common/ItemIcon/1006103_icon",,,
305,3,3,,chapter_title_305,突破-君王,chapter_name_305,突破材料,chapter_name2_305,OBTAIN STAMP,10118,unity_name_305,WINGED CLAN,0,0,0,0,,,2,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006116_icon,Common/ItemIcon/1006109_icon,Common/ItemIcon/1006102_icon",,,
306,3,3,,chapter_title_306,突破-仆从,chapter_name_306,突破材料,chapter_name2_306,OBTAIN STAMP,10118,unity_name_306,ABYSS,0,0,0,0,,,4,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006118_icon,Common/ItemIcon/1006111_icon,Common/ItemIcon/1006104_icon",,,
307,3,3,,chapter_title_307,突破-诞生,chapter_name_307,突破材料,chapter_name2_307,OBTAIN STAMP,10118,unity_name_307,BIRTH,0,0,0,0,,,1,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006115_icon,Common/ItemIcon/1006108_icon,Common/ItemIcon/1006101_icon",,,
308,3,3,,chapter_title_308,突破-人子,chapter_name_308,突破材料,chapter_name2_308,OBTAIN STAMP,10118,unity_name_308,MONARCHS,0,0,0,0,,,7,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006121_icon,Common/ItemIcon/1006114_icon,Common/ItemIcon/1006107_icon",,,
309,3,3,,chapter_title_309,突破-受难,chapter_name_309,突破材料,chapter_name2_309,OBTAIN STAMP,10118,unity_name_309,SERVANT,0,0,0,0,,,6,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006120_icon,Common/ItemIcon/1006113_icon,Common/ItemIcon/1006106_icon",,,
310,3,3,,chapter_title_310,突破-神子,chapter_name_310,突破材料,chapter_name2_310,OBTAIN STAMP,10118,unity_name_310,SON OF MAN,0,0,0,0,,,5,ui_cj_baoku_3,ui_cj_di8,,"Common/ItemIcon/1006119_icon,Common/ItemIcon/1006112_icon,Common/ItemIcon/1006105_icon",,,
330,3,5,,chapter_title_330,符文之地,chapter_name_330,符文之地,chapter_name2_330,LANDS OF RUNES,10320,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_5,ui_cj_di8,,"Rune/ui_cj_fwrk_1,0,0",,,
331,3,5,,chapter_title_330,符文之地,chapter_name_330,符文之地,chapter_name2_330,LANDS OF RUNES,10320,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_5,ui_cj_di8,,"Rune/ui_cj_fwrk_2,0,0",,,
332,3,5,,chapter_title_330,符文之地,chapter_name_330,符文之地,chapter_name2_330,LANDS OF RUNES,10320,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_5,ui_cj_di8,,"Rune/ui_cj_fwrk_3,0,0",,,
333,3,5,,chapter_title_330,符文之地,chapter_name_330,符文之地,chapter_name2_330,LANDS OF RUNES,10320,,,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_5,ui_cj_di8,,"Rune/ui_cj_fwrk_4,0,0",,,
334,3,6,,chapter_title_334,专武副本,chapter_name_334,专武材料,chapter_name2_334,MEETING PLACE,10407,,SON OF MAN,0,0,0,0,bgm_JieMian_FuYinGuanLi,,0,ui_cj_baoku_6_1,ui_cj_di8,,,,,
401,9,0,,,肉鸽爬塔s1-1,chapter_name_401,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
402,9,0,,,肉鸽爬塔s1-2,chapter_name_402,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
403,9,0,,,肉鸽爬塔s1-3,chapter_name_403,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
404,9,0,,,肉鸽爬塔s1-4,chapter_name_404,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
405,9,0,,,肉鸽爬塔s1-5,chapter_name_405,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
406,9,0,,,肉鸽爬塔s1-6,chapter_name_406,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_aydl_gq_bg_1,ui_aydl_gq_bg_2,ui_aydl_gq_bg_3",,,,
10201,8,0,,,锦世奇缘-普通,,,,,,,,,,,,bgm_HuoDong_Tao_1,,,,,"0,thd_bg_001_1,thd_bg_001_2,thd_bg_001_3",,,,
10202,8,0,,,锦世奇缘-困难,,,,,10202,,,,,,,bgm_HuoDong_Tao_1,,,,,"0,thd_bg_002_1,thd_bg_002_2,thd_bg_002_3",,,,
10203,8,0,,,锦世奇缘-挑战,,,,,,,,,,,,bgm_HuoDong_Tao_1,,,,,,,,,
10204,8,0,,,初入异世-桃试玩关卡,,,,,,,,,,,,bgm_HuoDong_Tao_1,,,,,"0,thd_bg_001_1,thd_bg_001_2,thd_bg_001_3",,,,
10401,8,0,,,和光同尘-普通,,,,,,,,,,,,bgm_HuoDong_Bosiju_1,,,,,"0,ui_hgtc_gq_bg_1_1,ui_hgtc_gq_bg_1_2,ui_hgtc_gq_bg_1_3",,,,
10402,8,0,,,和光同尘-困难,,,,,10402,,,,,,,bgm_HuoDong_Bosiju_1,,,,,"0,ui_hgtc_gq_bg_3_3,ui_hgtc_gq_bg_3_4",,,,
10403,8,0,,,和光同尘-挑战,,,,,,,,,,,,bgm_HuoDong_Bosiju_1,,,,,,,,,
10301,8,0,,,遮光梦-普通,,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,"0,ui_zgm_gq_bg_01",,,,
10303,8,0,,,遮光梦-挑战,,,,,,,,,,,,bgm_ZhangJie_KunNan,,,,,,,,,
10501,8,0,,,知更鸟的安魂曲-普通,,,,,,,,,,,,bgm_HuoDong_Naomi_1,,,,,"0,ui_zgndahq_gq_bg_1",,,,
10502,8,0,,,知更鸟的安魂曲-困难,,,,,10502,,,,,,,bgm_HuoDong_Naomi_1,,,,,"0,ui_zgndahq_gq_bg_2",,,,
10503,8,0,,,知更鸟的安魂曲-挑战,,,,,,,,,,,,bgm_HuoDong_Naomi_1,,,,,,,,,
12001,8,0,,,恶龙计划-普通,,,,,,,,,,,,bgm_HuoDong_Naomi_1,,,,,"0,ui_eljh_gq_bg",,,,
12002,8,0,,,恶龙计划-困难,,,,,12002,,,,,,,bgm_HuoDong_Naomi_1,,,,,"0,ui_eljh_gq_bg",,,,
12003,8,0,,,恶龙计划-挑战,,,,,,,,,,,,bgm_HuoDong_Naomi_1,,,,,,,,,
