Id,LevelUp,LevelupCost,AttrIndex
4,33,"1006251,20;1000003,17950","100001,1281;100002,160;100003,80;100004,640"
4,34,"1006251,21;1000003,18100","100001,1318;100002,165;100003,82;100004,659"
4,35,"1006251,21;1000003,18250","100001,1356;100002,169;100003,85;100004,678"
4,36,"1006251,21;1000003,18400","100001,1393;100002,174;100003,87;100004,697"
4,37,"1006251,21;1000003,18550","100001,1431;100002,179;100003,89;100004,715"
4,38,"1006251,21;1000003,18700","100001,1469;100002,184;100003,92;100004,734"
4,39,"1006251,21;1000003,18850","100001,1506;100002,188;100003,94;100004,753"
4,40,"1006252,19;1006253,17;1000003,34100","100001,1544;100002,193;100003,96;100004,772"
4,41,"1006252,20;1000003,34300","100001,1581;100002,198;100003,99;100004,791"
4,42,"1006252,20;1000003,34500","100001,1619;100002,202;100003,101;100004,810"
4,43,"1006252,20;1000003,34650","100001,1657;100002,207;100003,104;100004,828"
4,44,"1006252,20;1000003,34800","100001,1694;100002,212;100003,106;100004,847"
4,45,"1006252,20;1000003,35050","100001,1732;100002,216;100003,108;100004,866"
4,46,"1006252,20;1000003,35200","100001,1770;100002,221;100003,111;100004,885"
4,47,"1006252,20;1000003,35400","100001,1807;100002,226;100003,113;100004,904"
4,48,"1006252,20;1000003,35550","100001,1845;100002,231;100003,115;100004,922"
4,49,"1006252,20;1000003,35750","100001,1882;100002,235;100003,118;100004,941"
4,50,"1006252,20;1000003,35750","100001,1920;100002,240;100003,120;100004,960"
5,1,"1006250,10;1000003,4500","100001,96;100002,12;100003,6;100004,48"
5,2,"1006250,10;1000003,4550","100001,143;100002,18;100003,9;100004,72"
5,3,"1006250,10;1000003,4600","100001,190;100002,24;100003,12;100004,95"
5,4,"1006250,11;1000003,4650","100001,237;100002,30;100003,15;100004,119"
5,5,"1006250,11;1000003,4700","100001,284;100002,36;100003,18;100004,142"
5,6,"1006250,11;1000003,4750","100001,331;100002,41;100003,21;100004,166"
5,7,"1006250,11;1000003,4800","100001,378;100002,47;100003,24;100004,189"
5,8,"1006250,11;1000003,4850","100001,425;100002,53;100003,27;100004,213"
5,9,"1006250,11;1000003,4850","100001,472;100002,59;100003,30;100004,236"
5,10,"1006250,13;1000003,5500","100001,519;100002,65;100003,32;100004,260"
5,11,"1006250,13;1000003,5600","100001,566;100002,71;100003,35;100004,283"
5,12,"1006250,13;1000003,5700","100001,613;100002,77;100003,38;100004,307"
5,13,"1006250,13;1000003,5800","100001,660;100002,83;100003,41;100004,330"
5,14,"1006250,13;1000003,5850","100001,707;100002,88;100003,44;100004,354"
5,15,"1006250,14;1000003,5950","100001,754;100002,94;100003,47;100004,377"
5,16,"1006250,14;1000003,6050","100001,801;100002,100;100003,50;100004,401"
5,17,"1006250,14;1000003,6150","100001,848;100002,106;100003,53;100004,424"
5,18,"1006250,14;1000003,6200","100001,895;100002,112;100003,56;100004,448"
5,19,"1006250,14;1000003,6300","100001,942;100002,118;100003,59;100004,471"
5,20,"1006251,11;1006253,20;1000003,9550","100001,989;100002,124;100003,62;100004,495"
5,21,"1006251,11;1000003,9650","100001,1036;100002,130;100003,65;100004,518"
5,22,"1006251,11;1000003,9800","100001,1083;100002,135;100003,68;100004,542"
5,23,"1006251,11;1000003,9900","100001,1130;100002,141;100003,71;100004,565"
5,24,"1006251,11;1000003,10050","100001,1177;100002,147;100003,74;100004,589"
5,25,"1006251,12;1000003,10200","100001,1224;100002,153;100003,77;100004,612"
5,26,"1006251,12;1000003,10300","100001,1272;100002,159;100003,79;100004,636"
5,27,"1006251,12;1000003,10450","100001,1319;100002,165;100003,82;100004,659"
5,28,"1006251,12;1000003,10600","100001,1366;100002,171;100003,85;100004,683"
5,29,"1006251,12;1000003,10700","100001,1413;100002,177;100003,88;100004,706"
5,30,"1006251,24;1006253,20;1000003,21100","100001,1460;100002,182;100003,91;100004,730"
5,31,"1006251,24;1000003,21300","100001,1507;100002,188;100003,94;100004,753"
5,32,"1006251,24;1000003,21450","100001,1554;100002,194;100003,97;100004,777"
5,33,"1006251,25;1000003,21650","100001,1601;100002,200;100003,100;100004,800"
5,34,"1006251,25;1000003,21800","100001,1648;100002,206;100003,103;100004,824"
5,35,"1006251,25;1000003,22000","100001,1695;100002,212;100003,106;100004,847"
5,36,"1006251,25;1000003,22150","100001,1742;100002,218;100003,109;100004,871"
5,37,"1006251,25;1000003,22350","100001,1789;100002,224;100003,112;100004,894"
5,38,"1006251,26;1000003,22500","100001,1836;100002,229;100003,115;100004,918"
5,39,"1006251,26;1000003,22700","100001,1883;100002,235;100003,118;100004,941"
5,40,"1006252,23;1006253,20;1000003,41100","100001,1930;100002,241;100003,121;100004,965"
5,41,"1006252,24;1000003,41300","100001,1977;100002,247;100003,124;100004,988"
5,42,"1006252,24;1000003,41550","100001,2024;100002,253;100003,126;100004,1012"
5,43,"1006252,24;1000003,41750","100001,2071;100002,259;100003,129;100004,1035"
5,44,"1006252,24;1000003,41950","100001,2118;100002,265;100003,132;100004,1059"
5,45,"1006252,24;1000003,42200","100001,2165;100002,271;100003,135;100004,1082"
5,46,"1006252,24;1000003,42400","100001,2212;100002,276;100003,138;100004,1106"
5,47,"1006252,24;1000003,42650","100001,2259;100002,282;100003,141;100004,1129"
5,48,"1006252,25;1000003,42850","100001,2306;100002,288;100003,144;100004,1153"
5,49,"1006252,25;1000003,43050","100001,2353;100002,294;100003,147;100004,1176"
5,50,"1006252,25;1000003,43050","100001,2400;100002,300;100003,150;100004,1200"
