ShowId,,ShowType,MiniSkillType,ShowSkillType,AoyiBj,PrepareAction,PrepareEffect,BoneEffects,HideType,CoordOffset,FlyEffects,HitPosition,HitEffect,HitOrder,HitEffectTime,hit_action_type,HitDamageWeight,HitTime,HpEndShow,ConjureEftTime,HitDelayTime,AttackEndTime,SkipTime,UnSkipPable_time,AreaEffect,EndTime
130071,菲莉希亚1,1,3,,,zd_jn_jy_01_move,3013007_jn_jy_01,,,,,1,3013007_jn_jy_01_hit,,0,,100,160,,,,2100,500,,,
130072,菲莉希亚2,1,131,,,zd_jn_jy_02,3013007_jn_jy_02,,,,,,,,,,,,,,,2900,2898,,,
130081,梅露特1,1,19,,,zd_jn_jy_01,3013008_jn_jy_01,,,,,,3013008_jn_jy_01_hit,,1060,,"100,100,100,100,100","1160,1260,1360,1460,1560",,,,2800,800,,,
130082,梅露特2,1,126,,,zd_jn_jy_02,3013008_jn_jy_02,,,,,1,3013008_jn_jy_02_hit,,1330,,100,1330,,,,2100,1500,,,
130091,奈奈芙1,1,19,,,zd_jn_jy_01,3013009_jn_jy_01,,,,3013009_jn_jy_01_gezi,,3013009_jn_jy_01_hit,,0,,100,1700,,,,2500,800,,,
130092,奈奈芙2,1,126,,,zd_jn_jy_02,3013009_jn_jy_02,"aoi_scale_maozi01,3013009_jn_jy_02_maozi01",,,,,,,,,,,,,,3060,3058,,,
130131,菲尔盖娜1,1,12,,,zd_jn_jy_01,3013013_jn_jy_01,,,,,1,3013013_jn_jy_01_hit,,667,,100,955,,,,2000,1000,,,
130132,菲尔盖娜2,1,126,,,zd_jn_jy_02,3013013_jn_jy_02,,,,,,,,,,,,,,,2066,2666,,,
130141,玛瑙1,1,12,,,zd_jn_jy_01,3013014_jn_jy_01,"Bip001 L Hand,3013014_jn_jy_01_Lhand",,,,1,3013014_jn_jy_01_hit,,1400,,100,1430,,,,2100,500,,,
130142,玛瑙2,1,16,,,zd_jn_jy_02,3013014_jn_jy_02,"Bip001 L Hand,3013014_jn_jy_02_yaoguan01",,,,,,,,,100,2450,,,,3200,2400,,,
130151,哀歌1,1,19,,,zd_jn_jy_01,3013015_jn_jy_01,,,,3013015_jn_jy_01_zidan,1,3013015_jn_jy_01_hit,,1500,,100,1550,,,,2500,1080,,,
130152,哀歌2,1,131,,,zd_jn_jy_02,3013015_jn_jy_02,,,,,,,,,,,,,,,2500,3331,,,
130161,诺诺尔1,1,1,,,zd_jn_jy_01,,,,,,,,,,,,,,,,,,,,
130171,波斯菊1,1,16,,,zd_jn_jy_01,3013017_jn_jy_01,"aoi_scale_wuqi060,3013017_jn_jy_01_faqi",,,,,3013017_jn_jy_01_hit,,0,,"80,100","1033,2133",,,,2500,500,,,
130172,波斯菊2,1,131,,,zd_jn_jy_02,3013017_jn_jy_02,,,,,,,,,,,,,,,2400,2398,,,
130181,爱琳1,1,19,,,zd_jn_jy_01,3013018_jn_jy_01,,,,3013018_jn_jy_01_zidan,,3013018_jn_jy_01_hit,,1040,,100,1054,,,,1833,233,,,
130182,爱琳2,1,16,,,zd_jn_jy_02,3013018_jn_jy_02,,,,,1,,,,,,,,,,2400,2398,,,
130191,库萝心1,1,3,,,zd_jn_jy_01_move,3013019_jn_jy_01,"aoi_scale_wuqi_L00,3013019_jn_jy_01_wuqi_L00;aoi_scale_wuqi_R00,3013019_jn_jy_01_wuqi_R00",,,,1,3013019_jn_jy_01_hit,,0,,100,660,,,,1900,500,,,
130192,库萝心2,1,12,,,zd_jn_jy_02,3013019_jn_jy_02,"aoi_scale_wuqi_L00,3013019_jn_jy_02_xuli",,,,1,3013019_jn_jy_02_hit,,0,,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,100","960,1030,1130,1230,1330,1390,1460,1590,1660,1730,1830,1860,1960,2060,2100",,,,2500,900,,,
130201,维达1,1,19,,,zd_jn_jy_01,3013020_jn_jy_01,"aoi_scale_wuqi10,3013020_jn_jy_01_jingling1;aoi_scale_wuqi17,3013020_jn_jy_01_jingling2",,,3013020_jn_jy_01_zidan,,3013020_jn_jy_01_hit,,0,,100,1266,,,,2266,266,,,
130221,莱拉1,1,3,,,zd_jn_jy_01_move,3013022_jn_jy_01,,,,,,3013022_jn_jy_01_hit,,133,,100,200,,,,1433,300,,,
130222,莱拉2,1,131,,,zd_jn_jy_02,3013022_jn_jy_02,"Bone039,3013022_jn_jy_02_weapon",,,,,,,,,,,,,,2900,2898,,,
130231,芙洛拉1,1,19,,,zd_jn_jy_01,3013023_jn_jy_01,"aoi_scale_Bone082,3013023_jn_jy_01_bone082",,,3013023_jn_jy_01_zidan,,3013023_jn_jy_01_hit,,700,,100,700,,,,1400,500,,,
130241,希露德1,1,16,,,zd_jn_jy_01,3013024_jn_jy_01,,,,,1,3013024_jn_jy_01_hit,,660,,"100,100,100","800,1000,1200",,,,2500,500,,,
130242,希露德2,1,16,,,zd_jn_jy_02,3013024_jn_jy_02,"Bip001,3013024_jn_jy_02_Bip001",,,,,,,,,,,,,,2800,2798,,,
130251,多萝西1,1,19,,,zd_jn_jy_01,3013025_jn_jy_01,"aoi_scale_Bone116,3013025_jn_jy_01_faqi_hand_r;aoi_scale_Bone117,3013025_jn_jy_01_faqi_hand_l",,,3013025_jn_jy_01_zidan,,3013025_jn_jy_01_hit,,1233,,100,1233,,,,2100,500,,,
130252,多萝西2,1,131,,,zd_jn_jy_02,3013025_jn_jy_02,,,,,,,,,,,,,,,2500,2498,,,
140011,普琳普顿1,1,19,,,zd_jn_jy_01,3014001_jn_jy_01,,,,3014001_jn_jy_01_zidan,1,3014001_jn_jy_01_hit,,1600,,100,1600,,,,2500,500,,,
140012,普琳普顿2,1,12,,,zd_jn_jy_02,3014001_jn_jy_02,"Bone435,3014001_jn_jy_02_wuqi",,,,1,3014001_jn_jy_02_hit,,1566,,100,1566,,,,2500,500,,,
140021,黛比1,1,16,,,zd_jn_jy_01,3014002_jn_jy_01,,,,,,3014002_jn_jy_01_hit,,400,,"100,100,100,100,100,100,100,100,100,100,100","430,670,870,1050,1230,1370,1470,1570,1630,1730,1800",,,,2500,500,,,
140022,黛比2,1,131,,,zd_jn_jy_02,3014002_jn_jy_02,,,,,1,,,0,,,,,,,2500,2600,,,
140023,黛比3,1,131,,,zd_jn_jy_03,3014002_jn_jy_03,,,,,1,,,0,,,,,,,3666,3766,,,
140031,焰心1,1,16,,,zd_jn_jy_01,3014003_jn_jy_01,"Bone043,3014003_jn_jy_01_bone;aoi_scale_wuqi01,3014003_jn_jy_01_wuqi",,,,1,3014003_jn_jy_01_hit,,1030,,100,1030,,,,2100,500,,,
140032,焰心2,1,16,,,zd_jn_jy_02,3014003_jn_jy_02,"Bone043,3014003_jn_jy_02_Bone043",,,,,,,,,,,,,,3000,2998,,,
140041,索菲1,1,16,,,zd_jn_jy_01,3014004_jn_jy_01,"aoi_scale_wuqi01,3014004_jn_jy_01_faqi",,,,1,3014004_jn_jy_01_hit,,960,,100,1166,,,,2066,766,,,
140042,索菲2,1,131,,,zd_jn_jy_02,3014004_jn_jy_02,"aoi_scale_wuqi01,3014004_jn_jy_02_weapon",,,,,,,,,,,,,,2700,2698,,,
140051,弥生1,1,16,,,zd_jn_jy_01,3014005_jn_jy_01,"aoi_scale_wuqi_a_Bone00,3014005_jn_jy_01_wuqi",,,,1,3014005_jn_jy_01_hit,,1100,,"100,100","1530,2230",,,,2800,1400,,,
140052,弥生2,1,16,,,zd_jn_jy_02,3014005_jn_jy_02,,,,,,,,,,100,2200,,,,2500,1000,,,
140053,弥生3,1,16,,,zd_jn_jy_03,3014005_jn_jy_03,"aoi_scale_wuqi_a_Bone00,3014005_jn_jy_03_wuqi",,,,,,,,,,,,,,3400,3098,,,
140061,恋花1,1,3,,,zd_jn_jy_01_move,3014006_jn_jy_01,"Bip001 L Finger1,3014006_jn_jy_01_finger1",,,,0,3014006_jn_jy_01_hit,,430,,100,430,,,,2333,333,,,
140062,恋花2,1,131,,,zd_jn_jy_02,3014006_jn_jy_02,"weapon18,3014006_jn_jy_02_weapon18",,,,,,,,,,,,,,2500,2666,,,
140071,萨莉1,1,1,,,zd_jn_jy_01,,,,,,,,,,,,,,,,,,,,
140091,桃1,1,12,,,zd_jn_jy_01,3014009_jn_jy_01,,,,,,3014009_jn_jy_01_hit,,0,,100,1467,,,,2466,466,,,
140092,桃2,1,126,,,zd_jn_jy_02,3014009_jn_jy_02,,,,,,,,,,,,,,,2500,1648,,,
140093,桃3,1,16,,,zd_jn_jy_03,3014009_jn_jy_03,"qizi_14,3014009_jn_jy_03_qizi",,,,1,3014009_jn_jy_03_hit,,1200,,100,1400,,,,2666,1000,,,
140111,艾斯塔利亚1,1,16,,,zd_jn_jy_01,3014011_jn_jy_01,"Bip001 L Finger2,3014011_jn_jy_01_hand",,,,2,,,900,,100,0,,,,2500,2666,,,
140112,艾斯塔利亚2,1,16,,,zd_jn_jy_02,3014011_jn_jy_02,"wuqi_l_00,3014011_jn_jy_02_wuqiL;wuqi_r_00,3014011_jn_jy_02_wuqiR",,,,0,,,,,,,,,,2500,2666,,,
140121,未来1,1,16,,,zd_jn_jy_01,3014012_jn_jy_01,,,,,2,3014012_jn_jy_01_hit,,1000,,"100,100,100,100,100","1500,1660,1830,2000,2160",,,,2500,500,,,
140122,未来2,1,126,,,zd_jn_jy_02,3014012_jn_jy_02,,,,,,,,,,100,2400,,,,2500,2300,,,
140161,杏林1,1,3,,,zd_jn_jy_01_move,3014016_jn_jy_01,"Bip001,3014016_jn_jy_01_tw",,,,1,3014016_jn_jy_01_hit,,45,,100,45,,,,1500,400,,,
140162,杏林2,1,16,,,zd_jn_jy_02,3014016_jn_jy_02,"aoi_scale_Bone001,3014016_jn_jy_02_wuqi",,,,,,,,,100,2100,,,,2400,1600,,,
140171,花梨1,1,16,,,zd_jn_jy_01,3014017_jn_jy_01,,,,,1,3014017_jn_jy_01_hit,,1500,,100,1550,,,,2500,500,,,
140172,花梨2,1,126,,,zd_jn_jy_02,3014017_jn_jy_02,,,,,,,,,,,,,,,2500,2666,,,
140181,诗娅1,1,3,,,zd_jn_jy_01_move,3014018_jn_jy_01,,,,,1,3014018_jn_jy_01_hit,,0,,"100,100,100,100","60,360,660,960",,,,2300,400,,,
140182,诗娅2,1,3,,,zd_jn_jy_02_move,3014018_jn_jy_02,,,,,,3014018_jn_jy_02_hit,,0,,"100,100,100","60,360,1034",,,,2300,267,,,
140191,艾什尔1,1,12,,,zd_jn_jy_01,3014019_jn_jy_01,,,,,,3014019_jn_jy_01_hit,,400,,"80,100","500,1333",,,,2500,250,,,
140192,艾什尔2,1,131,,,zd_jn_jy_02,3014019_jn_jy_02,,,,,,,,,,,,,,,3100,3098,,,
140201,阿波菲斯1,1,12,,,zd_jn_jy_01,3014020_jn_jy_01,"Bip001 L Hand,3014020_jn_jy_01_hand",,,,,3014020_jn_jy_01_hit,,1600,,100,1900,,,,2500,500,,,
140202,阿波菲斯2,1,16,,,zd_jn_jy_02,3014020_jn_jy_02,"Bip001 R Hand,3014020_jn_jy_02_hand",,,,,,,,,,,,,,2500,2498,,,
140211,纳菲1,1,3,,,zd_jn_jy_01_move,3014021_jn_jy_01,"Bone054,3014021_jn_jy_01_Bone054",,,,,,,0,,"100,100,100","200,660,860",,,,2500,667,,,
140212,纳菲2,1,131,,,zd_jn_jy_02,3014021_jn_jy_02,,,,,,,,,,,,,,,2500,2798,,,
14021101,纳菲皮肤1,1,3,,,zd_jn_jy_01_move,301402101_jn_jy_01,"Bone054,3014021_jn_jy_01_Bone054",,,,,,,0,,"100,100,100","200,660,860",,,,2866,667,,,
14021201,纳菲皮肤2,1,131,,,zd_jn_jy_02,301402101_jn_jy_02,,,,,,,,,,,,,,,2500,2798,,,
140221,丘吉尔1,1,12,,,zd_jn_jy_01,3014022_jn_jy_01,,,,,1,3014022_jn_jy_01_hit,,1266,,100,1266,,,,2500,400,,,
140222,丘吉尔2,1,16,,,zd_jn_jy_02,3014022_jn_jy_02,,,,,,,,,,100,2400,,,,2500,2100,,,
140231,神光1,1,19,,,zd_jn_jy_01,3014023_jn_jy_01,"aoi_scale_wuqi,3014023_jn_jy_01_xuli",,,3014023_jn_jy_01_zidan,,3014023_jn_jy_01_hit,,1030,,100,1030,,,,2250,250,,,
140232,神光2,1,11,,,zd_jn_jy_02,3014023_jn_jy_02,"Bip001,3014023_jn_jy_02_cb",,,,,3014023_jn_jy_02_hit,,0,,100,700,,,,2000,1000,,,
14023101,神光婚纱1,1,19,,,zd_jn_jy_01,301402302_jn_jy_01,"aoi_scale_wuqi,301402302_jn_jy_01_xuli",,,301402302_jn_jy_01_zidan,,301402302_jn_jy_01_hit,,1030,,100,1030,,,,2250,250,,,
14023201,神光婚纱2,1,11,,,zd_jn_jy_02,301402302_jn_jy_02,"Bip001,301402302_jn_jy_02_cb",,,,,301402302_jn_jy_02_hit,,0,,100,700,,,,2000,1000,,,
140241,雷雷1,1,12,,,zd_jn_jy_01,3014024_jn_jy_01,,,,,1,3014024_jn_jy_01_hit,,730,,100,966,,,,2333,333,,,
140242,雷雷2,1,131,,,zd_jn_jy_02,3014024_jn_jy_02,,,,,,,,,,,,,,,2500,2498,,,
140251,安普莎1,1,12,,,zd_jn_jy_01,3014025_jn_jy_01,"Bip001 R Hand,3014025_jn_jy_01_gather",,,,1,3014025_jn_jy_01_hit,,0,,100,1200,,,,1800,600,,,
140252,安普莎2,1,126,,,zd_jn_jy_02,3014025_jn_jy_02,,,,,1,3014025_jn_jy_02_hit,,0,,,,,,,2000,2498,,,
140261,库萝爱1,1,6,,,zd_jn_jy_01_move,3014026_jn_jy_01,,,,,1,3014026_jn_jy_01_hit,,350,,100,400,,,,2266,1000,,,
140262,库萝爱2,1,6,,,zd_jn_jy_02_move,3014026_jn_jy_02,"aoi_scale_Bone001,3014026_jn_jy_02_bone001",,,,,3014026_jn_jy_02_hit,,900,,"100,100","1034,1267",,,,3033,833,,,
140271,贝拉1,1,12,,,zd_jn_jy_01,3014027_jn_jy_01,,,,,1,3014027_jn_jy_01_hit,,1160,,"100,100","1170,1790",,,,2500,500,,,
140272,贝拉2,1,6,,,zd_jn_jy_02_move,3014027_jn_jy_02,"aoi_scale_Bone065,3014027_jn_jy_02_Bone065",,,,1,3014027_jn_jy_02_hit,,1000,,100,1350,,,,3160,1400,,,
140281,卡洛蒂1,1,16,,,zd_jn_jy_01,3014028_jn_jy_01,"Bip001 L Hand,3014028_jn_01_hand",,,,1,3014028_jn_jy_01_hit,,0,,100,1050,,,,2500,500,,,
140282,卡洛蒂2,1,131,,,zd_jn_jy_02,3014028_jn_jy_02,"weapon01,3014028_jn_jy_02_weapom",,,,,,,,,,,,,,2833,833,,,
140291,贝儿1,1,16,,,zd_jn_jy_01,3014029_jn_jy_01,,,,,1,3014029_jn_jy_01_hit,,850,,100,850,,,,2000,500,,,
140292,贝儿2,1,131,,,zd_jn_jy_02,3014029_jn_jy_02,"wuqi_a_Bone01,3014029_jn_jy_02_wuqi",,,,,,,,,,,,,,2866,2864,,,
140301,安娜1,1,19,,,zd_jn_jy_01,3014030_jn_jy_01,"Bip001 R Finger12,3014030_jn_jy_01_trail",,,3014030_jn_jy_01_zidan,1,3014030_jn_jy_01_hit,,1266,,100,1266,,,,2266,266,,,
140302,安娜2,1,16,,,zd_jn_jy_02,3014030_jn_jy_02,"Bip001 L Hand,3014030_jn_jy_02_hand",,,,1,3014030_jn_jy_02_hit,,1130,,100,1380,,,,2500,250,,,
14030101,安娜皮肤1,1,19,,,zd_jn_jy_01,301403001_jn_jy_01,"Bip001 R Finger12,301403001_jn_jy_01_trail",,,301403001_jn_jy_01_zidan,1,301403001_jn_jy_01_hit,,1266,,100,1266,,,,2266,266,,,
14030201,安娜皮肤2,1,16,,,zd_jn_jy_02,301403001_jn_jy_02,"Bip001 L Hand,301403001_jn_jy_02_hand",,,,1,301403001_jn_jy_02_hit,,1130,,100,1380,,,,2500,250,,,
140311,伊拉1,1,16,,,zd_jn_jy_01,3014031_jn_jy_01,"xiangzi,3014031_jn_jy_01_xiangzi",,,,1,3014031_jn_jy_01_hit,,0,,"100,100,100,100,100","2000,2100,2230,2330,2400",,,,3166,316,,,
140312,伊拉2,1,126,,,zd_jn_jy_02,3014031_jn_jy_02,,,,,,,,,,,,,,,2500,2666,,,
14031101,伊拉睡衣1,1,16,,,zd_jn_jy_01,301403101_jn_jy_01,"xiangzi,301403101_jn_jy_01_xiangzi",,,,1,301403101_jn_jy_01_hit,,0,,"100,100,100,100,100","2000,2100,2230,2330,2400",,,,3166,316,,,
14031201,伊拉睡衣2,1,126,,,zd_jn_jy_02,301403101_jn_jy_02,,,,,,,,,,,,,,,2500,2666,,,
150011,诺维雅1,1,3,,,zd_jn_jy_01_move,3015001_jn_jy_01,"bianzi_01,3015001_jn_jy_01_bianzi",,,,0,3015001_jn_jy_01_hit,,130,,100,130,,,,2500,500,,,
150012,诺维雅2,1,126,,,zd_jn_jy_02,3015001_jn_jy_02,,,,,,,,,,,,,,,2500,2666,,3015001_lingyu,
150021,丹妮1,1,16,,,zd_jn_jy_01,3015002_jn_jy_01,"Bip001 R Forearm,3015002_jn_jy_01_RForearm",,,,1,3015002_jn_jy_01_hit,,0,,"100,100,100,100,100","330,630,900,1200,1500",,,,2500,500,,,
150022,丹妮2,1,131,,,zd_jn_jy_02,3015002_jn_jy_02,,,,,,,,,,,,,,,4430,3428,,3015002_jn_02_ly,
150061,希夕莉1,1,16,,,zd_jn_jy_01,3015006_jn_jy_01,,,,,1,3015006_jn_jy_01_hit,,0,,100,1700,,,,2250,500,,,
150062,希夕莉2,1,16,,,zd_jn_jy_02,3015006_jn_jy_02,"root_01,3015006_jn_jy_02_trail;root_002,3015006_jn_jy_02_trail;root_003,3015006_jn_jy_02_trail",,,,,,,,,,,,,,3000,2998,,,
150071,萨拉1,1,16,,,zd_jn_jy_01,,,,,,1,3015007_jn_jy_01_hit,,0,,100,1050,,,,2500,500,,,
150072,萨拉2,1,3,,,zd_jn_jy_02_move,3015007_jn_jy_02,"Bip001,3015007_jn_jy_02_bip001",,,,,3015007_jn_jy_02_hit,,700,,"100,100","830,1630",,,,2600,500,,,
150073,萨拉3,1,131,,,zd_jn_jy_03,3015007_jn_jy_03,"aoi_scale_Weapon01,3015007_jn_jy_03_bone097",,,,,,,,,,,,,,2900,2898,,,
150081,牧1,1,16,,,zd_jn_jy_01,3015008_jn_jy_01,,,,,,3015008_jn_jy_01_hit,,1300,,100,1300,,,,2400,1000,,,
150082,牧2,1,19,,,zd_jn_jy_02,3015008_jn_jy_02,"aoi_scale_weapon_a_04,3015008_jn_jy_02_weapon04;aoi_scale_weapon_a_05,3015008_jn_jy_02_weapon05;aoi_scale_weapon_a_06,3015008_jn_jy_02_weapon06;aoi_scale_weapon_a_08,3015008_jn_jy_02_weapon08;aoi_scale_weapon_a_10,3015008_jn_jy_02_weapon10;aoi_scale_weapon_a_11,3015008_jn_jy_02_weapon11;aoi_scale_weapon_a_14,3015008_jn_jy_02_weapon14",,,3015008_jn_jy_02_zidan,1,3015008_jn_jy_02_hit,,1200,,"60,60,60,60,60,60,60,100","1374,1550,1640,1802,1910,2074,2417,2598",,,,3733,1,,,
15008101,牧皮肤1,1,16,,,zd_jn_jy_01,301500801_jn_jy_01,,,,,,301500801_jn_jy_01_hit,,1300,,100,1300,,,,2400,1000,,,
15008201,牧皮肤2,1,19,,,zd_jn_jy_02,301500801_jn_jy_02,"aoi_scale_weapon_a_04,301500801_jn_jy_02_weapon04;aoi_scale_weapon_a_05,301500801_jn_jy_02_weapon05;aoi_scale_weapon_a_06,301500801_jn_jy_02_weapon06;aoi_scale_weapon_a_08,301500801_jn_jy_02_weapon08;aoi_scale_weapon_a_10,301500801_jn_jy_02_weapon10;aoi_scale_weapon_a_11,301500801_jn_jy_02_weapon11;aoi_scale_weapon_a_14,301500801_jn_jy_02_weapon14",,,301500801_jn_jy_02_zidan,1,301500801_jn_jy_02_hit,,1200,,"60,60,60,60,60,60,60,100","1374,1550,1640,1802,1910,2074,2417,2598",,,,3733,1,,,
160091,吉拉蒂亚1,1,16,,,zd_jn_jy_01,3016009_jn_jy_01,,,,,,3016009_jn_jy_01_hit,,0,,100,1600,,,,2600,600,,,
160092,吉拉蒂亚2,1,16,,,zd_jn_jy_02,3016009_jn_jy_02,"aoi_scale_Bone064,3016009_jn_jy_02_Bone064",,,,,3016009_jn_jy_02_hit,,1750,,100,1830,,,,2500,500,,,
16009101,吉拉蒂亚1,1,16,,,zd_jn_jy_01,3016009_jn_jy_01,,,,,,3016009_jn_jy_01_hit,,0,,100,1600,,,,2600,600,,,
16009141,吉拉蒂亚1-乱室佳人,1,16,,,zd_jn_jy_01,301600904_jn_jy_01,,,,,,301600904_jn_jy_01_hit,,0,,100,1600,,,,2600,600,,,
16009242,吉拉蒂亚2-乱室佳人,1,16,,,zd_jn_jy_02,301600904_jn_jy_02,"aoi_scale_Bone064,301600904_jn_jy_02_Bone064",,,,,301600904_jn_jy_02_hit,,1750,,100,1830,,,,2500,500,,,
160101,瑞比娅1,1,3,,,zd_jn_jy_01_move,3016010_jn_jy_01,"aoi_scale_wuqi,3016010_jn_jy_01_wuqi",,,,1,3016010_jn_jy_01_hit,,0,,100,733,,,,2500,500,,,
160102,瑞比娅2,1,16,,,zd_jn_jy_02,3016010_jn_jy_02,"aoi_scale_wuqi,3016010_jn_jy_02_wuqi",,,,1,3016010_jn_jy_02_hit,,1500,,100,1600,,,,2500,500,,,
160103,瑞比娅3,1,131,,,zd_jn_jy_03,3016010_jn_jy_03,,,,,,,,,,,,,,,2500,2498,,,
160104,瑞比娅4,1,3,,,zd_jn_jy_01_move,301601001_jn_jy_01,,,,,1,301601001_jn_jy_01_hit,,0,,"100,100,100,100,100,100","200,234,267,300,334,834",,,,2466,500,,,
160105,瑞比娅5,1,16,,,zd_jn_jy_02,301601001_jn_jy_02,,,,,1,301601001_jn_jy_02_hit,,1333,,100,1500,,,,2500,500,,,
160106,瑞比娅6,1,131,,,zd_jn_jy_03,301601001_jn_jy_03,,,,,,,,,,,,,,,2500,2498,,,
160111,卡萝琳1,1,3,,,zd_jn_jy_01_move,3016011_jn_jy_01,,,,,,3016011_jn_jy_01_hit,,0,,"100,100,100,100,300","100,260,460,560,1600",,,,2900,500,,,
160112,卡萝琳2,1,12,,,zd_jn_jy_02,3016011_jn_jy_02,,,,,1,3016011_jn_jy_02_hit,,700,,100,760,,,,1700,600,,,
160161,露易丝1,1,16,,,zd_jn_jy_01,3016016_jn_jy_01,"Bip001 R Hand,3016016_jn_jy_01_r_hand",,,,1,3016016_jn_jy_01_hit,,1450,,100,1450,,,,2500,500,,,
160162,露易丝2,1,131,,,zd_jn_jy_02,3016016_jn_jy_02,"Bip001 R Hand,3016016_jn_jy_02_r_hand;DaoJv001,3016016_jn_jy_02_daojv001;DaoJv002,3016016_jn_jy_02_daojv002;DaoJv005,3016016_jn_jy_02_daojv005",,,,,,,0,,,,,,,2500,2666,,,
160171,罗莎莉1,1,16,,,zd_jn_jy_01,3016017_jn_jy_01,,,,,1,3016017_jn_jy_01_hit,,0,,100,970,,,,2000,500,,,
160172,罗莎莉2,1,131,,,zd_jn_jy_02,3016017_jn_jy_02,,,,,,,,,,,,,,,2900,2898,,,
160231,佩内洛普1,1,12,,,zd_jn_jy_01,,,,,,1,3016023_jn_jy_01_hit,,820,,100,1280,,,,2500,500,,,
160232,佩内洛普2,1,16,,,zd_jn_jy_02,3016023_jn_jy_02,,,,,,,,,,,,,,,2500,2498,,,
160241,塞蕾丝蒂娜,1,16,,,zd_jn_jy_01,3016024_jn_jy_01,,,,,1,3016024_jn_jy_01_hit,,0,,100,1200,,,,2500,500,,,
16024101,塞蕾丝蒂娜-泳装1,1,16,,,zd_jn_jy_01,301602401_jn_jy_01,,,,,1,301602401_jn_jy_01_hit,,0,,100,1066,,,,2500,500,,,
160381,仙蒂1,1,3,,,zd_jn_jy_01_move,3016038_jn_jy_01,,,,,,3016038_jn_jy_01_hit,,0,,100,0,,,,2430,1133,,,
160382,仙蒂2,1,126,,,zd_jn_jy_02,3016038_jn_jy_02,,,,,,,,,,,,,,,3800,3798,,,
150041,耶坦尼娅1,1,16,,,zd_jn_jy_01,3015004_jn_jy_01,,,,,,,,,,100,2000,,,,2750,1600,,,
150042,耶坦尼娅2,1,126,,,zd_jn_jy_02,3015004_jn_jy_02,,,,,,,,,,,,,,,2700,3398,,,
15004101,耶坦尼娅皮肤1,1,16,,,zd_jn_jy_01,301500401_jn_jy_01,"aoi_scale_wuqi01,301500401_jn_jy_01_wuqi01;aoi_scale_wuqi002,301500401_jn_jy_01_wuqi02",,,,,,,,,100,2000,,,,2750,1600,,,
