Id,ChapterId,MapId,Type,Entrance,NextDungeon,Difficute,,Name,Name2,Size,Position,Scale,Icon,ItemId,MissionId
87071002,7,1,1,1,,0,圣殿-主殿,map_name_87071002,map_name2_87071002,0,"-658,277",100,8700001,,
87071003,7,1,1,1,,0,雾街,map_name_87071003,map_name2_87071003,0,"-15.1,-150",100,8700047,,
87071004,7,1,1,1,,0,地下聚集地,map_name_87071004,map_name2_87071004,0,"605.4,57.6",100,8700049,,
87071005,7,1,1,1,,0,废屋,map_name_87071005,map_name2_87071005,0,"501,-315.1",100,8700048,,
87071006,7,1,1,1,,0,神秘商店,map_name_87071006,map_name2_87071006,0,"-489.2,-366.9",100,8700046,,
87071007,7,1,1,1,,0,落日酒馆,map_name_87071007,map_name2_87071007,0,"-838.8,-118.4",100,8700045,,
87072001,7,1,1,1,,1,圣殿-神谕司,map_name_87072001,map_name2_87072001,0,"-334,-44",100,8700014,,
87072002,7,1,1,1,,1,圣殿-主殿,map_name_87072002,map_name2_87072002,0,"500,-6",100,8700001,,
87072003,7,1,1,1,,1,圣殿-训练场,map_name_87072003,map_name2_87072003,0,"-228,284",100,8700006,,
87072004,7,1,1,1,,1,虔诚广场,map_name_87072004,map_name2_87072004,0,"69,-338",100,8700024,,
87081001,8,1,1,1,,0,圣殿-神谕司,map_name_87081001,map_name2_87081001,0,"-693,277",100,8700014,,
87081002,8,1,1,1,,0,居民区,map_name_87081002,map_name2_87081002,0,"49,72",100,8700004,,
87081003,8,1,1,1,,0,废屋,map_name_87081003,map_name2_87081003,0,"-189,-337",100,8700048,,
87081004,8,1,1,1,,0,东郊森林,map_name_87081004,map_name2_87081004,0,"704,101",100,8700029,,
87081005,8,1,1,1,,0,边缘区,map_name_87081005,map_name2_87081005,0,"417,-200",100,8700044,,
87081006,8,1,1,1,,0,虔诚广场,map_name_87081006,map_name2_87081006,0,"-545,-87",100,8700024,,
87082001,8,1,1,1,,1,圣殿-神谕司,map_name_87082001,map_name2_87082001,0,"-334,-44",100,8700014,,
87082002,8,1,1,1,,1,居民区,map_name_87082002,map_name2_87082002,0,"500,-6",100,8700004,,
87082003,8,1,1,1,,1,废屋,map_name_87082003,map_name2_87082003,0,"-228,284",100,8700048,,
87082004,8,1,1,1,,1,东郊森林,map_name_87082004,map_name2_87082004,0,"69,-338",100,8700029,,
87091001,9,1,1,1,,0,觐见室,map_name_87091001,map_name2_87091001,0,"500,280",100,8700050,,
87091002,9,1,1,1,,0,囚室,map_name_87091002,map_name2_87091002,0,"-245,-400",100,8700051,,
87091003,9,1,1,1,,0,客房,map_name_87091003,map_name2_87091003,0,"750,-30",100,8700052,,
87091004,9,1,1,1,,0,克萝萝卧室,map_name_87091004,map_name2_87091004,0,"-100,300",100,8700053,,
87091005,9,1,1,1,,0,活动室,map_name_87091005,map_name2_87091005,0,"25,-150",100,8700054,,
87091006,9,1,1,1,,0,未知领域,map_name_87091006,map_name2_87091006,0,"300,80",100,8700055,,
87091007,9,1,1,1,,0,病房,map_name_87091007,map_name2_87091007,0,"-620,50",100,8700056,,
87092001,9,1,1,1,,1,囚室,map_name_87092001,map_name2_87092001,0,"-245,-400",100,8700051,,
87092002,9,1,1,1,,1,活动室,map_name_87092002,map_name2_87092002,0,"25,-150",100,8700054,,
87092003,9,1,1,1,,1,未知领域,map_name_87092003,map_name2_87092003,0,"300,80",100,8700055,,
87092004,9,1,1,1,,1,病房,map_name_87092004,map_name2_87092004,0,"-620,50",100,8700056,,
87101001,10,1,1,1,,0,圣殿-神谕司,map_name_87101001,map_name2_87101001,0,"-600,200",100,8700014,,
87101002,10,1,1,1,,0,边缘区,map_name_87101002,map_name2_87101002,0,"720,-300",100,8700044,,
87101003,10,1,1,1,,0,商会街,map_name_87101003,map_name2_87101003,0,"100,-400",100,8700057,,
87101004,10,1,1,1,,0,狂欢节,map_name_87101004,map_name2_87101004,0,"-350,-180",100,8700058,,
87101005,10,1,1,1,,0,地下水道,map_name_87101005,map_name2_87101005,0,"224,10",100,8700059,,
87101006,10,1,1,1,,0,互诉会,map_name_87101006,map_name2_87101006,0,"500,280",100,8700060,,
87102001,10,1,1,1,,1,商会街,map_name_87102001,map_name2_87102001,0,"-400,200",100,8700057,,
87102002,10,1,1,1,,1,狂欢节,map_name_87102002,map_name2_87102002,0,"-250,-200",100,8700058,,
87102003,10,1,1,1,,1,地下水道,map_name_87102003,map_name2_87102003,0,"400,-300",100,8700059,,
87102004,10,1,1,1,,1,互诉会,map_name_87102004,map_name2_87102004,0,"350,150",100,8700060,,
30101,301,1,1,1,,0,本勒收集1,,map_name2_30101,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30102,301,1,1,1,,0,本勒收集2,,map_name2_30102,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30103,301,1,1,1,,0,本勒收集3,,map_name2_30103,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30104,301,1,1,1,,0,本勒收集4,,map_name2_30104,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30105,301,1,1,1,,0,本勒收集5,,map_name2_30105,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30106,301,1,1,1,,0,本勒收集6,,map_name2_30106,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30107,301,1,1,1,,0,本勒收集7,,map_name2_30107,0,"1026,137",100,ui_bk_gq_zi_biao_7,,
30201,302,1,1,1,,0,经验获取1,,map_name2_30201,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30202,302,1,1,1,,0,经验获取2,,map_name2_30202,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30203,302,1,1,1,,0,经验获取3,,map_name2_30203,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30204,302,1,1,1,,0,经验获取4,,map_name2_30204,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30205,302,1,1,1,,0,经验获取5,,map_name2_30205,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30206,302,1,1,1,,0,经验获取6,,map_name2_30206,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30207,302,1,1,1,,0,经验获取7,,map_name2_30207,0,"1026,137",100,ui_bk_gq_zi_biao_7,,
30301,303,1,1,1,,0,技能材料1,,map_name2_30301,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30302,303,1,1,1,,0,技能材料2,,map_name2_30302,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30303,303,1,1,1,,0,技能材料3,,map_name2_30303,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30304,303,1,1,1,,0,技能材料4,,map_name2_30304,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30305,303,1,1,1,,0,技能材料5,,map_name2_30305,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30306,303,1,1,1,,0,技能材料6,,map_name2_30306,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30307,303,1,1,1,,0,技能材料7,,map_name2_30307,0,"1026,137",100,ui_bk_gq_zi_biao_7,,
30401,304,1,1,1,,0,传道记忆1,,map_name2_30401,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30402,304,1,1,1,,0,传道记忆2,,map_name2_30402,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30403,304,1,1,1,,0,传道记忆3,,map_name2_30403,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30404,304,1,1,1,,0,传道记忆4,,map_name2_30404,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30405,304,1,1,1,,0,传道记忆5,,map_name2_30405,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30406,304,1,1,1,,0,传道记忆6,,map_name2_30406,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30501,305,1,1,1,,0,君王记忆1,,map_name2_30501,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30502,305,1,1,1,,0,君王记忆2,,map_name2_30502,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30503,305,1,1,1,,0,君王记忆3,,map_name2_30503,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30504,305,1,1,1,,0,君王记忆4,,map_name2_30504,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30505,305,1,1,1,,0,君王记忆5,,map_name2_30505,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30506,305,1,1,1,,0,君王记忆6,,map_name2_30506,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30601,306,1,1,1,,0,仆从记忆1,,map_name2_30601,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30602,306,1,1,1,,0,仆从记忆2,,map_name2_30602,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30603,306,1,1,1,,0,仆从记忆3,,map_name2_30603,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30604,306,1,1,1,,0,仆从记忆4,,map_name2_30604,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30605,306,1,1,1,,0,仆从记忆5,,map_name2_30605,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30606,306,1,1,1,,0,仆从记忆6,,map_name2_30606,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30701,307,1,1,1,,0,诞生记忆1,,map_name2_30701,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30702,307,1,1,1,,0,诞生记忆2,,map_name2_30702,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30703,307,1,1,1,,0,诞生记忆3,,map_name2_30703,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30704,307,1,1,1,,0,诞生记忆4,,map_name2_30704,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30705,307,1,1,1,,0,诞生记忆5,,map_name2_30705,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30706,307,1,1,1,,0,诞生记忆6,,map_name2_30706,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30801,308,1,1,1,,0,人子记忆1,,map_name2_30801,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30802,308,1,1,1,,0,人子记忆2,,map_name2_30802,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30803,308,1,1,1,,0,人子记忆3,,map_name2_30803,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30804,308,1,1,1,,0,人子记忆4,,map_name2_30804,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30805,308,1,1,1,,0,人子记忆5,,map_name2_30805,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30806,308,1,1,1,,0,人子记忆6,,map_name2_30806,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
30901,309,1,1,1,,0,受难记忆1,,map_name2_30901,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
30902,309,1,1,1,,0,受难记忆2,,map_name2_30902,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
30903,309,1,1,1,,0,受难记忆3,,map_name2_30903,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
30904,309,1,1,1,,0,受难记忆4,,map_name2_30904,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
30905,309,1,1,1,,0,受难记忆5,,map_name2_30905,0,"496,137",100,ui_bk_gq_zi_biao_5,,
30906,309,1,1,1,,0,受难记忆6,,map_name2_30906,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
31001,310,1,1,1,,0,神子记忆1,,map_name2_31001,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
31002,310,1,1,1,,0,神子记忆2,,map_name2_31002,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
31003,310,1,1,1,,0,神子记忆3,,map_name2_31003,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
31004,310,1,1,1,,0,神子记忆4,,map_name2_31004,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
31005,310,1,1,1,,0,神子记忆5,,map_name2_31005,0,"496,137",100,ui_bk_gq_zi_biao_5,,
31006,310,1,1,1,,0,神子记忆6,,map_name2_31006,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
33001,330,1,1,1,,0,符文之地1,,map_name2_33001,0,"-396,-137",100,ui_bk_gq_zi_biao_1,,
33002,330,1,1,1,,0,符文之地2,,map_name2_33002,0,"-78,137",100,ui_bk_gq_zi_biao_2,,
33003,330,1,1,1,,0,符文之地3,,map_name2_33003,0,"179,-137",100,ui_bk_gq_zi_biao_3,,
33101,330,1,1,1,,0,符文之地1,,map_name2_33001,0,"-396,-137",100,ui_bk_gq_zi_biao_1,,
33102,330,1,1,1,,0,符文之地2,,map_name2_33002,0,"-78,137",100,ui_bk_gq_zi_biao_2,,
33103,330,1,1,1,,0,符文之地3,,map_name2_33003,0,"179,-137",100,ui_bk_gq_zi_biao_3,,
33201,330,1,1,1,,0,符文之地1,,map_name2_33001,0,"-396,-137",100,ui_bk_gq_zi_biao_1,,
33202,330,1,1,1,,0,符文之地2,,map_name2_33002,0,"-78,137",100,ui_bk_gq_zi_biao_2,,
33203,330,1,1,1,,0,符文之地3,,map_name2_33003,0,"179,-137",100,ui_bk_gq_zi_biao_3,,
33301,330,1,1,1,,0,符文之地1,,map_name2_33001,0,"-396,-137",100,ui_bk_gq_zi_biao_1,,
33302,330,1,1,1,,0,符文之地2,,map_name2_33002,0,"-78,137",100,ui_bk_gq_zi_biao_2,,
33303,330,1,1,1,,0,符文之地3,,map_name2_33003,0,"179,-137",100,ui_bk_gq_zi_biao_3,,
34001,334,1,1,1,,0,专武副本1,,map_name2_34001,0,"-654,137",100,ui_bk_gq_zi_biao_1,,
34002,334,1,1,1,,0,专武副本2,,map_name2_34002,0,"-396,-137",100,ui_bk_gq_zi_biao_2,,
34003,334,1,1,1,,0,专武副本3,,map_name2_34003,0,"-78,137",100,ui_bk_gq_zi_biao_3,,
34004,334,1,1,1,,0,专武副本4,,map_name2_34004,0,"179,-137",100,ui_bk_gq_zi_biao_4,,
34005,334,1,1,1,,0,专武副本5,,map_name2_34005,0,"496,137",100,ui_bk_gq_zi_biao_5,,
34006,334,1,1,1,,0,专武副本6,,map_name2_34006,0,"761,-137",100,ui_bk_gq_zi_biao_6,,
1020101,10201,,1,,1020101,,缘起锦绣,,,,"0,100",,,,
1020102,10201,,1,,1020102,,深林遇狐,,,,"560,220",,,,
1020103,10201,,1,,1020103,,落花又逢,,,,"700,-180",,,,
1020104,10201,,1,,1020104,,神契双结,,,,"1200,-20",,,,
1020105,10201,,1,,1020105,,佳愿,,,,"1520,190",,,,
1020106,10201,,1,,1020106,,恶神传说,,,,"1800,-46",,,,
1020107,10201,,1,,1020107,,解怨释结,,,,"2380,210",,,,
1020108,10201,,1,,1020108,,夕暮漫步,,,,"2590,-166",,,,
1020109,10201,,1,,1020109,,阴云袭人,,,,"2990,40",,,,
1020110,10201,,1,,1020110,,不安,,,,"3460,160",,,,
1020111,10201,,1,,1020111,,神谕赐福,,,,"3760,-80",,,,
1020112,10201,,1,,1020112,,世如我见,,,,"4160,70",,,,
1020113,10201,,1,,1020113,,黑与白,,,,"4740,-140",,,,
1020114,10201,,1,,1020114,,齐心协力,,,,"5010,180",,,,
1020115,10201,,1,,1020115,,勘破我执,,,,"5400,-18",,,,
1020116,10201,,1,,1020116,,誓约,,,,"5660,-300",,,,
1020117,10201,,1,,1020117,,梦醒遇佳期,,,,"5950,-70",,,,
1020118,10201,,1,,1020118,,心有感,,,,"6210,150",,,,
1020119,10201,,1,,1020119,,遇南山,,,,"6780,150",,,,
1020120,10201,,1,,1020120,,越藩篱,,,,"7290,220",,,,
1020121,10201,,1,,1020121,,行长路,,,,"7560,-10",,,,
1020122,10201,,1,,1020122,,潜深林,,,,"7820,-250",,,,
1020123,10201,,1,,1020123,,空折枝,,,,"8190,42",,,,
1020124,10201,,1,,1020124,,饮溪月,,,,"8720,-130",,,,
1020125,10201,,1,,1020125,,入夜时,,,,"9320,12",,,,
1020126,10201,,1,,1020126,,蚀月现,,,,"9880,160",,,,
1020201,10202,,1,,1020201,,缘起锦绣,,,,"40,180",,,,
1020202,10202,,1,,1020202,,深林遇狐,,,,"240,-200",,,,
1020203,10202,,1,,1020203,,落花又逢,,,,"580,0",,,,
1020204,10202,,1,,1020204,,神契双结,,,,"890,200",,,,
1020205,10202,,1,,1020205,,佳愿,,,,"1200,-80",,,,
1020206,10202,,1,,1020206,,恶神传说,,,,"1500,130",,,,
1020207,10202,,1,,1020207,,解怨释结,,,,"2100,180",,,,
1020208,10202,,1,,1020208,,夕暮漫步,,,,"2300,-210",,,,
1020209,10202,,1,,1020209,,阴云袭人,,,,"2640,0",,,,
1020210,10202,,1,,1020210,,不安,,,,"2960,190",,,,
1020211,10202,,1,,1020211,,神谕赐福,,,,"3260,-90",,,,
1020212,10202,,1,,1020212,,世如我见,,,,"3570,130",,,,
1020213,10202,,1,,1020213,,黑与白,,,,"4130,200",,,,
1020214,10202,,1,,1020214,,齐心协力,,,,"4480,-170",,,,
1020215,10202,,1,,1020215,,勘破我执,,,,"4900,10",,,,
1020216,10202,,1,,1020216,,誓约,,,,"5330,190",,,,
1020217,10202,,1,,1020217,,梦醒遇佳期,,,,"5740,-40",,,,
1020218,10202,,1,,1020218,,心有感,,,,"6480,-80",,,,
1020219,10202,,1,,1020219,,遇南山,,,,"6820,-230",,,,
