Level,RoleRank,RoleLevel,RoleBreak,Item
70,5,14100,"1,2,3,4,5,6,7","1006108,15,1000003,80000;1006109,15,1000003,80000;1006110,15,1000003,80000;1006111,15,1000003,80000;1006112,15,1000003,80000;1006113,15,1000003,80000;1006114,15,1000003,80000"
71,5,14150,,
72,5,14200,,
73,5,14250,,
74,5,14300,,
75,5,14350,,
76,5,14400,,
77,5,14450,,
78,5,14500,,
79,5,14550,,
80,5,14600,,
81,5,14650,,
82,5,14700,,
83,5,14750,,
84,5,14800,,
85,5,14850,,
86,5,14900,,
87,5,14950,,
88,5,15000,,
89,5,15050,,
90,5,15100,,
91,5,15150,,
92,5,15200,,
93,5,15250,,
94,5,15300,,
95,5,15350,,
96,5,15400,,
97,5,15450,,
98,5,15500,,
99,5,15550,,
100,5,15600,,
101,5,15650,,
102,5,15700,,
103,5,15750,,
104,5,15800,,
105,5,15850,,
106,5,15900,,
107,5,15950,,
108,5,16000,,
109,5,16050,,
110,5,16100,,
111,5,16150,,
112,5,16200,,
113,5,16250,,
114,5,16300,,
115,5,16350,,
116,5,16400,,
117,5,16450,,
118,5,16500,,
119,5,16550,,
120,5,16600,"1,2,3,4,5,6,7","1006115,20,1000003,200000;1006116,20,1000003,200000;1006117,20,1000003,200000;1006118,20,1000003,200000;1006119,20,1000003,200000;1006120,20,1000003,200000;1006121,20,1000003,200000"
121,5,19800,,
122,5,19900,,
123,5,20000,,
124,5,20100,,
125,5,20200,,
126,5,20300,,
127,5,20400,,
128,5,20500,,
129,5,20600,,
130,5,20700,,
131,5,20800,,
132,5,20900,,
133,5,21000,,
134,5,21100,,
135,5,21200,,
136,5,21300,,
137,5,21400,,
138,5,21500,,
139,5,21600,,
140,5,21750,,
141,5,21900,,
142,5,22050,,
143,5,22200,,
144,5,22350,,
145,5,22500,,
146,5,22650,,
147,5,22800,,
148,5,22950,,
149,5,23100,,
150,5,23250,,
151,5,23400,,
152,5,23550,,
153,5,23700,,
154,5,23850,,
155,5,24000,,
156,5,24150,,
157,5,24300,,
158,5,24450,,
159,5,24600,,
160,5,24800,,
161,5,25000,,
162,5,25200,,
163,5,25400,,
164,5,25600,,
165,5,25800,,
166,5,26000,,
167,5,26200,,
168,5,26400,,
169,5,26600,,
170,5,26800,,
171,5,27000,,
172,5,27200,,
173,5,27400,,
174,5,27600,,
175,5,27800,,
176,5,28000,,
177,5,28200,,
178,5,28400,,
179,5,28600,,
180,5,990000,,
181,5,990000,,
182,5,990000,,
183,5,990000,,
184,5,990000,,
185,5,0,,
