Id,Beizhu,Name,Type,icon,InitValue,MinValue,MaxValue,PowerValue,PowerPercent,Show,Des
120,治疗效果,Attribute_Name_120,2,ui_icon_yc_mn_att_120,0,-1000,0,0,2,2,Attribute_Des_120
121,受到治疗效果,Attribute_Name_121,2,ui_icon_yc_mn_att_121,0,-1000,0,0,0,2,Attribute_Des_121
122,吸血,Attribute_Name_122,2,ui_icon_yc_mn_att_122,0,0,0,0,4,2,Attribute_Des_122
123,普攻伤害,Attribute_Name_123,2,ui_icon_yc_mn_att_123,0,-1000,0,0,2,2,Attribute_Des_123
124,技能伤害,Attribute_Name_124,2,ui_icon_yc_mn_att_124,0,-1000,0,0,2,2,Attribute_Des_124
125,奥义伤害,Attribute_Name_125,2,ui_icon_yc_mn_att_125,0,-1000,0,0,2,2,Attribute_Des_125
126,普攻受伤减免,Attribute_Name_126,2,ui_icon_yc_mn_att_126,0,-500,0,0,2,2,Attribute_Des_126
127,技能受伤减免,Attribute_Name_127,2,ui_icon_yc_mn_att_127,0,-500,0,0,2,2,Attribute_Des_127
128,奥义受伤减免,Attribute_Name_128,2,ui_icon_yc_mn_att_128,0,-500,0,0,2,2,Attribute_Des_128
130,固定增伤值,Attribute_Name_130,2,ui_icon_yc_mn_zhenshang,0,-9999999,0,10,0,2,Attribute_Des_130
131,固定减伤值,Attribute_Name_131,2,ui_icon_yc_mn_zhenshang,0,-9999999,0,10,0,2,Attribute_Des_131
132,反弹比例,Attribute_Name_132,2,ui_icon_yc_mn_att_132,0,0,0,0,4,2,Attribute_Des_132
133,反噬比例,Attribute_Name_133,2,ui_icon_yc_mn_att_133,0,0,0,0,2,2,Attribute_Des_133
134,护盾效果,Attribute_Name_134,2,ui_icon_yc_mn_att_108,0,-1000,0,0,2,2,Attribute_Des_134
135,受到护盾效果,Attribute_Name_135,2,ui_icon_yc_mn_att_108,0,-1000,0,0,2,2,Attribute_Des_135
136,最终伤害,Attribute_Name_136,2,ui_icon_yc_mn_att_136,0,-1000,0,0,10,2,Attribute_Des_136
137,回能效率,Attribute_Name_137,2,ui_icon_yc_mn_att_137,0,-1000,0,0,4,2,Attribute_Des_137
138,行动后能量回复,Attribute_Name_138,1,ui_icon_yc_mn_att_138,20,-1000,0,0,2,2,Attribute_Des_138
139,初始能量,Attribute_Name_139,1,ui_icon_yc_mn_att_139,0,0,0,0,5,2,Attribute_Des_139
140,能量上限,Attribute_Name_140,1,ui_icon_yc_mn_att_140,300,0,0,0,0,0,Attribute_Des_140
141,仇恨值,Attribute_Name_141,1,ui_icon_yc_mn_zhenshang,100,0,0,8,0,2,Attribute_Des_141
142,灵魂解放伤害,Attribute_Name_142,2,ui_icon_yc_mn_att_142,0,-1000,0,0,2,2,Attribute_Des_142
143,闪避几率,Attribute_Name_143,2,ui_icon_yc_mn_att_143,0,-500,0,0,6,2,Attribute_Des_143
144,克制伤害倍率增加,Attribute_Name_144,2,ui_icon_yc_mn_zhenshang,0,-1000,0,0,2,2,Attribute_Des_144
145,克制伤害倍率减免,Attribute_Name_145,2,ui_icon_yc_mn_zhenshang,0,-500,0,0,2,2,Attribute_Des_145
146,爆气等级增减值,Attribute_Name_146,1,ui_icon_yc_mn_zhenshang,0,0,0,0,0,0,Attribute_Des_146
147,灵魂解放伤害加成,Attribute_Name_147,2,ui_icon_yc_mn_att_147,0,-1000,0,0,2,2,Attribute_Des_147
148,灵魂解放伤害减免,Attribute_Name_148,2,ui_icon_yc_mn_att_148,0,-500,0,0,2,2,Attribute_Des_148
149,韧性伤害,Attribute_Name_149,2,ui_icon_yc_mn_ruodian,0,-1000,0,0,2,2,Attribute_Des_149
150,护盾上限,Attribute_Name_150,2,ui_icon_yc_mn_hujia,1000,-1000,0,0,4,2,Attribute_Des_150
151,最终伤害浮动,Attribute_Name_151,2,,1000,-1000,0,0,0,0,Attribute_Des_151
152,灵魂解放倍率,Attribute_Name_152,2,ui_icon_yc_mn_att_152,100,-1000,0,0,0,2,Attribute_Des_152
1001,灼烧抵抗,Attribute_Name_1001,2,burn,0,-500,0,0,1,1,Attribute_Des_1001
1002,虚弱抵抗,Attribute_Name_1002,2,weak,0,-500,0,0,1,1,Attribute_Des_1002
1003,贯穿抵抗,Attribute_Name_1003,2,,0,-500,0,0,1,1,Attribute_Des_1003
1004,击破抵抗,Attribute_Name_1004,2,,0,-500,0,0,1,1,Attribute_Des_1004
1005,感电抵抗,Attribute_Name_1005,2,electricity,0,-500,0,0,1,1,Attribute_Des_1005
1006,蒸发抵抗,Attribute_Name_1006,2,,0,-500,0,0,1,1,Attribute_Des_1006
1007,易碎抵抗,Attribute_Name_1007,2,,0,-500,0,0,1,1,Attribute_Des_1007
1008,控制抵抗（嘲讽、沉默、定身）,Attribute_Name_1008,2,ui_icon_yc_mn_hujia,0,-500,0,0,1,1,Attribute_Des_1008
1009,禁疗抵抗,Attribute_Name_1009,2,infcet,0,-500,0,0,1,1,Attribute_Des_1009
1010,沉默抵抗,Attribute_Name_1010,2,,0,-500,0,0,1,1,Attribute_Des_1010
1011,定身抵抗,Attribute_Name_1011,2,,0,-500,0,0,1,1,Attribute_Des_1011
1012,侵蚀抵抗,Attribute_Name_1012,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_1012
1013,侵蚀加深抵抗,Attribute_Name_1013,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_1013
1014,受到拉条（减速）,Attribute_Name_1014,2,ui_icon_yc_mn_sudu,0,0,1000,0,1,1,Attribute_Des_1014
2001,灼烧命中,Attribute_Name_2001,2,burn,0,-500,0,0,1,1,Attribute_Des_2001
2002,虚弱命中,Attribute_Name_2002,2,weak,0,-500,0,0,1,1,Attribute_Des_2002
2003,贯穿命中,Attribute_Name_2003,2,,0,-500,0,0,1,1,Attribute_Des_2003
2004,击破命中,Attribute_Name_2004,2,,0,-500,0,0,1,1,Attribute_Des_2004
2005,感电命中,Attribute_Name_2005,2,electricity,0,-500,0,0,1,1,Attribute_Des_2005
2006,蒸发命中,Attribute_Name_2006,2,,0,-500,0,0,1,1,Attribute_Des_2006
2007,易碎命中,Attribute_Name_2007,2,,0,-500,0,0,1,1,Attribute_Des_2007
2008,嘲讽命中,Attribute_Name_2008,2,,0,-500,0,0,1,1,Attribute_Des_2008
2009,禁疗命中,Attribute_Name_2009,2,infcet,0,-500,0,0,1,1,Attribute_Des_2009
2010,沉默命中,Attribute_Name_2010,2,,0,-500,0,0,1,1,Attribute_Des_2010
2011,定身命中,Attribute_Name_2011,2,,0,-500,0,0,1,1,Attribute_Des_2011
2012,侵蚀命中,Attribute_Name_2012,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_2012
2013,侵蚀加深命中,Attribute_Name_2013,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_2013
3001,灼烧效果,Attribute_Name_3001,2,burn,0,-500,0,0,1,1,Attribute_Des_3001
3002,虚弱效果,Attribute_Name_3002,2,weak,0,-500,0,0,1,1,Attribute_Des_3002
3003,贯穿效果,Attribute_Name_3003,2,,0,-500,0,0,1,1,Attribute_Des_3003
3004,击破效果,Attribute_Name_3004,2,,0,-500,0,0,1,1,Attribute_Des_3004
3005,感电效果,Attribute_Name_3005,2,electricity,0,-500,0,0,1,1,Attribute_Des_3005
3006,蒸发效果,Attribute_Name_3006,2,,0,-500,0,0,1,1,Attribute_Des_3006
3007,易碎效果,Attribute_Name_3007,2,,0,-500,0,0,1,1,Attribute_Des_3007
3008,嘲讽效果,Attribute_Name_3008,2,,0,-500,0,0,1,1,Attribute_Des_3008
3009,禁疗效果,Attribute_Name_3009,2,infcet,0,-500,0,0,1,1,Attribute_Des_3009
3010,沉默效果,Attribute_Name_3010,2,,0,-500,0,0,1,1,Attribute_Des_3010
3011,定身效果,Attribute_Name_3011,2,,0,-500,0,0,1,1,Attribute_Des_3011
3012,侵蚀效果,Attribute_Name_3012,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_3012
3013,侵蚀加深效果,Attribute_Name_3013,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_3013
4001,受到灼烧效果,Attribute_Name_4001,2,burn,0,-500,0,0,1,1,Attribute_Des_4001
4002,受到虚弱效果,Attribute_Name_4002,2,poison,0,-500,0,0,1,1,Attribute_Des_4002
4003,受到贯穿效果,Attribute_Name_4003,2,poison,0,-500,0,0,1,1,Attribute_Des_4003
4004,受到击破效果,Attribute_Name_4004,2,poison,0,-500,0,0,1,1,Attribute_Des_4004
4005,受到感电效果,Attribute_Name_4005,2,poison,0,-500,0,0,1,1,Attribute_Des_4005
4006,受到蒸发效果,Attribute_Name_4006,2,poison,0,-500,0,0,1,1,Attribute_Des_4006
4007,受到易碎效果,Attribute_Name_4007,2,poison,0,-500,0,0,1,1,Attribute_Des_4007
4008,受到嘲讽效果,Attribute_Name_4008,2,poison,0,-500,0,0,1,1,Attribute_Des_4008
4009,受到禁疗效果,Attribute_Name_4009,2,poison,0,-500,0,0,1,1,Attribute_Des_4009
4010,受到沉默效果,Attribute_Name_4010,2,poison,0,-500,0,0,1,1,Attribute_Des_4010
4011,受到定身效果,Attribute_Name_4011,2,poison,0,-500,0,0,1,1,Attribute_Des_4011
4012,受到侵蚀效果,Attribute_Name_4012,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_4012
4013,受到侵蚀加深效果,Attribute_Name_4013,2,ui_icon_yc_mn_sdqsshjc,0,-500,0,0,1,1,Attribute_Des_4013
4014,受到反噬伤害加深,Attribute_Name_4014,2,ui_icon_yc_mn_thorns,0,-500,0,0,1,1,Attribute_Des_4014
4015,受到反弹伤害加深,Attribute_Name_4015,2,ui_icon_yc_mn_thorns,0,-500,0,0,1,1,Attribute_Des_4015
4016,受到拉条（加速）,Attribute_Name_4016,2,ui_icon_yc_mn_sududown,0,0,1000,0,1,1,Attribute_Des_4016
401602003,奈奥米特殊属性,,2,,0,0,1000,0,0,0,
