Id,,TitleName,Birthday,Like,Height,Weight,Race,Positioning,PositioningTip,CvCn,CvJp,Limner,LikeStoryTitle,LikeStoryDesc,LikeStoryCondition,LikeStoryConditionText,ConditionCheck
3013006,水仙,role_titlename_3013006,5/29/TE·17253,role_like_3013006,234,76000,role_race_08,role_positioning_7,"role_positioning_21,1670d6,role_positioning_21_tip;role_positioning_22,42d837,role_positioning_22_tip",cv_30130060,cv_30130061,artist_3013006,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013006_1,role_likestory_3013006_2,role_likestory_3013006_3,role_likestory_3013006_4,role_likestory_3013006_5","0;3013006,1;3013006,4;3013006,7;3013006,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013007,菲莉希亚,role_titlename_3013007,11/20/TE·17742,role_like_3013007,165,6700,role_race_09,role_positioning_9,"role_positioning_22,42d837,role_positioning_22_tip;role_positioning_36,42d837,role_positioning_36_tip;role_positioning_28,1670d6,role_positioning_28_tip",cv_30130070,cv_30130071,artist_3013007,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013007_1,role_likestory_3013007_2,role_likestory_3013007_3,role_likestory_3013007_4,role_likestory_3013007_5","0;3013007,1;3013007,4;3013007,7;3013007,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013008,梅露特,role_titlename_3013008,9/28/TE·4513,role_like_3013008,154,53000,role_race_10,role_positioning_7,"role_positioning_18,d02e46,role_positioning_18_tip;role_positioning_30,606060,role_positioning_30_tip;role_positioning_31,1670d6,role_positioning_31_tip",cv_30130080,cv_30130081,artist_3013008,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013008_1,role_likestory_3013008_2,role_likestory_3013008_3,role_likestory_3013008_4,role_likestory_3013008_5","0;3013008,1;3013008,4;3013008,7;3013008,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013009,奈奈芙,role_titlename_3013009,9/16/TE·17237,role_like_3013009,165,53000,role_race_11,role_positioning_7,"role_positioning_22,42d837,role_positioning_22_tip;role_positioning_18,d02e46,role_positioning_18_tip",cv_30130090,cv_30130091,artist_3013009,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013009_1,role_likestory_3013009_2,role_likestory_3013009_3,role_likestory_3013009_4,role_likestory_3013009_5","0;3013009,1;3013009,4;3013009,7;3013009,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013014,玛瑙,role_titlename_3013014,5/19/SE·24249,role_like_3013014,162,47000,role_race_06,role_positioning_9,"role_positioning_11,42d837,role_positioning_11_tip;role_positioning_32,606060,role_positioning_32_tip",cv_30130140,cv_30130141,artist_3013014,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013014_1,role_likestory_3013014_2,role_likestory_3013014_3,role_likestory_3013014_4,role_likestory_3013014_5","0;3013014,1;3013014,4;3013014,7;3013014,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013015,哀歌,role_titlename_3013015,8/20/TE·5008,role_like_3013015,166,52000,role_race_11,role_positioning_9,"role_positioning_11,42d837,role_positioning_11_tip;role_positioning_13,606060,role_positioning_13_tip;role_positioning_31,1670d6,role_positioning_31_tip",cv_30130150,cv_30130151,artist_3013015,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013015_1,role_likestory_3013015_2,role_likestory_3013015_3,role_likestory_3013015_4,role_likestory_3013015_5","0;3013015,1;3013015,4;3013015,7;3013015,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013017,波斯菊,role_titlename_3013017,3/10/TE·18058,role_like_3013017,148,40000,role_race_06,role_positioning_9,"role_positioning_12,1670d6,role_positioning_12_tip;role_positioning_31,1670d6,role_positioning_31_tip",cv_30130170,cv_30130171,artist_3013017,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013017_1,role_likestory_3013017_2,role_likestory_3013017_3,role_likestory_3013017_4,role_likestory_3013017_5","0;3013017,1;3013017,4;3013017,7;3013017,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013018,爱琳,role_titlename_3013018,7/20/TE·18057,role_like_3013018,135,32000,role_race_11,role_positioning_9,"role_positioning_12,1670d6,role_positioning_12_tip;role_positioning_31,1670d6,role_positioning_31_tip",cv_30130180,cv_30130181,artist_3013018,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013018_1,role_likestory_3013018_2,role_likestory_3013018_3,role_likestory_3013018_4,role_likestory_3013018_5","0;3013018,1;3013018,4;3013018,7;3013018,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013019,库萝心,role_titlename_3013019,5/25/HE·2004,role_like_3013019,157,45000,role_race_12,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_15,f30a0a,role_positioning_15_tip",cv_30130190,cv_30130191,artist_3013019,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013019_1,role_likestory_3013019_2,role_likestory_3013019_3,role_likestory_3013019_4,role_likestory_3013019_5","0;3013019,1;3013019,4;3013019,7;3013019,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013020,维达,role_titlename_3013020,5/26/TE·12975,role_like_3013020,153,45000,role_race_13,role_positioning_8,"role_positioning_22,42d837,role_positioning_22_tip;role_positioning_34,d02e46,role_positioning_34_tip",cv_30130200,cv_30130201,artist_3013020,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013020_1,role_likestory_3013020_2,role_likestory_3013020_3,role_likestory_3013020_4,role_likestory_3013020_5","0;3013020,1;3013020,4;3013020,7;3013020,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013022,莱拉,role_titlename_3013022,12/24/FE·1324,role_like_3013022,160,46000,role_race_11,role_positioning_7,"role_positioning_21,1670d6,role_positioning_21_tip;role_positioning_22,42d837,role_positioning_22_tip;role_positioning_18,d02e46,role_positioning_18_tip",cv_30130220,cv_30130221,artist_3013022,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013022_1,role_likestory_3013022_2,role_likestory_3013022_3,role_likestory_3013022_4,role_likestory_3013022_5","0;3013022,1;3013022,4;3013022,7;3013022,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013023,芙洛拉,role_titlename_3013023,?/?/TE·11155,role_like_3013023,156,6000,role_race_09,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_41,d02e46,role_positioning_41_tip",cv_30130230,cv_30130231,artist_3013023,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013023_1,role_likestory_3013023_2,role_likestory_3013023_3,role_likestory_3013023_4,role_likestory_3013023_5","0;3013023,1;3013023,4;3013023,7;3013023,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013024,希露德,role_titlename_3013024,0,0,0,0,role_race_07,0,0,cv_30130240,cv_30130241,artist_3013024,0,0,"0;3013024,1;3013024,4;3013024,7;3013024,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013025,多萝西,role_titlename_3013025,9/29/TE·18183,role_like_3013025,144,40000,role_race_11,role_positioning_8,"role_positioning_15,f30a0a,role_positioning_15_tip;role_positioning_25,f30a0a,role_positioning_25_tip",cv_30130250,cv_30130251,artist_3013025,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013025_1,role_likestory_3013025_2,role_likestory_3013025_3,role_likestory_3013025_4,role_likestory_3013025_5","0;3013025,1;3013025,4;3013025,7;3013025,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014001,普琳普顿,role_titlename_3014001,9/3/SE·24240,role_like_3014001,169,52000,role_race_06,role_positioning_9,"role_positioning_12,1670d6,role_positioning_12_tip;role_positioning_31,1670d6,role_positioning_31_tip",cv_30140010,cv_30140011,artist_3014001,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014001_1,role_likestory_3014001_2,role_likestory_3014001_3,role_likestory_3014001_4,role_likestory_3014001_5","0;3014001,1;3014001,4;3014001,7;3014001,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014003,焰心,role_titlename_3014003,8/2/SE·22342,role_like_3014003,148,130,role_race_07,role_positioning_9,"role_positioning_31,1670d6,role_positioning_31_tip;role_positioning_33,1670d6,role_positioning_33_tip;role_positioning_35,1670d6,role_positioning_35_tip",cv_30140030,cv_30140031,artist_3014003,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014003_1,role_likestory_3014003_2,role_likestory_3014003_3,role_likestory_3014003_4,role_likestory_3014003_5","0;3014003,1;3014003,4;3014003,7;3014003,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014004,索菲,role_titlename_3014004,3/29/TE·11205,role_like_3014004,133,30000,role_race_14,role_positioning_7,"role_positioning_13,606060,role_positioning_13_tip;role_positioning_22,42d837,role_positioning_22_tip",cv_30140040,cv_30140041,artist_3014004,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014004_1,role_likestory_3014004_2,role_likestory_3014004_3,role_likestory_3014004_4,role_likestory_3014004_5","0;3014004,1;3014004,4;3014004,7;3014004,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014005,弥生,role_titlename_3014005,3/7/TE·11201,role_like_3014005,132,31000,role_race_06,role_positioning_9,"role_positioning_11,42d837,role_positioning_11_tip;role_positioning_12,1670d6,role_positioning_12_tip;role_positioning_17,26e3ea,role_positioning_17_tip",cv_30140050,cv_30140051,artist_3014005,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014005_1,role_likestory_3014005_2,role_likestory_3014005_3,role_likestory_3014005_4,role_likestory_3014005_5","0;3014005,1;3014005,4;3014005,7;3014005,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014009,桃,role_titlename_3014009,???,role_like_3014009,172,57000,role_race_15,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_16,c410cf,role_positioning_16_tip;role_positioning_26,c410cf,role_positioning_26_tip",cv_30140090,cv_30140091,artist_3014009,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301400901","role_likestory_3014009_1,role_likestory_3014009_2,role_likestory_3014009_3,role_likestory_3014009_4,role_likestory_3014009_5,filesstory_301400901","0;3014009,1;3014009,4;3014009,7;3014009,10;18323,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301400901",
3014011,艾斯塔利亚,role_titlename_3014011,5/30/TE·18066,role_like_3014011,151,42000,role_race_16,role_positioning_9,0,cv_30140110,cv_30140111,artist_3014011,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014011_1,role_likestory_3014011_2,role_likestory_3014011_3,role_likestory_3014011_4,role_likestory_3014011_5","0;3014011,1;3014011,4;3014011,7;3014011,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014012,未来,role_titlename_3014012,6/7/HE·2006,role_like_3014012,152,42000,role_race_17,role_positioning_9,"role_positioning_20,1670d6,role_positioning_20_tip;role_positioning_36,42d837,role_positioning_36_tip;role_positioning_37,606060,role_positioning_37_tip",cv_30140120,cv_30140121,artist_3014012,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014012_1,role_likestory_3014012_2,role_likestory_3014012_3,role_likestory_3014012_4,role_likestory_3014012_5","0;3014012,1;3014012,4;3014012,7;3014012,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014016,杏林,role_titlename_3014016,12/19/FE·778,role_like_3014016,153,41000,role_race_11,role_positioning_9,"role_positioning_11,42d837,role_positioning_11_tip;role_positioning_35,1670d6,role_positioning_35_tip;role_positioning_36,42d837,role_positioning_36_tip",cv_30140160,cv_30140161,artist_3014016,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014016_1,role_likestory_3014016_2,role_likestory_3014016_3,role_likestory_3014016_4,role_likestory_3014016_5","0;3014016,1;3014016,4;3014016,7;3014016,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014018,诗娅,role_titlename_3014018,9/20/TE·17148,role_like_3014018,172,5000,role_race_18,role_positioning_8,"role_positioning_16,c410cf,role_positioning_16_tip;role_positioning_34,d02e46,role_positioning_34_tip;role_positioning_38,42d837,role_positioning_38_tip",cv_30140180,cv_30140181,artist_3014018,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014018_1,role_likestory_3014018_2,role_likestory_3014018_3,role_likestory_3014018_4,role_likestory_3014018_5","0;3014018,1;3014018,4;3014018,7;3014018,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014019,艾什尔,role_titlename_3014019,10/26/TE·17881,role_like_3014019,162,6200,role_race_19,role_positioning_7,"role_positioning_21,1670d6,role_positioning_21_tip;role_positioning_22,42d837,role_positioning_22_tip",cv_30140190,cv_30140191,artist_3014019,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014019_1,role_likestory_3014019_2,role_likestory_3014019_3,role_likestory_3014019_4,role_likestory_3014019_5","0;3014019,1;3014019,4;3014019,7;3014019,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014020,阿波菲斯,role_titlename_3014020,2/5/TE·4497,role_like_3014020,320,152000,role_race_08,role_positioning_8,"role_positioning_16,c410cf,role_positioning_16_tip;role_positioning_26,c410cf,role_positioning_26_tip",cv_30140200,cv_30140201,artist_3014020,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014020_1,role_likestory_3014020_2,role_likestory_3014020_3,role_likestory_3014020_4,role_likestory_3014020_5","0;3014020,1;3014020,4;3014020,7;3014020,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014021,纳菲,role_titlename_3014021,11/1/SE·28123,role_like_3014021,145,40000,role_race_20,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_16,c410cf,role_positioning_16_tip;role_positioning_33,1670d6,role_positioning_33_tip",cv_30140210,cv_30140211,artist_3014021,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301402101","role_likestory_3014021_1,role_likestory_3014021_2,role_likestory_3014021_3,role_likestory_3014021_4,role_likestory_3014021_5,filesstory_301402101","0;3014021,1;3014021,4;3014021,7;3014021,10;18299,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301402101",
3014022,丘吉尔,role_titlename_3014022,9/12/SE·23,role_like_3014022,150,170,role_race_07,role_positioning_9,"role_positioning_11,42d837,role_positioning_11_tip;role_positioning_31,1670d6,role_positioning_31_tip;role_positioning_39,606060,role_positioning_39_tip",cv_30140220,cv_30140221,artist_3014022,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301402201","role_likestory_3014022_1,role_likestory_3014022_2,role_likestory_3014022_3,role_likestory_3014022_4,role_likestory_3014022_5,filesstory_301402201","0;3014022,1;3014022,4;3014022,7;3014022,10;18301,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301402201",
3014023,神光,role_titlename_3014023,6/30/SE·1,role_like_3014023,165,200,role_race_07,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_15,f30a0a,role_positioning_15_tip;role_positioning_25,f30a0a,role_positioning_25_tip",cv_30140230,cv_30140231,artist_3014023,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301402302","role_likestory_3014023_1,role_likestory_3014023_2,role_likestory_3014023_3,role_likestory_3014023_4,role_likestory_3014023_5,filesstory_301402302","0;3014023,1;3014023,4;3014023,7;3014023,10;18451,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301402302",
3014024,雷雷,role_titlename_3014024,2/16/TE·11202,role_like_3014024,156,46000,role_race_06,role_positioning_9,"role_positioning_31,1670d6,role_positioning_31_tip;role_positioning_38,42d837,role_positioning_38_tip",cv_30140240,cv_30140241,artist_3014024,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301402401","role_likestory_3014024_1,role_likestory_3014024_2,role_likestory_3014024_3,role_likestory_3014024_4,role_likestory_3014024_5,filesstory_301402401","0;3014024,1;3014024,4;3014024,7;3014024,10;18302,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301402401",
3014025,安普莎,role_titlename_3014025,11/11/TE·3,role_like_3014025,169,73000,role_race_10,role_positioning_7,"role_positioning_18,d02e46,role_positioning_18_tip;role_positioning_30,606060,role_positioning_30_tip",cv_30140250,cv_30140251,artist_3014025,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301402501,filestitle_301402502","role_likestory_3014025_1,role_likestory_3014025_2,role_likestory_3014025_3,role_likestory_3014025_4,role_likestory_3014025_5,filesstory_301402501,filesstory_301402502","0;3014025,1;3014025,4;3014025,7;3014025,10;18303,1;18304,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301402501,files_unlock_301402502",
3014026,库萝爱,role_titlename_3014026,5/25/HE·2004,role_like_3014026,158,48000,role_race_12,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_15,f30a0a,role_positioning_15_tip",cv_30140260,cv_30140261,artist_3014026,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014026_1,role_likestory_3014026_2,role_likestory_3014026_3,role_likestory_3014026_4,role_likestory_3014026_5","0;3014026,1;3014026,4;3014026,7;3014026,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014027,贝拉,role_titlename_3014027,3/21/TE·12965,role_like_3014027,145,35000,role_race_21,role_positioning_8,"role_positioning_15,f30a0a,role_positioning_15_tip;role_positioning_25,f30a0a,role_positioning_25_tip",cv_30140270,cv_30140271,artist_3014027,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014027_1,role_likestory_3014027_2,role_likestory_3014027_3,role_likestory_3014027_4,role_likestory_3014027_5","0;3014027,1;3014027,4;3014027,7;3014027,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3014029,贝儿,role_titlename_3014029,4/29/FT·1734,role_like_3014029,155,70000,role_race_06,role_positioning_7,"role_positioning_32,606060,role_positioning_32_tip;role_positioning_17,26e3ea,role_positioning_17_tip",cv_30140290,cv_30140291,artist_3014029,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3014029_1,role_likestory_3014029_2,role_likestory_3014029_3,role_likestory_3014029_4,role_likestory_3014029_5","0;3014029,1;3014029,4;3014029,7;3014029,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
