Id,Type,Repeat,TriggerNumber,value,RewardId,Item,Counts
10005,2,0,1,"100,100,100,100,100,100,100,100,100,100,100",0,"3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016013,3016031,3016130",1;1;1;1;1;1;1;1;1;1;1
10006,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100",0,"3013004,3013006,3013015,3014001,3014005,3014020,3014021,3014022,3014027,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1
10007,2,0,1,100,0,3016013,1
10008,2,0,1,"100,100,100",0,"3013019,3014026,3016068",1;1;1
10009,2,0,1,"100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016031,3016130",1;1;1;1;1;1;1;1;1;1;1
10010,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3013015,3014001,3014005,3014020,3014021,3014022,3014027,3016011,3013019",1;1;1;1;1;1;1;1;1;1;1;1
10011,2,0,1,100,0,3015008,1
10012,2,0,1,"100,100,100",0,"3013015,3014027,3016017",1;1;1
10013,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3016009,3016013,3016031,3016130,3016013",1;1;1;1;1;1;1;1;1;1;1;1
10014,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3014001,3014005,3014019,3014020,3014021,3014022,3014026,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1
10015,2,0,1,100,0,3014009,1
10016,2,0,1,"100,100,100",0,"3014005,3014020,3014022",1;1;1
10017,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016013,3016031,3016130,3016013",1;1;1;1;1;1;1;1;1;1;1;1;1
10018,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3013015,3014001,3014019,3014021,3014022,3014026,3014027,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1
10019,2,0,1,100,0,3016009,1
10020,2,0,1,"100,100,100",0,"3014005,3014020,3014022",1;1;1
10021,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016013,3016031,3016130,3016013,3014009",1;1;1;1;1;1;1;1;1;1;1;1;1
10022,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3013015,3014001,3014019,3014021,3014022,3014026,3014027,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1
10023,2,0,1,100,0,3016078,1
10024,2,0,1,"100,100,100",0,"3013015,3014001,3014027",1;1;1
10025,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016013,3016031,3016130,3016013,3014009",1;1;1;1;1;1;1;1;1;1;1;1;1;1
10026,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3014001,3014005,3014019,3014020,3014021,3014022,3014026,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1
10027,2,0,1,100,0,3015004,1
10028,2,0,1,"100,100,100",0,"3014005,3013015,3016017",1;1;1
10029,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016013,3016031,3016130,3016013,3014009,3016078",1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10030,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3014001,3014019,3014020,3014021,3014022,3014026,3014027,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1
10301,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016013,3016031,3016130",1;1;1;1;1;1;1;1;1;1;1;1
130001,1,0,1,10000,0,1000006,10
130002,1,0,1,10000,0,1000006,20
130003,1,0,1,10000,0,1000007,10
130004,1,0,1,10000,0,1000007,20
130006,1,0,1,"10000,10000,10000",0,"1000003,1006505,10101",800;1;10
130007,1,0,1,"10000,10000,10000",0,"1000004,1002133,10101",60;1;20
130008,1,0,1,"10000,10000,10000",0,"1000003,1006401,10101",2400;1;30
130009,1,0,1,"10000,10000",0,"1006506,10101",2;40
130010,1,0,1,"10000,10000,10000",0,"1000002,1001011,10101",65;1;50
140003,1,0,1,"10000,10000,10000",0,"1000004,1006506,10101",40;3;100
140004,1,0,1,"10000,10000,10000",0,"1000002,1006401,10101",20;3;150
140005,1,0,1,"10000,10000,10000",0,"1000003,1006507,10101",8000;3;200
140006,1,0,1,"10000,10000,10000",0,"1000004,1006222,10101",80;10;300
140007,1,0,1,"10000,10000,10000",0,"1000002,1002141,10101",40;5;500
150001,1,0,1,10000,0,1006223,1
50100,1,0,1,10000,0,1001001,1
50101,1,0,1,10000,0,1000003,600
50102,1,0,1,10000,0,1002141,1
50103,1,0,1,10000,0,1000002,20
50111,1,0,1,"10000,10000",0,"1000003,1002141",600;1
50121,1,0,1,"10000,10000,10000",0,"1000003,1002141,1000002",600;1;20
50131,1,0,1,"10000,10000",0,"1002133,1002103",1;1
50141,1,0,1,"10000,10000,10000",0,"1002133,1002103,1000002",1;1;25
50151,1,0,1,"10000,10000",0,"1002103,1002141",2;2
50152,1,0,1,"10000,10000,10000",0,"1002141,1002141,1000002",2;2;30
50161,1,0,1,"10000,10000,10000",0,"1002133,1002103,1000002",3;3;50
60101,2,0,1,"1,1,1","50101,50102,50103",0,0
60102,2,0,1,1,50111,0,0
60103,2,0,1,1,50121,0,0
60104,2,0,1,1,50131,0,0
60105,2,0,1,1,50141,0,0
60106,2,0,1,1,50151,0,0
60107,2,0,1,1,50152,0,0
60108,2,0,1,1,50161,0,0
60109,1,0,1,10000,0,1000002,20
200001,1,0,1,10000,0,3,100
200002,1,0,1,10000,0,3,200
200003,1,0,1,10000,0,3,300
40001,1,0,1,"10000,10000",0,"2,10003",50;20
40005,1,0,1,"10000,10000",0,"2,10003",100;50
91007,1,0,1,10000,0,11001,1
99901,1,0,1,10000,0,1000002,300
99902,1,0,1,10000,0,1000002,400
99903,1,0,1,10000,0,1000002,400
99904,1,0,1,10000,0,1000002,500
99905,1,0,1,10000,0,1000002,500
99906,1,0,1,10000,0,1000002,500
99907,1,0,1,10000,0,1000002,600
99908,1,0,1,10000,0,1000002,600
99909,1,0,1,10000,0,1000002,600
99910,1,0,1,10000,0,1000002,800
99911,1,0,1,10000,0,1000002,800
99912,1,0,1,10000,0,1000002,800
99913,1,0,1,10000,0,1000002,1600
10010231,1,0,1,10000,0,1000004,10
10010242,1,0,1,10000,0,1000004,60
10010253,1,0,1,10000,0,1000004,120
1002151,2,0,1,"10,10,10,10,10,10,10",0,"1006201,1006202,1006203,1006204,1006205,1006206,1006207",1;1;1;1;1;1;1
1002152,2,0,1,"10,10,10,10,10,10,10",0,"1006201,1006202,1006203,1006204,1006205,1006206,1006207",3;3;3;3;3;3;3
1002153,2,0,1,"10,10,10,10,10,10,10",0,"1006201,1006202,1006203,1006204,1006205,1006206,1006207",9;9;9;9;9;9;9
1002154,2,0,1,"10,10,10,10,10,10,10",0,"1006201,1006202,1006203,1006204,1006205,1006206,1006207",27;27;27;27;27;27;27
100001,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100002,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100003,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100004,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100005,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100006,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100007,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100008,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100009,1,0,1,"10000,10000",0,"1006505,1002141",3;1
100010,1,0,1,"10000,10000,10000",0,"1000002,3013023,1000009",60;5;1
100011,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100012,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100013,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100014,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100015,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100016,1,0,1,"10000,10000",0,"1006505,1000003",3;900
100017,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100018,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100019,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100020,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;15;1
100021,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100022,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100023,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100024,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100025,1,0,1,"10000,10000",0,"1006506,1000003",2;2000
100026,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100027,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100028,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100029,1,0,1,10000,0,1002141,20
100030,1,0,1,"10000,10000,10000",0,"1000002,3014029,1000009",60;1;1
100031,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100032,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100033,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100034,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100035,1,0,1,"10000,10000",0,"1006506,1000003",3;3000
100036,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100037,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100038,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100039,1,0,1,10000,0,1002141,20
100040,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;25;1
100041,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100042,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100043,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100044,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100045,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100046,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100047,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100048,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100049,1,0,1,10000,0,1002141,25
100050,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;30;1
100051,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100052,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100053,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100054,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100055,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100056,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100057,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100058,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100059,1,0,1,10000,0,1006508,2
100060,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;35;1
100061,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100062,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100063,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100064,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100065,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100066,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100067,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100068,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100069,1,0,1,10000,0,1002141,25
100070,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;30;1
100071,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100072,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100073,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100074,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100075,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100076,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100077,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100078,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100079,1,0,1,10000,0,1002141,25
100080,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;30;1
100081,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100082,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100083,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100084,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100085,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100086,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100087,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100088,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100089,1,0,1,10000,0,1002141,25
100090,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;30;1
100091,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100092,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100093,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100094,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100095,1,0,1,"10000,10000",0,"1006507,1000003",2;6000
100096,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100097,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100098,1,0,1,"10000,10000",0,"1006507,1000003",3;9000
100099,1,0,1,10000,0,1002141,25
100100,1,0,1,"10000,10000,10000",0,"1000002,1002141,1000009",60;30;1
20100,1,0,1,10000,0,1001065,20
20101,1,0,1,10000,0,1001065,10
20102,1,0,1,10000,0,1001065,10
20103,1,0,1,10000,0,1001065,10
20104,1,0,1,10000,0,1001065,10
20105,1,0,1,10000,0,1001065,10
20106,1,0,1,10000,0,1001065,15
20107,1,0,1,10000,0,1001065,10
20108,1,0,1,10000,0,1001065,10
20109,1,0,1,10000,0,1001065,15
20110,1,0,1,10000,0,1001065,30
20111,1,0,1,10000,0,1001065,20
20112,1,0,1,10000,0,1001065,20
20113,1,0,1,10000,0,1001065,10
20114,1,0,1,10000,0,1001065,10
20115,1,0,1,10000,0,1001065,10
20116,1,0,1,10000,0,1001065,10
20117,1,0,1,10000,0,1001065,10
20118,1,0,1,10000,0,1001065,15
20201,1,0,1,"10000,10000",0,"1001061,1001062",35;30
20202,1,0,1,"10000,10000",0,"1001061,1001062",35;30
20203,1,0,1,"10000,10000",0,"1001061,1001062",50;40
20204,1,0,1,"10000,10000",0,"1001061,1001062",60;50
20205,1,0,1,"10000,10000",0,"1001061,1001062",60;60
20301,1,0,1,10000,0,1001066,10
20302,1,0,1,10000,0,1001066,10
20303,1,0,1,10000,0,1001066,10
20304,1,0,1,10000,0,1001066,10
20305,1,0,1,10000,0,1001066,10
20306,1,0,1,10000,0,1001066,10
20307,1,0,1,10000,0,1001066,10
20308,1,0,1,10000,0,1001066,10
20309,1,0,1,10000,0,1001066,10
20310,1,0,1,10000,0,1001066,10
20311,1,0,1,10000,0,1001066,10
20312,1,0,1,10000,0,1001066,10
20313,1,0,1,10000,0,1001066,10
20314,1,0,1,10000,0,1001066,15
20315,1,0,1,10000,0,1001066,15
20316,1,0,1,10000,0,1001066,10
20317,1,0,1,10000,0,1001066,10
20318,1,0,1,10000,0,1001066,10
20319,1,0,1,10000,0,1001066,15
20320,1,0,1,10000,0,1001066,15
20321,1,0,1,10000,0,1001066,20
20322,1,0,1,10000,0,1001066,20
20323,1,0,1,10000,0,1001066,20
20324,1,0,1,10000,0,1001066,20
20325,1,0,1,10000,0,1001066,20
20401,1,0,1,"10000,10000",0,"1001061,1001062",100;90
20402,1,0,1,"10000,10000",0,"1001061,1001062",100;90
20403,1,0,1,"10000,10000",0,"1001061,1001062",130;120
20404,1,0,1,"10000,10000",0,"1001061,1001062",170;150
20405,1,0,1,"10000,10000",0,"1001061,1001062",200;180
1002133,2,0,1,"100,100,100",0,"1006601,1006602,1006603",1;1;1
900049,1,0,1,"10000,10000",0,"8049,1000002",1;3
900050,1,0,1,"10000,10000",0,"8050,1000002",1;3
900051,1,0,1,"10000,10000",0,"8051,1000002",1;3
900052,1,0,1,"10000,10000",0,"8052,1000002",1;3
900053,1,0,1,"10000,10000",0,"8053,1000002",1;3
900054,1,0,1,"10000,10000",0,"8054,1000002",1;3
900055,1,0,1,"10000,10000",0,"8055,1000002",1;3
900056,1,0,1,"10000,10000",0,"8056,1000002",1;3
900057,1,0,1,"10000,10000",0,"8057,1000002",1;3
900058,1,0,1,"10000,10000",0,"8058,1000002",1;3
900059,1,0,1,"10000,10000",0,"8059,1000002",1;3
900060,1,0,1,"10000,10000",0,"8060,1000002",1;3
900061,1,0,1,"10000,10000",0,"8061,1000002",1;3
900062,1,0,1,"10000,10000",0,"8062,1000002",1;3
900063,1,0,1,"10000,10000",0,"8063,1000002",1;3
900064,1,0,1,"10000,10000",0,"8064,1000002",1;3
900065,1,0,1,"10000,10000",0,"8065,1000002",1;3
900066,1,0,1,"10000,10000",0,"8066,1000002",1;3
900067,1,0,1,"10000,10000",0,"8067,1000002",1;3
900068,1,0,1,"10000,10000",0,"8068,1000002",1;3
900069,1,0,1,"10000,10000",0,"8069,1000002",1;3
900070,1,0,1,"10000,10000",0,"8070,1000002",1;3
900071,1,0,1,"10000,10000",0,"8071,1000002",1;3
900072,1,0,1,"10000,10000",0,"8072,1000002",1;3
900073,1,0,1,"10000,10000",0,"8073,1000002",1;3
900074,1,0,1,"10000,10000",0,"8074,1000002",1;3
900075,1,0,1,"10000,10000",0,"8075,1000002",1;3
900076,1,0,1,"10000,10000",0,"8076,1000002",1;3
900077,1,0,1,"10000,10000",0,"8077,1000002",1;3
900078,1,0,1,"10000,10000",0,"8078,1000002",1;3
900079,1,0,1,"10000,10000",0,"8079,1000002",1;3
900080,1,0,1,"10000,10000",0,"8080,1000002",1;3
900081,1,0,1,"10000,10000",0,"8081,1000002",1;3
900082,1,0,1,"10000,10000",0,"8082,1000002",1;3
900083,1,0,1,"10000,10000",0,"8083,1000002",1;3
900084,1,0,1,"10000,10000",0,"8084,1000002",1;3
900085,1,0,1,"10000,10000",0,"8085,1000002",1;3
900086,1,0,1,"10000,10000",0,"8086,1000002",1;3
900087,1,0,1,"10000,10000",0,"8087,1000002",1;3
900088,1,0,1,"10000,10000",0,"8088,1000002",1;3
900089,1,0,1,"10000,10000",0,"8089,1000002",1;3
900090,1,0,1,"10000,10000",0,"8090,1000002",1;3
900091,1,0,1,"10000,10000",0,"8091,1000002",1;3
900092,1,0,1,"10000,10000",0,"8092,1000002",1;3
900093,1,0,1,"10000,10000",0,"8093,1000002",1;3
900094,1,0,1,"10000,10000",0,"8094,1000002",1;3
900095,1,0,1,"10000,10000",0,"8095,1000002",1;3
900096,1,0,1,"10000,10000",0,"8096,1000002",1;3
900097,1,0,1,"10000,10000",0,"8097,1000002",1;3
900098,1,0,1,"10000,10000",0,"8098,1000002",1;3
900099,1,0,1,"10000,10000",0,"8099,1000002",1;3
900100,1,0,1,"10000,10000",0,"8100,1000002",1;3
900101,1,0,1,"10000,10000",0,"8101,1000002",1;3
900102,1,0,1,"10000,10000",0,"8102,1000002",1;3
900103,1,0,1,"10000,10000",0,"8103,1000002",1;3
900104,1,0,1,"10000,10000",0,"8104,1000002",1;3
900105,1,0,1,"10000,10000",0,"8105,1000002",1;3
900106,1,0,1,"10000,10000",0,"8106,1000002",1;3
900107,1,0,1,"10000,10000",0,"8107,1000002",1;3
900108,1,0,1,"10000,10000",0,"8108,1000002",1;3
900109,1,0,1,"10000,10000",0,"8109,1000002",1;3
900110,1,0,1,"10000,10000",0,"8110,1000002",1;3
900111,1,0,1,"10000,10000",0,"8111,1000002",1;3
900112,1,0,1,"10000,10000",0,"8112,1000002",1;3
900113,1,0,1,"10000,10000",0,"8113,1000002",1;3
900114,1,0,1,"10000,10000",0,"8114,1000002",1;3
900115,1,0,1,"10000,10000",0,"8115,1000002",1;3
900116,1,0,1,"10000,10000",0,"8116,1000002",1;3
900117,1,0,1,"10000,10000",0,"8117,1000002",1;3
900118,1,0,1,"10000,10000",0,"8118,1000002",1;3
900119,1,0,1,"10000,10000",0,"8119,1000002",1;3
900120,1,0,1,"10000,10000",0,"8120,1000002",1;3
900121,1,0,1,"10000,10000",0,"8121,1000002",1;3
900122,1,0,1,"10000,10000",0,"8122,1000002",1;3
900123,1,0,1,"10000,10000",0,"8123,1000002",1;3
900124,1,0,1,"10000,10000",0,"8124,1000002",1;3
900125,1,0,1,"10000,10000",0,"8125,1000002",1;3
900126,1,0,1,"10000,10000",0,"8126,1000002",1;3
900127,1,0,1,"10000,10000",0,"8127,1000002",1;3
900128,1,0,1,"10000,10000",0,"8128,1000002",1;3
900129,1,0,1,"10000,10000",0,"8129,1000002",1;3
900130,1,0,1,"10000,10000",0,"8130,1000002",1;3
900131,1,0,1,"10000,10000",0,"8131,1000002",1;3
900132,1,0,1,"10000,10000",0,"8132,1000002",1;3
900133,1,0,1,"10000,10000",0,"8133,1000002",1;3
900134,1,0,1,"10000,10000",0,"8134,1000002",1;3
900135,1,0,1,"10000,10000",0,"8135,1000002",1;3
900136,1,0,1,"10000,10000",0,"8136,1000002",1;3
900137,1,0,1,"10000,10000",0,"8137,1000002",1;3
900138,1,0,1,"10000,10000",0,"8138,1000002",1;3
900139,1,0,1,"10000,10000",0,"8139,1000002",1;3
900140,1,0,1,"10000,10000",0,"8140,1000002",1;3
900141,1,0,1,"10000,10000",0,"8141,1000002",1;3
900142,1,0,1,"10000,10000",0,"8142,1000002",1;3
900143,1,0,1,"10000,10000",0,"8143,1000002",1;3
900144,1,0,1,"10000,10000",0,"8144,1000002",1;3
900145,1,0,1,"10000,10000",0,"8145,1000002",1;3
900146,1,0,1,"10000,10000",0,"8146,1000002",1;3
900147,1,0,1,"10000,10000",0,"8147,1000002",1;3
900148,1,0,1,"10000,10000",0,"8148,1000002",1;3
900149,1,0,1,"10000,10000",0,"8149,1000002",1;3
900150,1,0,1,"10000,10000",0,"8150,1000002",1;3
202204,1,0,1,1000,0,2,10
202205,1,0,1,1000,0,2,10
202206,1,0,1,1000,0,11001,1
202301,1,0,1,1000,0,2,10
202302,1,0,1,1000,0,2,10
202303,1,0,1,1000,0,2,10
202304,1,0,1,1000,0,2,10
202305,1,0,1,1000,0,2,10
202306,1,0,1,1000,0,11001,1
90201,1,0,1,1000,0,2,10
90202,1,0,1,1000,0,2,10
90203,1,0,1,1000,0,2,10
90301,1,0,1,1000,0,2,10
90302,1,0,1,1000,0,2,10
90303,1,0,1,1000,0,2,10
90304,1,0,1,1000,0,11001,1
90401,1,0,1,1000,0,2,10
90402,1,0,1,1000,0,2,10
90403,1,0,1,1000,0,2,10
90501,1,0,1,1000,0,2,10
90502,1,0,1,1000,0,2,10
90503,1,0,1,1000,0,2,10
90504,1,0,1,1000,0,11001,1
90601,1,0,1,1000,0,2,10
90602,1,0,1,1000,0,2,10
90603,1,0,1,1000,0,2,10
90701,1,0,1,1000,0,2,10
90702,1,0,1,1000,0,2,10
90703,1,0,1,1000,0,2,10
90704,1,0,1,1000,0,11001,1
90801,1,0,1,1000,0,2,10
90802,1,0,1,1000,0,2,10
90803,1,0,1,1000,0,2,10
101010,1,0,1,"10000,10000",0,"1000002,1001001",8;1
101020,1,0,1,"10000,10000,10000",0,"1000002,3000002,3000003",8;1;1
101030,1,0,1,10000,0,1000002,8
101040,1,0,1,10000,0,1000002,8
101050,1,0,1,10000,0,1000002,8
101060,1,0,1,"10000,10000",0,"1000002,3013009",8;1
101070,1,0,1,"10000,10000",0,"1000002,3014012",8;1
101080,1,0,1,"10000,10000",0,"1000002,1006505",8;1
101090,1,0,1,10000,0,1000002,8
101100,1,0,1,10000,0,1000002,8
101110,1,0,1,10000,0,1000002,8
101120,1,0,1,10000,0,1000002,8
101130,1,0,1,10000,0,1000002,8
101140,1,0,1,10000,0,1000002,8
101150,1,0,1,10000,0,1000002,8
101160,1,0,1,10000,0,1000002,8
101170,1,0,1,10000,0,1000002,8
101180,1,0,1,10000,0,1000002,8
101190,1,0,1,10000,0,1000002,8
101200,1,0,1,10000,0,1000002,8
101210,1,0,1,10000,0,1000002,8
101220,1,0,1,10000,0,1000002,8
102010,1,0,1,10000,0,1000002,8
102020,1,0,1,10000,0,1000002,8
102030,1,0,1,10000,0,1000002,8
