Level,RoleRank,RoleLevel,RoleBreak,Item
34,4,32270,,
35,4,34830,,
36,4,37420,,
37,4,40050,,
38,4,42700,,
39,4,45390,,
40,4,48100,,
41,4,50860,,
42,4,53650,,
43,4,56460,,
44,4,59310,,
45,4,62190,,
46,4,65100,,
47,4,68050,,
48,4,71020,,
49,4,74030,,
50,4,77070,,
51,4,80140,,
52,4,83250,,
53,4,86380,,
54,4,89550,,
55,4,92750,,
56,4,95980,,
57,4,99250,,
58,4,102540,,
59,4,105870,,
60,4,109230,,
61,4,112620,,
62,4,116050,,
63,4,119500,,
64,4,122990,,
65,4,126510,,
66,4,130060,,
67,4,133650,,
68,4,137260,,
69,4,140910,,
70,4,152190,"1,2,3,4,5,6,7","1006108,12,1000003,60000;1006109,12,1000003,60000;1006110,12,1000003,60000;1006111,12,1000003,60000;1006112,12,1000003,60000;1006113,12,1000003,60000;1006114,12,1000003,60000"
71,4,163510,,
72,4,174870,,
73,4,186270,,
74,4,197710,,
75,4,209190,,
76,4,220710,,
77,4,232270,,
78,4,243870,,
79,4,255510,,
80,4,267190,,
81,4,278910,,
82,4,290670,,
83,4,302470,,
84,4,314310,,
85,4,326190,,
86,4,338110,,
87,4,350070,,
88,4,362070,,
89,4,374110,,
90,4,386190,,
91,4,398310,,
92,4,410470,,
93,4,422670,,
94,4,434910,,
95,4,447190,,
96,4,459510,,
97,4,471870,,
98,4,484270,,
99,4,496710,,
100,4,509190,,
101,4,521710,,
102,4,534270,,
103,4,546870,,
104,4,559510,,
105,4,572190,,
106,4,584910,,
107,4,597670,,
108,4,610470,,
109,4,623310,,
110,4,636190,,
111,4,649110,,
112,4,662070,,
113,4,675070,,
114,4,688110,,
115,4,701190,,
116,4,714310,,
117,4,727470,,
118,4,740670,,
119,4,753910,,
120,4,767190,"1,2,3,4,5,6,7","1006115,15,1000003,140000;1006116,15,1000003,140000;1006117,15,1000003,140000;1006118,15,1000003,140000;1006119,15,1000003,140000;1006120,15,1000003,140000;1006121,15,1000003,140000"
121,4,783030,,
122,4,798950,,
123,4,814950,,
124,4,831030,,
125,4,847190,,
126,4,863430,,
127,4,879750,,
128,4,896150,,
129,4,912630,,
130,4,929190,,
131,4,945830,,
132,4,962550,,
133,4,979350,,
134,4,996230,,
135,4,1013190,,
136,4,1030230,,
137,4,1047350,,
138,4,1064550,,
139,4,1081830,,
140,4,1099230,,
141,4,1116750,,
142,4,1134390,,
143,4,1152150,,
144,4,1170030,,
145,4,1188030,,
146,4,1206150,,
147,4,1224390,,
148,4,1242750,,
149,4,1261230,,
150,4,1279830,,
151,4,1298550,,
152,4,1317390,,
153,4,1336350,,
154,4,1355430,,
155,4,1374630,,
156,4,1393950,,
157,4,1413390,,
158,4,1432950,,
159,4,1452630,,
160,4,1472470,,
161,4,1492470,,
162,4,1512630,,
163,4,1532950,,
164,4,1553430,,
165,4,1574070,,
166,4,1594870,,
167,4,1615830,,
168,4,1636950,,
169,4,1658230,,
170,4,1679670,,
171,4,1701270,,
172,4,1723030,,
173,4,1744950,,
174,4,1767030,,
175,4,1789270,,
176,4,1811670,,
177,4,1834230,,
178,4,1856950,,
179,4,1879830,,
180,4,2671830,,
181,4,2671830,,
182,4,2671830,,
183,4,2671830,,
184,4,2671830,,
185,4,,,
1,5,300,,
2,5,620,,
3,5,970,,
4,5,1350,,
5,5,1760,,
6,5,2200,,
7,5,2660,,
8,5,3150,,
9,5,3670,,
10,5,4220,,
11,5,4800,,
12,5,5400,,
13,5,6030,,
14,5,6690,,
15,5,7380,,
16,5,8100,,
17,5,8840,,
18,5,9610,,
19,5,10410,,
20,5,11240,,
21,5,12100,,
22,5,12980,,
23,5,13890,,
24,5,14830,,
25,5,15800,,
26,5,16800,,
27,5,17820,,
28,5,18870,,
29,5,19950,,
30,5,22350,"1,2,3,4,5,6,7","1006101,12,1000003,12000;1006102,12,1000003,12000;1006103,12,1000003,12000;1006104,12,1000003,12000;1006105,12,1000003,12000;1006106,12,1000003,12000;1006107,12,1000003,12000"
31,5,24780,,
32,5,27250,,
33,5,29740,,
34,5,32270,,
35,5,34830,,
36,5,37420,,
37,5,40050,,
38,5,42700,,
39,5,45390,,
40,5,48100,,
41,5,50860,,
42,5,53650,,
43,5,56460,,
44,5,59310,,
45,5,62190,,
46,5,65100,,
47,5,68050,,
48,5,71020,,
49,5,74030,,
50,5,77070,,
51,5,80140,,
52,5,83250,,
53,5,86380,,
54,5,89550,,
55,5,92750,,
56,5,95980,,
57,5,99250,,
58,5,102540,,
59,5,105870,,
60,5,109230,,
61,5,112620,,
62,5,116050,,
63,5,119500,,
64,5,122990,,
65,5,126510,,
66,5,130060,,
67,5,133650,,
68,5,137260,,
69,5,140910,,
70,5,152190,"1,2,3,4,5,6,7","1006108,15,1000003,80000;1006109,15,1000003,80000;1006110,15,1000003,80000;1006111,15,1000003,80000;1006112,15,1000003,80000;1006113,15,1000003,80000;1006114,15,1000003,80000"
71,5,163510,,
72,5,174870,,
73,5,186270,,
74,5,197710,,
75,5,209190,,
76,5,220710,,
77,5,232270,,
78,5,243870,,
79,5,255510,,
80,5,267190,,
81,5,278910,,
82,5,290670,,
83,5,302470,,
84,5,314310,,
85,5,326190,,
86,5,338110,,
87,5,350070,,
88,5,362070,,
89,5,374110,,
90,5,386190,,
91,5,398310,,
92,5,410470,,
93,5,422670,,
94,5,434910,,
95,5,447190,,
96,5,459510,,
97,5,471870,,
98,5,484270,,
99,5,496710,,
100,5,509190,,
101,5,521710,,
102,5,534270,,
103,5,546870,,
104,5,559510,,
105,5,572190,,
106,5,584910,,
107,5,597670,,
108,5,610470,,
109,5,623310,,
110,5,636190,,
111,5,649110,,
112,5,662070,,
113,5,675070,,
114,5,688110,,
115,5,701190,,
116,5,714310,,
117,5,727470,,
118,5,740670,,
119,5,753910,,
120,5,767190,"1,2,3,4,5,6,7","1006115,20,1000003,200000;1006116,20,1000003,200000;1006117,20,1000003,200000;1006118,20,1000003,200000;1006119,20,1000003,200000;1006120,20,1000003,200000;1006121,20,1000003,200000"
121,5,783030,,
122,5,798950,,
123,5,814950,,
124,5,831030,,
125,5,847190,,
126,5,863430,,
127,5,879750,,
128,5,896150,,
129,5,912630,,
130,5,929190,,
131,5,945830,,
132,5,962550,,
133,5,979350,,
134,5,996230,,
135,5,1013190,,
136,5,1030230,,
137,5,1047350,,
138,5,1064550,,
139,5,1081830,,
140,5,1099230,,
141,5,1116750,,
142,5,1134390,,
143,5,1152150,,
144,5,1170030,,
145,5,1188030,,
146,5,1206150,,
147,5,1224390,,
148,5,1242750,,
149,5,1261230,,
150,5,1279830,,
151,5,1298550,,
152,5,1317390,,
153,5,1336350,,
154,5,1355430,,
155,5,1374630,,
156,5,1393950,,
157,5,1413390,,
158,5,1432950,,
159,5,1452630,,
160,5,1472470,,
161,5,1492470,,
162,5,1512630,,
163,5,1532950,,
164,5,1553430,,
165,5,1574070,,
166,5,1594870,,
167,5,1615830,,
168,5,1636950,,
169,5,1658230,,
170,5,1679670,,
171,5,1701270,,
172,5,1723030,,
173,5,1744950,,
174,5,1767030,,
175,5,1789270,,
176,5,1811670,,
177,5,1834230,,
178,5,1856950,,
179,5,1879830,,
180,5,2671830,,
181,5,2671830,,
182,5,2671830,,
183,5,2671830,,
184,5,2671830,,
185,5,0,,
